timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558438330478773,-1,3,16,8,1,0,9,2
1558438330478773,-4,-4,-5,0,-8,-10,-11,-8
1558438330479772,-1,-4,-11,-7,-1,1,1,-1
1558438330479772,2,0,2,0,5,-1,5,5
1558438330479772,5,5,11,5,2,4,4,1
1558438330479772,3,11,8,1,2,0,-1,2
1558438330482763,-14,-27,-13,-5,-4,-6,-3,-5
1558438330482763,-5,-4,0,-2,-8,-2,-5,-5
1558438330491739,-5,-4,-29,-12,-5,-7,-8,-4
1558438330491739,3,-4,24,10,0,-2,3,3
1558438330498720,8,12,-8,0,0,1,5,5
1558438330498720,-4,-7,-22,-11,-8,-3,-11,-5
1558438330506699,4,9,10,1,0,6,-3,-3
1558438330506699,-5,-10,5,3,1,-1,-1,0
1558438330520661,-3,-2,-6,-4,-4,-2,-1,-4
1558438330520661,5,4,15,8,4,0,-1,4
1558438330531632,-8,-3,-9,-3,3,4,-1,0
1558438330531632,2,6,4,-2,-1,1,-5,-5
1558438330535621,-3,-4,4,-6,-1,-4,-2,1
1558438330535621,-1,4,4,3,0,-2,5,1
1558438330558559,5,0,8,4,3,0,0,0
1558438330558559,-6,-11,-24,-12,-4,3,2,0
1558438330559556,3,10,16,9,11,-3,5,5
1558438330559556,-8,-13,-31,-12,-11,-7,-9,-10
1558438330605434,-1,-8,-7,-3,-4,-3,-5,-3
1558438330605434,-1,-1,2,0,1,4,-3,-4
1558438330606431,-5,0,-7,-5,-2,1,4,-2
1558438330606431,7,4,11,3,7,5,0,5
1558438330606431,0,9,8,6,4,5,4,1
1558438330606431,3,-3,-6,-1,-2,0,-3,0
1558438330611418,1,1,-5,0,2,-5,0,2
1558438330611418,-6,1,8,0,-3,-2,-3,-4
1558438330626377,-3,-6,-10,-8,-8,-5,-3,-3
1558438330626377,0,2,6,2,6,-3,0,1
1558438330628372,1,4,13,8,1,1,-3,-4
1558438330628372,7,8,22,7,-3,-1,1,4
1558438330632363,-1,-3,-13,-12,-4,-4,-4,-1
1558438330632363,-19,-18,-8,-11,-3,3,8,-1
1558438330649317,2,1,-9,-6,-3,0,6,1
1558438330649317,-8,-10,-13,-5,-11,-12,-17,-11
1558438330655300,-1,3,30,13,7,11,0,-3
1558438330655300,1,-2,-24,-8,-4,-3,-5,-1
1558438330671257,-2,-5,-14,-7,-6,2,-1,0
1558438330671257,0,1,6,4,3,4,5,2
1558438330677241,0,4,-1,-2,-4,-7,-1,1
1558438330677241,1,-1,-3,2,1,-2,3,-1
1558438330686218,2,4,23,10,1,-8,-9,-4
1558438330686218,-7,-11,-26,-17,-10,-5,-1,-4
1558438330692202,0,0,10,7,4,4,1,2
1558438330692202,-2,-3,-18,-11,-1,-9,2,-1
1558438330709157,1,6,7,6,-5,1,-6,-3
1558438330709157,-8,-13,-18,-9,-10,-3,-3,-4
1558438330715141,1,-1,25,11,7,-5,-2,1
1558438330715141,0,-3,-23,-9,-6,-4,-2,0
1558438330731097,1,6,6,0,5,1,6,5
1558438330731097,-5,-11,-18,-4,2,0,3,-3
1558438330738079,-3,1,-4,-2,-7,-3,-5,-2
1558438330738079,3,8,25,9,1,3,-1,-1
1558438330746058,-5,-11,-17,-7,-8,-10,-15,-6
1558438330746058,-1,14,8,3,7,6,2,1
1558438330753041,2,-10,-9,4,7,1,14,5
1558438330753041,5,17,38,9,4,-4,-7,2
1558438330768996,-5,-4,-25,-9,1,1,6,1
1558438330768996,6,-1,-4,-3,-1,-1,-2,-1
1558438330774982,-5,-7,-15,-8,-2,1,-1,-2
1558438330774982,1,1,3,6,5,14,6,-1
1558438330791936,1,-1,17,4,-1,-1,-4,-1
1558438330791936,3,10,3,2,1,-9,0,3
1558438330797919,-5,1,-16,-11,-11,-6,-12,-6
1558438330797919,-2,-7,1,4,-4,-5,0,1
1558438330806895,0,0,2,0,8,1,12,4
1558438330806895,-2,-7,-12,-8,-4,1,0,-1
1558438330812880,2,5,8,4,5,2,2,-2
1558438330812880,1,2,2,-1,0,-6,-5,-1
1558438330828839,-2,7,30,7,-11,-2,1,-1
