timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558438518848324,2,2,5,9,11,9,6,5
1558438518848324,1,1,10,5,1,-3,-2,-2
1558438518849322,-1,-4,-16,-4,-1,2,3,1
1558438518849322,0,-2,4,-1,-4,-7,-2,-2
1558438518850321,-3,-2,-7,-6,-8,-9,-12,-3
1558438518850321,-1,1,3,5,0,1,4,0
1558438518850321,-2,1,-1,-3,2,6,2,0
1558438518850321,-4,-3,-4,2,-5,-2,-6,-2
1558438518861291,-1,0,-1,-8,0,1,7,0
1558438518861291,-1,-3,-2,0,-1,-3,-5,-1
1558438518870265,1,3,7,1,-2,0,2,1
1558438518870265,-3,-3,1,0,0,1,-5,-4
1558438518878244,0,0,0,5,-4,-9,-2,-1
1558438518878244,-10,-3,-5,-8,-4,3,0,0
1558438518891210,1,0,-5,-7,-2,2,-3,-4
1558438518891210,-2,-1,0,1,1,0,-1,-1
1558438518902180,3,0,2,2,3,-9,5,5
1558438518902180,1,0,1,2,1,0,2,2
1558438518906168,-4,-2,3,6,0,-1,-7,-2
1558438518906168,-2,-3,-12,-7,-4,6,-1,-1
1558438518921129,-3,-1,-3,-3,-1,-10,-3,-1
1558438518921129,3,-1,-2,-1,0,1,1,-2
1558438518968005,0,-3,-2,0,-3,-5,1,0
1558438518968005,0,-2,5,6,7,11,3,-1
1558438518969001,3,2,0,2,-2,-7,-2,-2
1558438518969001,-4,-1,2,0,-2,0,-1,1
1558438518969998,-3,-3,-4,-5,-3,1,-2,-1
1558438518969998,-1,-4,0,3,2,-4,-3,1
1558438518969998,-4,-5,-16,-9,-1,3,2,0
1558438518969998,3,0,3,7,6,5,2,1
1558438518980970,-5,-1,-3,-2,-3,-5,-1,-3
1558438518980970,0,-1,-2,-13,-4,3,-1,-2
1558438518988947,0,-1,-5,-7,-2,-8,-3,-2
1558438518988947,2,0,-1,-1,2,6,6,1
1558438518997923,1,-3,1,2,0,-9,-1,0
1558438518997923,-4,-1,0,9,-2,-1,-4,-3
1558438519010890,-1,0,2,-3,-4,-2,-4,0
1558438519010890,-3,-1,-2,-5,-4,-2,-3,-3
1558438519019865,0,0,3,6,2,1,0,-1
1558438519019865,-2,-3,0,-7,-6,-6,-3,-3
1558438519025849,-2,-1,3,3,-3,-2,-1,1
1558438519025849,-1,-5,-7,-7,-2,-6,-1,-2
1558438519040809,-1,1,1,-1,-2,-1,-3,-2
1558438519040809,5,3,-1,5,7,3,3,3
1558438519048788,-3,-5,-2,-7,-1,6,4,-4
1558438519048788,-2,0,-6,-2,5,11,3,-2
1558438519057764,-1,-2,-2,-5,-9,-21,-10,-1
1558438519057764,-1,-2,-3,-3,-2,-2,5,4
1558438519070729,0,0,2,1,-3,1,-5,0
1558438519070729,4,0,1,3,1,5,-1,0
1558438519079705,-4,0,-1,2,8,9,8,4
1558438519079705,0,2,5,1,-9,-12,-4,-3
1558438519085689,-4,-7,-7,-1,1,-5,-4,-4
1558438519085689,1,1,-6,-12,1,-2,4,0
1558438519101646,-1,-4,-6,-5,-4,1,-3,-4
1558438519101646,-3,1,-1,1,0,-6,1,1
1558438519108629,1,3,1,-4,1,-1,-2,-2
1558438519108629,-6,-5,4,7,-9,-2,-5,-5
1558438519117603,0,-3,-5,-3,0,9,-1,-3
1558438519117603,-2,2,-3,-3,0,1,0,-3
1558438519131566,2,1,0,2,5,5,4,5
1558438519131566,-1,0,3,5,-3,-12,-7,-1
1558438519140542,0,3,6,6,8,12,6,1
1558438519140542,1,-4,-11,-6,1,2,1,-5
1558438519146527,-2,1,5,4,-1,0,-5,-3
1558438519146527,-2,1,-4,-3,-2,0,1,0
1558438519161485,0,3,6,5,-2,-10,-5,-2
1558438519161485,-2,-4,-4,-8,-8,4,-3,-6
1558438519168469,5,1,6,9,14,8,9,6
1558438519168469,0,0,3,2,2,-13,-5,-1
1558438519185423,-2,0,-6,-9,0,12,-1,-2
1558438519185423,-1,-1,-1,2,-2,-8,-2,0
1558438519191406,-2,0,0,-2,-3,-9,0,-1
1558438519191406,0,-2,-2,1,-4,0,-2,-1
1558438519200382,0,-1,2,1,-2,-5,-2,1
1558438519200382,-2,-2,-4,-5,1,1,-1,0
1558438519214345,-3,-2,1,-1,-10,-6,-7,-6
1558438519214345,-1,-1,1,2,8,7,6,0
1558438519221326,-2,-4,-20,-12,-11,-8,-5,-2
1558438519221326,-1,0,4,1,-2,-3,-5,-2
1558438519228307,1,1,-1,-1,4,3,9,3
1558438519228307,-3,-2,1,2,0,2,-4,-4
1558438519238280,2,1,7,-3,0,3,2,1
1558438519238280,-4,-6,-4,-5,-7,-9,-7,-2
1558438519251246,-2,-2,0,4,-1,5,-6,-3
1558438519251246,-2,-2,-4,-6,-2,-3,2,0
1558438519260222,0,1,5,4,1,1,-4,-4
1558438519260222,-1,3,2,5,6,1,5,1
1558438519266206,-2,-3,-3,4,-3,-4,1,0
1558438519266206,-2,0,0,-4,-1,4,-5,1
1558438519281166,0,0,-3,-3,-7,-3,-1,-2
1558438519281166,1,-1,0,2,1,-2,-2,-2
1558438519289144,-1,-6,-7,-4,-10,0,-4,-2
1558438519289144,-4,-3,-6,-6,-8,-7,-2,0
1558438519298121,0,0,3,1,1,-5,-2,-1
1558438519298121,2,9,3,5,5,5,-2,-2
1558438519311086,-1,-2,3,2,-2,0,-1,-1
1558438519311086,2,0,-1,-2,2,7,-2,0
1558438519320062,1,1,8,8,11,1,17,14
1558438519320062,-3,-6,-9,-9,-6,1,-4,-3
1558438519326045,-1,3,5,2,-3,1,-4,-3
1558438519326045,-1,-2,-9,-1,-6,-8,-7,-3
1558438519341025,-1,-3,-2,-7,-1,3,-4,-1
1558438519341025,0,-1,3,3,5,4,4,2
1558438519348985,-3,-1,-6,-5,0,0,-3,-4
1558438519348985,-2,-1,7,5,-3,-5,5,-2
1558438519357961,-3,-2,-2,-3,-3,-5,-4,-4
1558438519357961,0,-2,4,-1,1,6,1,4
1558438519370927,-1,-3,-12,-7,-12,-6,-3,-1
