timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558434544080147,-4,-5,-12,2,7,6,-2,-4
1558434544080147,-1,0,8,4,-6,-8,1,2
1558434544081145,1,1,-14,-2,-5,-7,-5,-2
1558434544081145,-1,-2,12,-5,-3,-1,0,3
1558434544093112,0,0,1,7,4,-1,5,1
1558434544093112,-1,2,5,-2,4,3,-5,-6
1558434544095107,-3,-8,-6,10,-4,3,2,3
1558434544095107,0,-4,-11,-12,-6,-11,-8,-4
1558434544098100,1,2,7,0,-6,-6,-10,-8
1558434544098100,-1,-2,-10,-3,7,7,10,1
1558434544098100,1,0,2,1,2,-3,1,0
1558434544098100,-3,0,3,2,2,8,5,-3
1558434544117048,-1,-4,-1,-1,-3,-2,-1,0
1558434544117048,0,-4,-18,1,-6,-8,-9,-1
1558434544122035,-2,0,-5,-14,-4,-2,4,2
1558434544122035,-3,-3,-4,4,-1,1,-2,-2
1558434544129016,-2,-6,-3,-1,-2,-2,1,-1
1558434544129016,3,5,14,13,9,6,5,4
1558434544144974,-4,-3,3,-10,-1,-6,-3,-2
1558434544144974,-3,0,0,2,-2,-7,-5,0
1558434544150956,-4,-4,-8,-13,-6,0,-1,-2
1558434544150956,-4,-5,-6,-5,-7,2,0,-4
1558434544167911,2,2,10,-1,0,1,-2,-1
1558434544167911,-1,2,2,10,3,-3,-3,-5
1558434544172899,-2,-1,-8,-5,1,5,6,2
1558434544172899,1,4,19,3,8,-1,-3,2
1558434544219773,-1,-1,0,-7,0,-4,-6,-4
1558434544219773,0,-2,1,-1,1,-1,-2,2
1558434544220770,0,-3,2,2,0,-2,-5,-2
1558434544220770,1,-4,-2,-3,-10,-7,-3,-1
1558434544221780,-2,-2,2,4,0,0,-7,-2
1558434544221780,3,5,10,15,8,6,11,3
1558434544222765,-3,-5,-16,-25,-14,-5,3,1
1558434544222765,-2,-4,-14,-8,2,4,5,1
1558434544232738,0,0,-2,-1,3,1,-1,3
1558434544232738,0,1,5,1,4,-1,-4,-1
1558434544241714,0,4,5,11,-1,-6,-5,0
1558434544241714,-1,1,0,1,-2,-4,-5,3
1558434544247701,-3,-1,0,-3,-7,-2,3,-2
1558434544247701,-4,1,-1,0,2,-3,-7,-4
1558434544264653,-3,-7,-17,-3,-6,-1,4,-1
1558434544264653,0,-2,-4,-3,6,1,8,1
1558434544270636,-2,0,6,3,-1,2,0,-1
1558434544270636,0,-2,-1,-4,-4,1,-9,-3
1558434544286593,-1,1,-1,-4,-1,0,-5,-5
1558434544286593,-5,1,2,2,-3,-2,-6,-7
1558434544293576,0,1,-3,2,-6,-10,-4,0
1558434544293576,-1,-3,-1,1,0,7,5,0
1558434544301555,7,10,20,2,15,7,11,10
1558434544301555,-1,-2,-2,3,1,-4,-2,-2
1558434544315518,-5,-7,-20,-21,-11,-3,-4,-5
1558434544315518,-5,-9,-19,-21,-11,-9,-6,-5
1558434544323496,-1,2,3,5,-1,-5,-1,-2
1558434544323496,1,2,5,5,3,-1,4,-1
1558434544330477,2,0,6,6,3,3,3,-5
1558434544330477,-1,-4,-2,-3,-11,-7,-9,-5
1558434544338455,2,0,-1,6,10,8,6,4
1558434544338455,4,6,26,23,14,7,-1,4
1558434544353414,-3,-5,-1,-21,-15,-3,2,0
1558434544353414,-1,-2,-6,-7,0,1,4,2
1558434544369375,-4,-1,1,-6,-7,-3,-11,-4
