timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558438761524961,-3,-3,-10,-25,-13,-8,-8,-6
1558438761524961,-2,-1,-5,-13,-10,-6,-9,-4
1558438761525958,1,2,6,21,14,11,6,4
1558438761525958,2,0,0,-8,2,-9,2,3
1558438761526955,-4,-2,-8,-14,-13,-6,-4,-2
1558438761526955,-4,-6,-8,8,-1,2,-2,-4
1558438761526955,1,1,-2,-13,-2,2,1,-1
1558438761526955,-2,-1,-4,-9,-6,-10,-8,-4
1558438761538940,0,-1,2,16,9,4,1,0
1558438761538940,-2,0,7,4,-2,-2,2,5
1558438761546902,-2,-3,-5,-13,-9,-10,-6,-6
1558438761546902,0,-2,1,4,-1,4,0,-1
1558438761552886,1,0,3,2,-1,-2,-4,-3
1558438761552886,-1,0,0,1,0,1,-5,-1
1558438761567844,-4,-6,-12,-18,-7,-8,-3,-3
1558438761567844,-1,0,1,6,4,3,2,1
1558438761577818,1,-2,0,-2,-3,-7,-4,0
1558438761577818,0,0,4,0,0,4,1,0
1558438761582806,1,2,3,7,-3,-12,-7,-1
1558438761582806,-3,-1,-1,-3,2,8,4,0
1558438761598762,-4,-1,3,9,4,4,1,-2
1558438761598762,1,-2,-9,-16,-8,-3,-1,-3
1558438761606741,2,0,1,7,4,-2,1,1
1558438761606741,-1,-1,-3,-2,1,3,-1,-3
1558438761646635,0,-2,-4,-8,-4,-8,-7,-6
1558438761646635,-1,-2,4,19,-10,-10,-3,-1
1558438761646635,0,3,7,-2,4,7,3,2
1558438761646635,-1,-2,-4,-13,4,1,-2,-1
1558438761647632,0,0,-3,7,-2,-4,2,1
1558438761647632,-1,0,-4,-10,-4,1,-3,-3
1558438761650624,-1,-1,0,0,-6,-12,-2,0
1558438761650624,-2,0,1,3,-7,-3,-7,-2
1558438761658603,0,1,4,4,9,5,6,7
1558438761658603,-2,0,0,0,6,-1,0,-1
1558438761665584,-1,0,-1,-7,-8,3,-2,-3
1558438761665584,-2,-4,-1,13,2,2,4,-4
1558438761672566,-3,-3,-3,-20,-11,-4,-5,-2
1558438761672566,1,0,-4,-2,4,3,1,3
1558438761687526,1,0,2,9,6,6,4,2
1558438761687526,1,-1,-3,-1,-3,-11,-7,-1
1558438761696502,2,2,2,2,4,8,7,-1
1558438761696502,4,0,-2,1,3,-1,-2,-1
1558438761702485,-4,-5,-1,6,-6,-4,-3,-4
1558438761702485,0,-1,-7,-11,3,7,2,1
1558438761718443,-1,0,-1,0,-4,-5,-1,-1
1558438761718443,-4,-2,-1,-3,-7,-3,-4,-4
1558438761725425,0,0,-2,4,4,1,4,3
1558438761725425,-2,1,4,-9,-1,2,5,1
1558438761733402,-4,-1,1,3,-7,-7,-8,-3
1558438761733402,-3,-1,-6,-12,0,11,3,-3
1558438761748362,-3,-1,-6,-7,4,-2,-1,-1
1558438761748362,-1,1,2,4,-2,-5,1,-1
1558438761764320,1,1,0,3,4,6,-2,-1
1558438761764320,-2,-2,0,-7,-10,-11,-3,-2
1558438761765317,-4,-4,-6,-4,-3,1,-4,-4
1558438761765317,-1,1,-2,0,-4,-14,-3,3
1558438761778283,0,2,4,14,12,5,2,1
1558438761778283,0,-3,-12,-13,-6,-2,5,-1
1558438761785265,1,-2,0,3,0,-8,-4,-2
1558438761785265,-4,-5,-3,-3,-8,-1,-7,-7
1558438761793242,-2,-2,1,-2,-1,3,-4,-5
1558438761793242,-4,-1,7,10,-5,-12,-5,-1
1558438761808201,-1,-3,-15,-23,-14,-2,0,1
1558438761808201,1,-1,-2,1,13,9,7,3
1558438761816180,0,-1,-3,-4,-4,-10,-3,1
1558438761816180,-1,-1,7,5,3,3,-3,-1
1558438761823161,-3,-5,-7,3,-12,-15,-13,-8
1558438761823161,-1,1,-3,-7,-6,8,4,2
1558438761839119,-2,-1,-3,-4,5,10,10,4
1558438761839119,1,0,0,-3,-2,-8,-2,0
1558438761845104,-1,1,8,7,-4,-7,-4,0
1558438761845104,-1,-1,-2,3,0,2,-6,-4
1558438761853083,-2,-1,-1,0,-1,6,2,-1
1558438761853083,1,-1,-2,-1,-1,3,-3,0
1558438761868042,2,4,5,4,16,19,9,3
1558438761868042,-1,-3,-3,-7,-4,-4,-1,-3
1558438761875023,-1,0,1,4,-3,-11,-5,-2
1558438761875023,0,-2,-3,-3,-3,0,-2,-3
1558438761884000,3,1,-1,-12,4,0,-1,-3
1558438761884000,-1,-1,0,4,0,1,1,1
1558438761898960,-4,0,-5,-3,-5,0,-6,-2
1558438761898960,-4,-1,-1,8,5,-2,4,1
1558438761905941,-4,-4,1,-2,-1,-3,-4,-2
1558438761905941,2,0,-2,-1,4,7,0,1
1558438761912922,-2,-3,-2,-7,-9,-5,-1,-1
1558438761912922,1,-1,-1,3,5,-6,-2,-1
