timestamp,x,y,z
1558434788860498,-0.00585938,-0.738281,0.675293
1558434788882440,-0.00537109,-0.741699,0.676758
1558434788906376,-0.00439453,-0.744141,0.682617
1558434788921337,-0.0117188,-0.750977,0.683105
1558434788943277,-0.0209961,-0.749023,0.681152
1558434788974195,-0.0131836,-0.745117,0.684082
1558434788980178,-0.0151367,-0.744629,0.684082
1558434789004114,-0.0166016,-0.753418,0.688965
1558434789035031,-0.019043,-0.752441,0.689941
1558434789045004,-0.0195313,-0.75293,0.694824
1558434789064953,-0.0205078,-0.75,0.690918
1558434789085895,-0.0205078,-0.741699,0.697266
1558434789099858,-0.019043,-0.744141,0.691895
1558434789124791,-0.0146484,-0.74707,0.69043
1558434789162691,-0.0195313,-0.750977,0.692871
1558434789169679,-0.0249023,-0.75293,0.692871
1558434789183636,-0.03125,-0.751953,0.67334
1558434789205574,-0.0263672,-0.731934,0.673828
1558434789220535,-0.00830078,-0.725586,0.675781
1558434789243475,-0.00146484,-0.740723,0.681641
1558434789265416,0.000488281,-0.752441,0.682129
1558434789280375,-0.0253906,-0.730957,0.688477
1558434789303316,-0.0288086,-0.711426,0.6875
1558434789326255,-0.0292969,-0.714355,0.693848
1558434789340214,-0.0249023,-0.724121,0.693359
1558434789363153,-0.0209961,-0.729004,0.693359
1558434789386097,-0.0205078,-0.725098,0.697266
1558434789400061,-0.0258789,-0.712402,0.695801
1558434789422995,-0.0249023,-0.718262,0.692871
1558434789445934,-0.0209961,-0.722656,0.691406
1558434789459896,-0.019043,-0.720703,0.700195
1558434789482834,-0.0214844,-0.721191,0.692383
1558434789505772,-0.0170898,-0.71582,0.694336
1558434789519734,-0.019043,-0.713379,0.6875
1558434789543671,-0.0244141,-0.719238,0.696289
1558434789565624,-0.0205078,-0.710449,0.697266
1558434789580574,-0.0263672,-0.713379,0.700684
1558434789603510,-0.0258789,-0.711426,0.703613
1558434789625452,-0.0268555,-0.712402,0.710449
1558434789640413,-0.0307617,-0.711426,0.710449
1558434789663350,-0.0268555,-0.716797,0.711914
1558434789685292,-0.0273438,-0.719727,0.708984
1558434789700254,-0.0263672,-0.716797,0.713379
1558434789723192,-0.0288086,-0.716797,0.714844
1558434789746130,-0.0292969,-0.708008,0.702148
1558434789760096,-0.0253906,-0.71582,0.708984
1558434789783035,-0.0219727,-0.716797,0.706055
1558434789805974,-0.0244141,-0.716797,0.702148
1558434789828912,-0.0205078,-0.712402,0.696777
1558434789843868,-0.0170898,-0.712402,0.691406
1558434789873790,-0.0170898,-0.709473,0.692871
1558434789888749,-0.0161133,-0.712891,0.691895
1558434789903708,-0.0107422,-0.717285,0.693848
1558434789925650,-0.00927734,-0.710938,0.695313
1558434789948589,-0.0161133,-0.710938,0.699707
1558434789970534,-0.0219727,-0.718262,0.699219
1558434789985492,-0.0170898,-0.716797,0.703613
1558434790008430,-0.0214844,-0.725098,0.70459
1558434790022401,-0.0224609,-0.727051,0.703125
1558434790045527,-0.0195313,-0.725586,0.703613
1558434790076328,-0.0170898,-0.727539,0.706543
1558434790083306,-0.0195313,-0.722656,0.708496
1558434790106242,-0.0180664,-0.71875,0.710938
1558434790128184,-0.0180664,-0.723145,0.709961
1558434790143143,-0.0200195,-0.721191,0.706543
1558434790174240,-0.0161133,-0.71582,0.70752
1558434790188194,-0.0161133,-0.713379,0.706543
1558434790203156,-0.0200195,-0.716797,0.712402
1558434790225033,-0.0185547,-0.720703,0.702637
1558434790248862,-0.0224609,-0.723145,0.702148
1558434790262822,-0.0258789,-0.714355,0.702637
1558434790285878,-0.0239258,-0.715332,0.703125
1558434790308758,-0.0263672,-0.712402,0.70459
1558434790322664,-0.0327148,-0.717773,0.700195
1558434790345611,-0.034668,-0.706543,0.704102
1558434790368699,-0.0322266,-0.710938,0.717773
1558434790382660,-0.0371094,-0.719727,0.724609
1558434790405602,-0.0371094,-0.727051,0.724121
1558434790427619,-0.0419922,-0.727539,0.728516
1558434790442344,-0.0351563,-0.723145,0.712891
1558434790465469,-0.0263672,-0.722168,0.712402
1558434790488232,-0.015625,-0.72168,0.708984
1558434790511164,-0.0224609,-0.722656,0.710449
1558434790525123,-0.0249023,-0.719727,0.694824
1558434790548071,-0.0332031,-0.716797,0.69873
1558434790563026,-0.0405273,-0.714844,0.703613
1558434790585118,-0.0444336,-0.711914,0.704102
1558434790608095,-0.0512695,-0.709473,0.703613
1558434790631031,-0.0625,-0.705078,0.709961
1558434790644974,-0.0620117,-0.705566,0.713379
1558434790667962,-0.0673828,-0.700684,0.709473
1558434790682902,-0.0693359,-0.709473,0.703125
1558434790705840,-0.0668945,-0.70752,0.708008
1558434790727579,-0.0688477,-0.713379,0.706055
1558434790742543,-0.0683594,-0.711426,0.710938
1558434790765479,-0.074707,-0.712402,0.714355
1558434790788415,-0.0849609,-0.713867,0.709473
1558434790805374,-0.0825195,-0.706055,0.709961
1558434790825350,-0.0878906,-0.713379,0.717773
1558434790847543,-0.0888672,-0.711914,0.712402
1558434790863387,-0.0957031,-0.702637,0.705078
1558434790886811,-0.102539,-0.699219,0.707031
1558434790908222,-0.112305,-0.702637,0.710449
1558434790923260,-0.108887,-0.697754,0.703613
1558434790945032,-0.115234,-0.702637,0.710938
1558434790967936,-0.119629,-0.706055,0.708496
1558434790982896,-0.118164,-0.702148,0.70166
1558434791004835,-0.118164,-0.707031,0.692383
1558434791027787,-0.120605,-0.709961,0.699219
1558434791042741,-0.119629,-0.700684,0.691895
1558434791065678,-0.117188,-0.70166,0.695313
1558434791087721,-0.118652,-0.705566,0.695801
1558434791102681,-0.114746,-0.711914,0.698242
1558434791125516,-0.11377,-0.709961,0.704102
1558434791147679,-0.118652,-0.706543,0.698242
1558434791164412,-0.117188,-0.705078,0.706543
1558434791185354,-0.115234,-0.710449,0.695801
1558434791207300,-0.115234,-0.705566,0.699219
1558434791224252,-0.105957,-0.709961,0.70752
1558434791245192,-0.10498,-0.712891,0.707031
1558434791268460,-0.108887,-0.711914,0.703613
1558434791284093,-0.11084,-0.711914,0.702637
1558434791305369,-0.102051,-0.715332,0.703613
1558434791328210,-0.0996094,-0.720703,0.708008
1558434791343931,-0.0986328,-0.724121,0.700195
1558434791365885,-0.0917969,-0.713379,0.700684
1558434791387833,-0.0888672,-0.712891,0.697266
1558434791403776,-0.0844727,-0.724121,0.700684
1558434791424785,-0.0854492,-0.721191,0.694336
1558434791447707,-0.0791016,-0.722656,0.703613
1558434791464609,-0.078125,-0.72168,0.697266
1558434791485707,-0.0722656,-0.727051,0.697266
1558434791507715,-0.078125,-0.723633,0.69873
1558434791524450,-0.0761719,-0.716309,0.706055
1558434791545592,-0.0766602,-0.720215,0.69873
1558434791568405,-0.078125,-0.725098,0.700684
1558434791584289,-0.0742188,-0.725098,0.697266
1558434791605231,-0.0810547,-0.721191,0.696289
1558434791628500,-0.0756836,-0.71875,0.706055
1558434791650430,-0.0800781,-0.717285,0.705566
1558434791665146,-0.0800781,-0.71875,0.705566
1558434791688148,-0.0820313,-0.71875,0.706055
1558434791711950,-0.0859375,-0.717773,0.712402
1558434791724921,-0.0820313,-0.71875,0.704102
1558434791748072,-0.0830078,-0.715332,0.705078
1558434791770790,-0.0786133,-0.713867,0.701172
1558434791784760,-0.0810547,-0.715332,0.699219
1558434791807907,-0.0761719,-0.711426,0.694336
1558434791829637,-0.074707,-0.709961,0.695313
1558434791845590,-0.0698242,-0.710449,0.703125
1558434791873550,-0.0668945,-0.706055,0.698242
1558434791890467,-0.0673828,-0.712402,0.704102
1558434791913666,-0.0610352,-0.713379,0.701172
1558434791927369,-0.059082,-0.712891,0.69873
1558434791950538,-0.0654297,-0.716309,0.706055
1558434791965480,-0.0683594,-0.71582,0.70459
1558434791988391,-0.0727539,-0.710449,0.702148
1558434792010154,-0.0708008,-0.710938,0.711914
1558434792026106,-0.0756836,-0.716797,0.710938
1558434792048061,-0.0791016,-0.717773,0.710938
1558434792069988,-0.0742188,-0.711426,0.708008
1558434792084947,-0.0751953,-0.716797,0.70752
1558434792107898,-0.0742188,-0.716797,0.708984
1558434792129838,-0.0742188,-0.714844,0.708496
1558434792146796,-0.0737305,-0.713379,0.705566
1558434792167739,-0.0698242,-0.714844,0.705566
1558434792190848,-0.0693359,-0.716797,0.708496
1558434792214604,-0.0634766,-0.715332,0.708496
1558434792227603,-0.0639648,-0.715332,0.712402
1558434792250802,-0.0678711,-0.711426,0.714844
1558434792266464,-0.0742188,-0.709961,0.711426
1558434792288403,-0.0688477,-0.710449,0.713867
1558434792310583,-0.0712891,-0.706055,0.709473
1558434792326304,-0.0703125,-0.706543,0.710938
1558434792348250,-0.0678711,-0.703125,0.713379
1558434792370243,-0.0732422,-0.706055,0.713379
1558434792386161,-0.0668945,-0.700684,0.708496
1558434792407117,-0.0742188,-0.702148,0.708496
1558434792430081,-0.0717773,-0.702637,0.708984
