timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558434649278882,0,0,-1,2,0,-4,-3,-3
1558434649278882,-2,-2,-4,3,-11,-7,-3,-2
1558434649279881,-1,-2,1,-11,7,12,6,3
1558434649279881,0,1,-7,-3,5,3,-2,1
1558434649283869,-2,-1,1,3,1,-4,-2,-2
1558434649283869,1,2,2,5,4,-3,1,1
1558434649287859,0,0,-4,2,-8,-9,-4,0
1558434649287859,-1,1,5,-4,-4,-7,-3,0
1558434649289854,-2,1,5,11,2,0,-3,-4
1558434649289854,-4,-4,-7,-10,-7,-2,-5,-6
1558434649300824,-2,-2,-2,1,1,5,5,-2
1558434649300824,1,-2,0,-7,4,-4,0,2
1558434649313789,-1,-1,-2,8,7,2,6,1
1558434649313789,1,-1,0,-9,0,0,-1,2
1558434649320770,-1,0,5,7,1,-4,-6,-3
1558434649320770,-4,-4,-7,-5,-6,-1,-2,-3
1558434649328751,1,-1,1,3,-6,-4,-3,-3
1558434649328751,-1,-2,-4,-3,-5,-6,-4,-4
1558434649345703,0,1,-2,-12,-6,4,2,0
1558434649345703,-4,-4,0,8,-11,-11,-7,-6
1558434649349693,-2,-1,1,-5,3,9,5,3
1558434649349693,3,1,2,7,14,3,5,7
1558434649396567,-1,-3,3,7,-3,-5,-4,-3
1558434649396567,-3,-1,1,5,-5,-5,-1,-5
1558434649397565,-2,-3,-2,3,-7,1,-1,-3
1558434649397565,1,1,5,3,0,-4,1,-1
1558434649398563,0,-2,-9,-13,-4,-4,-1,0
1558434649398563,0,0,1,0,3,-4,-2,0
1558434649398563,-4,-2,3,11,4,0,-2,-1
1558434649398563,-2,-3,-6,-9,-5,0,-2,-2
1558434649409534,0,0,2,6,-4,-2,-2,-1
1558434649409534,-4,-5,1,-3,-3,-1,-5,-5
1558434649417511,-1,0,-1,2,0,-2,0,1
1558434649417511,2,2,0,-9,-3,0,-1,-1
1558434649424494,0,1,1,0,8,2,3,2
1558434649424494,0,-1,-4,-6,0,3,1,2
1558434649440451,0,-4,-4,2,5,5,0,-1
1558434649440451,-2,-3,-3,3,-3,-4,-5,-3
1558434649447431,-1,1,3,5,-8,-7,-5,-3
