timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558438870685778,-1,0,1,7,-2,-2,-2,-1
1558438870685778,0,1,4,0,0,0,-1,-1
1558438870690766,1,3,2,-2,1,-2,1,0
1558438870690766,-3,-6,-4,2,-2,-1,-1,-2
1558438870691763,-1,-3,-4,-5,-7,-6,-3,-2
1558438870691763,-3,-3,-4,-9,-2,4,2,-2
1558438870691763,3,4,3,9,7,11,6,3
1558438870691763,-1,-1,0,-1,5,0,-2,-1
1558438870705726,-3,-6,-1,-7,2,-2,-6,-2
1558438870705726,-2,-3,-6,-5,-11,-8,0,-1
1558438870712706,-1,-2,-2,1,-7,-7,-3,0
1558438870712706,1,4,8,-1,-3,0,-1,-1
1558438870719687,-1,0,-7,0,10,16,5,1
1558438870719687,-1,-1,-3,6,-1,-5,0,1
1558438870734647,0,0,-3,-9,-1,0,-1,-3
1558438870734647,-3,-4,-8,-3,-16,-12,-7,-5
1558438870743624,-4,-9,-2,-9,-12,-16,-5,-4
1558438870743624,0,0,4,5,3,2,-2,-3
1558438870756588,2,2,7,3,11,2,2,3
1558438870756588,-2,-1,-7,-11,-6,7,2,-2
1558438870766562,-3,-3,-3,0,-5,-5,-4,-3
1558438870766562,1,3,14,6,11,6,5,2
1558438870780525,-4,-8,-15,-8,-14,-7,-7,-5
1558438870780525,-1,-1,-5,-7,-5,-6,-3,-1
1558438870780525,2,5,4,6,11,15,10,6
1558438870780525,-2,-5,-4,-16,-15,-7,-5,-3
1558438870827399,-2,0,-3,-3,0,-5,-6,-3
1558438870827399,-2,-2,-2,-6,-9,-10,-4,-3
1558438870827399,-3,-3,-6,4,-1,-2,-3,-4
1558438870827399,-3,0,0,-2,-4,-1,-1,-2
1558438870829395,1,-1,-2,0,3,2,5,3
1558438870829395,-1,2,2,-1,2,1,1,1
1558438870831390,-2,-2,2,0,1,1,-3,-2
1558438870831390,0,-3,-2,6,1,-7,-3,-1
1558438870839367,-5,-8,-11,-19,-12,-5,-8,-6
1558438870839367,-3,-3,-2,7,-4,-3,-2,0
1558438870848343,0,3,7,0,0,-2,-1,0
1558438870848343,1,0,-7,-8,-5,2,3,-1
1558438870854327,2,1,10,13,8,0,8,3
1558438870854327,-3,1,0,-2,8,3,-2,-1
