timestamp,x,y,z
1558434926886016,0.0952148,-0.400879,0.911133
1558434926900976,0.0957031,-0.401367,0.906738
1558434926925914,0.0908203,-0.406738,0.900879
1558434926952839,0.0917969,-0.40332,0.900879
1558434926961813,0.0908203,-0.40918,0.898438
1558434926983755,0.090332,-0.408691,0.902344
1558434927006693,0.090332,-0.408691,0.897461
1558434927052571,0.0932617,-0.412109,0.902832
1558434927054565,0.0927734,-0.415527,0.904785
1558434927066533,0.09375,-0.416992,0.90625
1558434927084485,0.090332,-0.415039,0.902832
1558434927104432,0.0976563,-0.416992,0.907715
1558434927127370,0.105469,-0.418457,0.905273
1558434927170256,0.103516,-0.416504,0.905273
1558434927180228,0.104004,-0.417969,0.902344
1558434927187210,0.111816,-0.420898,0.901367
1558434927202170,0.112305,-0.417969,0.899414
1558434927224112,0.112305,-0.416504,0.901367
1558434927246052,0.112305,-0.42041,0.90332
1558434927268991,0.11377,-0.41748,0.90332
1558434927284949,0.118652,-0.420898,0.909668
1558434927305893,0.12207,-0.418457,0.913086
1558434927328832,0.122559,-0.41748,0.912598
1558434927344789,0.124023,-0.417969,0.911133
1558434927365734,0.119141,-0.415039,0.908203
1558434927388671,0.125488,-0.413574,0.916016
1558434927404628,0.119629,-0.415039,0.92041
1558434927443524,0.122559,-0.410156,0.907227
1558434927448512,0.121094,-0.40332,0.916016
1558434927464468,0.116699,-0.402832,0.915039
1558434927485420,0.121582,-0.404785,0.92041
1558434927508351,0.117188,-0.401367,0.917969
1558434927524309,0.121094,-0.39502,0.915527
1558434927547247,0.118652,-0.39209,0.911621
1558434927569189,0.120117,-0.396973,0.905762
1558434927584149,0.116211,-0.388672,0.905762
1558434927607088,0.118652,-0.38916,0.904297
1558434927629030,0.116699,-0.388672,0.896484
1558434927643989,0.115234,-0.388184,0.896484
1558434927666928,0.111328,-0.384766,0.904297
1558434927688905,0.109863,-0.379395,0.902832
1558434927704828,0.113281,-0.381836,0.904297
1558434927726767,0.105469,-0.378418,0.900879
1558434927748708,0.0961914,-0.381348,0.904785
1558434927764666,0.0952148,-0.377441,0.904785
1558434927786611,0.0947266,-0.375,0.906738
1558434927808550,0.0952148,-0.376465,0.913574
1558434927824506,0.0908203,-0.374512,0.912109
1558434927847444,0.0883789,-0.374023,0.908203
1558434927868388,0.0917969,-0.375,0.923828
1558434927884346,0.0864258,-0.375,0.921387
1558434927907285,0.0839844,-0.380371,0.926758
1558434927928228,0.0839844,-0.382324,0.927734
1558434927944184,0.0825195,-0.380859,0.92627
1558434927967124,0.0795898,-0.384277,0.924805
1558434927988069,0.0864258,-0.374023,0.921875
1558434928004026,0.0795898,-0.371582,0.925781
1558434928026964,0.0766602,-0.370605,0.929688
1558434928047908,0.081543,-0.373535,0.924316
1558434928064862,0.0766602,-0.373535,0.919434
1558434928086806,0.074707,-0.374023,0.915039
1558434928107755,0.0708008,-0.373535,0.918457
1558434928124703,0.0756836,-0.375488,0.914063
1558434928147645,0.0756836,-0.374512,0.915527
1558434928169586,0.0712891,-0.370117,0.920898
1558434928192523,0.0761719,-0.371094,0.922363
1558434928207482,0.0737305,-0.375,0.919922
1558434928229424,0.0820313,-0.370117,0.92041
1558434928252361,0.0820313,-0.369629,0.92334
1558434928267323,0.0830078,-0.36377,0.925781
1558434928289282,0.0859375,-0.366211,0.927246
1558434928312261,0.0849609,-0.366699,0.924316
1558434928327163,0.0878906,-0.366699,0.924316
1558434928349131,0.0908203,-0.364258,0.925781
1558434928373038,0.0947266,-0.363281,0.921387
1558434928387343,0.0864258,-0.36377,0.924316
1558434928408944,0.0917969,-0.366211,0.925781
1558434928432879,0.0893555,-0.368164,0.918457
1558434928453823,0.0957031,-0.367188,0.919434
1558434928469781,0.0922852,-0.361328,0.923828
1558434928492723,0.0888672,-0.362793,0.914551
1558434928514690,0.0844727,-0.35791,0.915039
1558434928529621,0.0864258,-0.362793,0.917969
1558434928552558,0.0849609,-0.365234,0.908691
1558434928573697,0.0839844,-0.36377,0.916016
1558434928589459,0.081543,-0.359863,0.919922
1558434928612397,0.0844727,-0.358398,0.919922
1558434928633384,0.0869141,-0.361816,0.919922
1558434928649309,0.09375,-0.364746,0.916504
1558434928672239,0.09375,-0.358398,0.914551
1558434928694179,0.0966797,-0.360352,0.916016
1558434928709139,0.0922852,-0.36084,0.915527
1558434928733084,0.0942383,-0.366211,0.919922
1558434928754074,0.0966797,-0.370605,0.919922
1558434928769975,0.0932617,-0.367188,0.92627
1558434928791918,0.0952148,-0.370605,0.93457
1558434928813903,0.0922852,-0.370605,0.928223
1558434928829817,0.0878906,-0.368164,0.927246
1558434928851767,0.0883789,-0.367188,0.933594
1558434928873744,0.0825195,-0.370605,0.930664
1558434928889665,0.0864258,-0.368652,0.925293
1558434928911598,0.0805664,-0.371094,0.926758
1558434928933565,0.0800781,-0.373047,0.926758
1558434928949497,0.0751953,-0.372559,0.927734
1558434928972530,0.0727539,-0.368164,0.924805
1558434928995373,0.0708008,-0.366211,0.925293
1558434929009335,0.0693359,-0.373047,0.92627
1558434929032276,0.0693359,-0.374023,0.929688
1558434929055216,0.0688477,-0.374023,0.922363
1558434929069176,0.0722656,-0.37207,0.924316
1558434929092117,0.0678711,-0.37207,0.933594
1558434929115054,0.0654297,-0.379395,0.917969
1558434929129018,0.0698242,-0.37793,0.921387
1558434929151955,0.0742188,-0.379395,0.919434
1558434929174892,0.0756836,-0.379395,0.921875
1558434929189974,0.0771484,-0.374023,0.919922
1558434929211797,0.0810547,-0.379395,0.921875
