timestamp,x,y,z
1558439022042046,-0.554199,-0.646973,0.504883
1558439022064993,-0.552734,-0.643555,0.504395
1558439022087924,-0.555176,-0.655762,0.499023
1558439022102884,-0.553711,-0.665039,0.493164
1558439022124825,-0.550781,-0.660645,0.498047
1558439022147767,-0.554688,-0.661133,0.505859
1558439022162723,-0.561035,-0.664063,0.518555
1558439022208600,-0.567383,-0.676758,0.518066
1558439022210595,-0.568848,-0.677246,0.524902
1558439022229546,-0.575684,-0.671875,0.53125
1558439022245502,-0.572754,-0.671387,0.53418
1558439022268440,-0.571777,-0.673828,0.525879
1558439022290381,-0.572266,-0.672363,0.526855
1558439022326285,-0.562988,-0.665039,0.521484
1558439022337256,-0.56543,-0.666504,0.522461
1558439022350223,-0.55957,-0.665527,0.510742
1558439022365182,-0.556641,-0.663574,0.504883
1558439022387122,-0.553223,-0.662109,0.490723
1558439022410061,-0.557617,-0.663574,0.494141
1558439022425022,-0.566406,-0.677246,0.506348
1558439022446962,-0.593262,-0.710449,0.525879
1558439022469901,-0.626465,-0.721191,0.530762
1558439022484863,-0.63916,-0.707031,0.553223
1558439022507800,-0.65625,-0.683105,0.54248
1558439022529741,-0.63623,-0.641602,0.540527
1558439022544701,-0.575684,-0.613281,0.529297
1558439022567639,-0.519043,-0.629395,0.517578
1558439022589580,-0.48584,-0.648926,0.508301
1558439022604542,-0.45752,-0.650391,0.489746
1558439022627480,-0.463379,-0.649902,0.481445
1558439022649423,-0.473145,-0.626953,0.477051
1558439022664383,-0.48584,-0.619141,0.477051
1558439022687321,-0.498047,-0.624023,0.467773
1558439022710258,-0.510742,-0.630859,0.489746
1558439022725222,-0.544922,-0.668457,0.498535
1558439022747160,-0.569824,-0.68457,0.524414
1558439022770098,-0.598145,-0.670898,0.54541
1558439022785058,-0.616699,-0.646973,0.557617
1558439022807000,-0.617676,-0.645996,0.552246
1558439022829938,-0.606934,-0.645508,0.54541
1558439022844898,-0.591309,-0.63916,0.54248
1558439022867838,-0.569824,-0.641602,0.532227
1558439022889777,-0.562988,-0.651367,0.507324
1558439022904738,-0.560059,-0.654297,0.493652
1558439022927676,-0.555664,-0.643555,0.498047
1558439022949619,-0.556152,-0.646973,0.499023
1558439022964578,-0.557617,-0.653809,0.510742
1558439022994499,-0.561035,-0.64502,0.518066
1558439023009458,-0.567383,-0.64209,0.533203
1558439023024417,-0.572266,-0.635742,0.53418
1558439023047356,-0.568848,-0.642578,0.534668
1558439023070296,-0.5625,-0.637207,0.540527
1558439023084258,-0.557617,-0.644531,0.538086
1558439023107197,-0.546875,-0.645996,0.532715
1558439023131132,-0.543945,-0.652832,0.535645
1558439023144098,-0.532227,-0.657227,0.533691
1558439023167036,-0.53418,-0.662109,0.538574
1558439023189976,-0.537598,-0.662598,0.537598
1558439023203952,-0.542969,-0.677734,0.538086
1558439023226875,-0.546875,-0.673828,0.535156
1558439023249817,-0.558594,-0.671875,0.538574
1558439023263778,-0.558594,-0.660645,0.525391
1558439023287714,-0.554199,-0.658691,0.529297
1558439023309654,-0.548828,-0.655762,0.530762
1558439023325611,-0.552734,-0.654297,0.53125
1558439023348550,-0.544922,-0.655762,0.528809
1558439023369496,-0.547852,-0.653809,0.539063
1558439023385451,-0.553223,-0.649414,0.539551
1558439023408389,-0.556152,-0.65332,0.541992
1558439023431331,-0.556641,-0.650391,0.538086
1558439023445292,-0.562012,-0.65332,0.535645
1558439023468269,-0.564941,-0.656738,0.523438
1558439023490171,-0.55957,-0.657227,0.51416
1558439023505131,-0.554688,-0.648438,0.508789
