timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558439079561504,0,-3,0,-7,-5,-7,-2,1
1558439079561504,1,-2,-6,-7,2,3,1,-4
1558439079567488,-2,2,8,17,0,2,1,-2
1558439079567488,0,-1,-8,-8,2,-1,5,2
1558439079568486,1,3,9,10,10,0,1,-1
1558439079568486,-7,-8,-18,-16,-21,-13,-9,-6
1558439079569483,-5,-6,-3,-2,-2,2,-1,-1
1558439079569483,0,1,-7,-17,-10,-9,-5,-4
1558439079580454,1,1,6,11,3,5,4,0
1558439079580454,1,4,12,10,8,-2,3,2
1558439079588432,3,3,4,-2,4,2,0,1
1558439079588432,-4,-3,-3,-2,-9,3,-3,-5
1558439079594417,1,2,-5,-2,-2,-5,-5,1
1558439079594417,-3,2,6,0,8,4,5,5
1558439079610373,0,1,1,2,-6,-11,-7,-4
1558439079610373,-1,-4,-4,0,10,17,4,1
1558439079618352,-5,-6,-8,-14,-11,-8,-10,-5
1558439079618352,6,2,7,7,9,2,8,4
1558439079626330,-6,-7,-13,-15,-8,-6,-3,-3
1558439079626330,-5,-5,5,0,-4,-8,-4,-1
1558439079640293,2,5,2,0,5,3,4,-2
1558439079640293,-1,3,4,7,-5,-3,-5,-4
1558439079648272,-1,-3,-5,-5,-3,-1,-6,-3
1558439079648272,5,3,3,6,6,-5,1,1
1558439079689163,-3,-4,-6,-9,-2,11,6,1
1558439079689163,-1,-1,3,15,3,-2,0,-2
1558439079689163,0,-2,-4,-18,-12,-16,-4,-3
1558439079689163,0,7,0,-5,1,5,2,-1
1558439079693151,-4,-3,2,10,2,-4,0,1
1558439079693151,0,4,-1,-5,1,2,-6,-1
1558439079693151,-4,-7,0,-4,-7,0,0,-1
1558439079693151,2,-3,-1,5,11,10,9,2
1558439079700133,-1,-1,-8,-13,0,2,4,1
1558439079700133,1,-1,0,-6,-2,-2,-3,-2
1558439079707115,-7,-2,-1,3,-9,-5,-9,-6
1558439079707115,1,6,4,9,8,-1,8,5
1558439079715093,0,-2,1,-1,8,4,6,2
1558439079715093,-4,-4,-5,-2,-5,0,-3,-5
1558439079730054,1,-2,2,5,0,5,1,-1
1558439079730054,-1,-4,-2,0,-4,-7,-3,-2
1558439079737034,-1,3,1,0,-3,-9,-4,-3
1558439079737034,0,-4,0,5,-3,-6,-5,-1
1558439079751995,-1,-3,-5,-4,6,12,1,-2
1558439079751995,-2,-3,-7,-18,-7,-12,-7,-2
1558439079759973,0,-5,0,1,-6,-18,-11,-2
1558439079759973,-2,-1,-6,5,-2,13,8,-1
1558439079766955,0,2,1,2,8,8,2,-1
1558439079766955,3,2,-2,-5,2,5,-1,0
1558439079774934,2,6,10,4,-5,-11,-8,-6
1558439079774934,-2,-5,-9,-5,-5,-6,3,0
1558439079789895,-3,-9,-5,-12,-2,-3,2,0
1558439079789895,-2,-2,2,9,4,12,1,-1
1558439079796876,0,1,1,1,-2,9,-8,-6
1558439079796876,-3,1,-2,-12,-7,-10,-4,-2
1558439079811834,2,3,3,6,3,-14,2,2
1558439079811834,0,-3,-3,-7,-5,-3,-1,1
1558439079820809,-2,2,3,6,-1,7,-1,-3
1558439079820809,2,-3,-13,-17,-1,9,7,1
1558439079826794,-5,-5,-2,3,-3,-19,-9,0
1558439079826794,-3,-2,4,6,-9,-13,-13,-5
1558439079834774,-2,-2,-7,-12,2,3,2,-2
1558439079834774,2,4,8,2,0,-6,5,5
1558439079849732,-3,1,-3,4,-1,-1,-5,-4
1558439079849732,1,-2,2,-1,2,6,3,-1
1558439079856715,-1,-4,-3,-3,-5,2,0,2
1558439079856715,5,1,5,2,4,-3,-1,0
1558439079872672,-1,2,2,4,2,9,1,-2
1558439079872672,-4,-2,-6,-8,-9,-9,-6,-3
1558439079880650,1,2,2,1,-2,-3,0,1
1558439079880650,-4,-4,-3,-6,-2,-9,-3,0
1558439079887632,2,2,8,8,1,9,1,3
1558439079887632,-1,0,-16,-14,-3,-7,-6,0
1558439079902592,1,-2,2,5,-1,-7,1,2
1558439079902592,-2,-2,-1,-3,3,7,-1,-2
1558439079909573,3,4,-2,-7,4,3,4,1
1558439079909573,-13,-13,-1,6,-6,-1,-1,-4
1558439079917552,-3,-5,-6,-3,-5,-4,-1,-4
1558439079917552,0,2,9,3,-5,-7,-11,-5
1558439079932511,-2,-2,-4,-3,4,15,10,2
1558439079932511,6,5,4,-2,-2,-5,3,2
1558439079940490,-6,-5,-5,2,4,2,0,-1
1558439079940490,-4,-4,-3,-6,-11,-9,-11,-7
1558439079947474,1,2,18,20,10,11,1,1
