timestamp,x,y,z
1558434999101962,0.51416,-0.651367,0.591797
1558434999116915,0.508789,-0.641113,0.589355
1558434999138856,0.504395,-0.638672,0.598145
1558434999161794,0.505371,-0.632324,0.588867
1558434999176754,0.509766,-0.637207,0.587891
1558434999198695,0.503418,-0.631348,0.582031
1558434999237593,0.51123,-0.637207,0.588867
1558434999239587,0.505859,-0.641602,0.587891
1558434999259534,0.507324,-0.644043,0.582031
1558434999280476,0.505859,-0.646484,0.580566
1558434999297431,0.508789,-0.650391,0.581055
1558434999322365,0.51123,-0.651855,0.579102
1558434999364253,0.510742,-0.656738,0.580078
1558434999364253,0.512207,-0.654785,0.581055
1558434999378216,0.51709,-0.65625,0.577148
1558434999401169,0.51123,-0.655273,0.580566
1558434999417112,0.512695,-0.645508,0.572754
1558434999438055,0.512695,-0.639648,0.582031
1558434999460994,0.507813,-0.646484,0.577637
1558434999477948,0.507324,-0.647461,0.575684
1558434999497895,0.510254,-0.644531,0.579102
1558434999521831,0.505859,-0.637695,0.581055
1558434999536792,0.498535,-0.640625,0.581055
1558434999557736,0.494629,-0.645508,0.583496
1558434999581732,0.493164,-0.64502,0.587402
1558434999597628,0.494141,-0.65332,0.587891
1558434999618572,0.493652,-0.648438,0.596191
1558434999641511,0.488281,-0.647949,0.594727
1558434999663455,0.492676,-0.648926,0.596191
1558434999679409,0.496582,-0.649902,0.59082
1558434999701352,0.50293,-0.655762,0.592773
1558434999732270,0.498535,-0.65625,0.594727
1558434999738252,0.50293,-0.652832,0.585938
1558434999761191,0.502441,-0.657715,0.579102
1558434999784130,0.506348,-0.654297,0.577148
1558434999798097,0.498047,-0.651855,0.575684
1558434999821033,0.502441,-0.651855,0.580078
1558434999843970,0.50293,-0.653809,0.577148
1558434999857934,0.503418,-0.65625,0.578613
1558434999881868,0.50293,-0.660645,0.579102
1558434999904806,0.504395,-0.65625,0.583984
1558434999917773,0.504883,-0.657715,0.587402
1558434999941708,0.504883,-0.647461,0.588379
1558434999963649,0.506836,-0.649902,0.581055
1558434999987586,0.505371,-0.645508,0.583984
1558435000008529,0.504395,-0.643066,0.586426
1558435000023491,0.506836,-0.644531,0.582031
1558435000039447,0.506836,-0.64209,0.57959
1558435000061388,0.509277,-0.641113,0.577148
1558435000084328,0.505859,-0.647461,0.577148
1558435000099287,0.501953,-0.644531,0.574707
1558435000121228,0.506836,-0.641113,0.571777
1558435000144166,0.50293,-0.652832,0.574219
1558435000159126,0.507324,-0.649414,0.577148
1558435000181067,0.509766,-0.645996,0.57666
1558435000204007,0.507813,-0.650879,0.57959
1558435000219966,0.508789,-0.641602,0.580078
1558435000240909,0.505371,-0.645996,0.577637
1558435000263845,0.50293,-0.640137,0.580566
1558435000287782,0.5,-0.640625,0.57959
1558435000300749,0.499512,-0.638672,0.581055
1558435000323689,0.498535,-0.64209,0.580566
1558435000339646,0.500488,-0.642578,0.578125
1558435000362583,0.504395,-0.641602,0.585449
1558435000383531,0.503906,-0.643555,0.58252
1558435000399485,0.505859,-0.640137,0.586914
1558435000422424,0.505371,-0.636719,0.586426
1558435000445381,0.509766,-0.644043,0.587891
1558435000459329,0.510742,-0.644531,0.583496
1558435000482269,0.512695,-0.641602,0.585449
1558435000505203,0.515625,-0.641113,0.577637
1558435000519168,0.515625,-0.639648,0.581055
1558435000549089,0.515625,-0.643066,0.58252
1558435000565047,0.518066,-0.645508,0.57373
1558435000580004,0.519531,-0.638672,0.571777
1558435000602098,0.520508,-0.638672,0.580078
1558435000624880,0.518555,-0.635742,0.577637
1558435000639842,0.519043,-0.638184,0.575684
1558435000661782,0.516602,-0.638672,0.584961
1558435000685721,0.522461,-0.637207,0.579102
1558435000699680,0.522949,-0.634766,0.578613
1558435000721623,0.518066,-0.630371,0.582031
1558435000745559,0.519531,-0.63623,0.57373
1558435000759521,0.518066,-0.634766,0.572266
1558435000782460,0.52002,-0.636719,0.576172
1558435000805402,0.518555,-0.631836,0.571289
1558435000819384,0.514648,-0.624023,0.575195
1558435000842301,0.513184,-0.631836,0.578125
1558435000865240,0.515137,-0.635254,0.577637
1558435000879243,0.520508,-0.639648,0.573242
1558435000902145,0.522461,-0.629395,0.588867
1558435000925079,0.518066,-0.625977,0.585449
1558435000946026,0.516113,-0.638184,0.58252
1558435000961979,0.515625,-0.640625,0.587402
1558435000984919,0.51416,-0.63916,0.579102
1558435001013846,0.510742,-0.633301,0.581543
1558435001021844,0.508789,-0.631348,0.57959
1558435001045757,0.510254,-0.641113,0.57373
1558435001066701,0.510742,-0.63623,0.574707
1558435001082658,0.512695,-0.647461,0.584473
1558435001105596,0.516113,-0.642578,0.58252
1558435001126586,0.512695,-0.649902,0.585449
1558435001142498,0.510742,-0.648926,0.585938
1558435001165443,0.518066,-0.655273,0.587402
1558435001186467,0.514648,-0.644531,0.584473
1558435001202337,0.521973,-0.64209,0.582031
1558435001224325,0.522461,-0.646484,0.575195
1558435001246283,0.525391,-0.641113,0.576172
1558435001262179,0.527344,-0.633789,0.567871
1558435001284121,0.522461,-0.631836,0.567871
1558435001306101,0.516602,-0.626465,0.564941
1558435001322018,0.51416,-0.625488,0.574707
1558435001344953,0.51416,-0.632324,0.571777
1558435001374875,0.509277,-0.637695,0.578613
1558435001381950,0.510254,-0.634766,0.583496
1558435001404794,0.51123,-0.64209,0.583984
1558435001427734,0.51709,-0.654785,0.587891
1558435001441791,0.516602,-0.651855,0.583008
1558435001464635,0.52002,-0.646973,0.584473
1558435001487578,0.52002,-0.64502,0.579102
1558435001501566,0.520508,-0.649902,0.581543
1558435001524474,0.519531,-0.64502,0.580566
1558435001547449,0.521484,-0.644043,0.572754
1558435001562374,0.513672,-0.64209,0.575684
1558435001584402,0.509766,-0.644531,0.572266
1558435001607341,0.513184,-0.644043,0.569824
1558435001622301,0.512207,-0.642578,0.564941
1558435001644278,0.51123,-0.644531,0.572754
1558435001668177,0.512207,-0.644531,0.58252
