timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558435096153739,-4,-6,-5,9,-13,-13,-8,-5
1558435096153739,-1,-2,-14,-29,-3,2,-1,2
1558435096154737,-2,-2,0,1,-5,-4,-2,-3
1558435096154737,0,-2,-1,7,2,-1,-4,-3
1558435096155734,0,-1,6,1,0,2,1,1
1558435096155734,1,1,2,8,11,4,5,3
1558435096156730,-2,-1,-1,4,6,3,0,2
1558435096156730,0,1,2,-7,0,-5,-1,1
1558435096171690,1,0,3,11,4,-1,-5,-2
1558435096171690,0,-4,1,-3,-10,0,0,-1
1558435096172688,0,-1,-6,-9,2,4,4,1
1558435096172688,-5,-2,-5,-9,-7,-6,-7,-5
1558435096185652,-2,-1,-5,-12,-6,-6,-4,-4
1558435096185652,0,1,2,5,4,3,2,1
1558435096193631,2,2,2,2,3,2,-2,-1
1558435096193631,-2,-5,-1,10,-9,-5,-5,-3
1558435096200612,-1,-1,-6,-17,-6,-4,1,0
1558435096200612,-3,1,0,0,2,2,-1,-2
1558435096215586,-1,1,4,8,-2,-2,-1,2
1558435096215586,-2,-4,-4,-4,-3,-1,1,1
1558435096223553,2,2,0,-5,1,1,4,0
1558435096223553,-1,-3,0,-1,1,-4,-4,-3
1558435096231530,-2,-3,-2,3,-13,-10,-6,-5
1558435096231530,2,0,3,6,10,8,7,-1
1558435096278405,-3,-11,-3,-4,-4,-4,-6,-1
1558435096278405,-1,-5,-3,0,0,-7,-6,-3
1558435096279403,-1,-1,-4,-16,-6,0,-1,-2
1558435096279403,0,5,3,1,3,0,4,1
1558435096279403,-1,6,-2,4,-10,-7,-5,-1
1558435096279403,-3,-6,-4,-11,-11,-6,-3,-3
1558435096282394,-3,-2,4,14,3,-3,-2,-1
1558435096282394,-4,-5,-6,-4,-6,-1,-5,-4
1558435096291370,1,0,3,7,11,7,5,2
1558435096291370,2,5,1,-3,0,-3,3,3
1558435096297354,-3,-3,-3,-1,-4,-8,-9,-4
1558435096297354,0,-2,3,7,5,4,3,2
1558435096306330,0,1,-8,-25,-7,-6,-1,-3
1558435096306330,-2,0,0,2,3,5,4,-1
1558435096320292,2,1,3,7,7,5,6,3
1558435096320292,-4,-8,-10,-17,-10,-10,-9,-5
1558435096329270,-1,-2,-1,5,10,8,3,2
1558435096329270,0,-2,-4,-7,-6,-3,-3,-1
1558435096335252,-1,1,3,3,-2,-1,-1,-3
1558435096335252,0,1,0,0,-1,-2,-1,1
1558435096352208,1,0,1,3,4,2,-1,0
1558435096352208,0,-1,-6,2,-7,3,4,-1
1558435096357194,-1,1,-2,-11,7,7,3,3
1558435096357194,-3,0,1,2,-1,-7,-3,-3
1558435096366170,-2,0,0,1,-5,-4,-2,-2
1558435096366170,-3,-1,4,8,-6,-5,-4,-2
1558435096381131,-1,-1,-5,-8,-3,-2,-3,0
1558435096381131,1,1,4,-5,1,8,2,0
1558435096389110,-1,-3,-7,0,-3,-9,-3,-2
1558435096389110,-3,-3,3,7,9,1,0,1
1558435096395093,-3,-6,-17,-8,-12,-11,-7,-4
1558435096395093,1,2,5,3,8,1,2,1
1558435096411050,-1,-1,3,5,-9,-2,-1,-2
1558435096411050,-2,-1,-3,-7,0,-3,-2,-2
1558435096417033,2,5,12,9,5,3,2,2
1558435096417033,-1,0,-6,-2,-4,4,-1,-3
1558435096426009,-5,-5,0,-2,-2,-4,-6,-3
1558435096426009,2,2,2,6,7,-1,0,3
1558435096439973,-1,2,1,-5,-4,-8,-3,-2
1558435096439973,1,0,1,1,-1,4,3,1
1558435096448949,-1,3,9,5,6,6,2,-2
1558435096448949,-4,-5,-16,-22,-6,-2,-3,-4
1558435096454934,-2,-5,0,17,4,2,-1,-3
1558435096454934,-2,-2,1,3,0,-3,-3,-1
1558435096471887,-1,6,1,-17,-9,-6,-4,0
1558435096471887,-2,6,-9,-4,-3,0,3,1
1558435096477872,-4,-16,-8,-4,5,3,4,0
1558435096477872,2,-1,-7,-6,-3,1,-3,2
1558435096486848,-4,-13,4,8,-4,-5,-5,-5
1558435096486848,0,2,8,3,-5,-2,-2,-2
1558435096499811,-3,2,-11,-19,-14,-8,-9,-6
1558435096499811,0,-3,1,10,5,2,7,2
1558435096508788,4,5,-3,-7,13,14,9,4
1558435096508788,1,1,4,13,9,4,2,4
1558435096514772,-1,0,-1,-9,-2,4,0,1
1558435096514772,-4,-4,-3,-7,-10,-12,-9,-4
1558435096531728,1,3,-1,-1,-9,-11,-5,-3
1558435096531728,0,-3,-5,0,-4,-3,-2,-3
1558435096537712,-1,-1,-1,-1,10,9,4,0
1558435096537712,-2,0,4,2,-11,-10,-9,-5
1558435096546688,0,2,-6,-2,7,6,6,3
1558435096546688,-3,-7,2,2,5,7,4,3
1558435096559653,-1,1,6,6,-6,-7,-4,-3
1558435096559653,0,1,-3,-17,-7,-6,-6,-2
1558435096568630,-3,-3,-6,3,2,-3,-5,-5
1558435096568630,1,-3,5,12,-7,-2,-4,-4
1558435096582592,-3,-3,-5,-16,-10,-2,-2,-6
1558435096582592,-2,-3,-1,5,13,8,6,2
1558435096591567,5,4,0,0,10,5,6,5
1558435096591567,2,7,1,-1,1,-2,-2,0
1558435096606528,2,0,7,15,1,3,2,3
