timestamp,x,y,z
1558439312574505,-0.467285,-0.640137,0.625488
1558439312590462,-0.461426,-0.643066,0.622559
1558439312612402,-0.466797,-0.64209,0.620117
1558439312643320,-0.470215,-0.637695,0.617188
1558439312649303,-0.470703,-0.636719,0.617676
1558439312673241,-0.470215,-0.635254,0.620117
1558439312695186,-0.471191,-0.639648,0.609863
1558439312733079,-0.474121,-0.632813,0.619141
1558439312742055,-0.479492,-0.636719,0.612305
1558439312755021,-0.474121,-0.63916,0.608398
1558439312769981,-0.479492,-0.63916,0.614258
1558439312793917,-0.473633,-0.632324,0.612793
1558439312814860,-0.481934,-0.631348,0.612793
1558439312851762,-0.485352,-0.633789,0.609863
1558439312861736,-0.48584,-0.632324,0.60791
1558439312874700,-0.491211,-0.62793,0.609375
1558439312889661,-0.499023,-0.624512,0.602539
1558439312912599,-0.495117,-0.631348,0.606445
1558439312935537,-0.495117,-0.633789,0.600098
1558439312950497,-0.494629,-0.640625,0.598145
1558439312972440,-0.489258,-0.638672,0.598145
1558439312995378,-0.493164,-0.62207,0.613281
1558439313010338,-0.483398,-0.616211,0.61084
1558439313032280,-0.480957,-0.614746,0.606934
1558439313055217,-0.486328,-0.612305,0.612793
1558439313077160,-0.488281,-0.623535,0.611816
1558439313093119,-0.499023,-0.62793,0.614746
1558439313115059,-0.496582,-0.635254,0.615723
1558439313130027,-0.495117,-0.632813,0.61377
1558439313152966,-0.498535,-0.638184,0.614746
1558439313174922,-0.490723,-0.644043,0.619629
1558439313197838,-0.480469,-0.639648,0.616699
1558439313219777,-0.474609,-0.654785,0.612793
1558439313243714,-0.477539,-0.651855,0.611816
1558439313249698,-0.476563,-0.635254,0.617676
1558439313272637,-0.477539,-0.632813,0.618164
1558439313294578,-0.477539,-0.630371,0.612305
1558439313309537,-0.482422,-0.640625,0.615234
1558439313340456,-0.489746,-0.638184,0.624023
1558439313356412,-0.498047,-0.641113,0.611816
1558439313369378,-0.508301,-0.636719,0.604004
1558439313392316,-0.515625,-0.64209,0.601563
1558439313415254,-0.522461,-0.637207,0.598633
1558439313437196,-0.527344,-0.635254,0.60791
1558439313454151,-0.532227,-0.640137,0.602539
1558439313475095,-0.528809,-0.635254,0.605469
1558439313498033,-0.525879,-0.637695,0.602051
1558439313512994,-0.524902,-0.63916,0.606934
1558439313534943,-0.52002,-0.64209,0.610352
1558439313549897,-0.512207,-0.640137,0.604492
1558439313572836,-0.510742,-0.635742,0.606445
1558439313594776,-0.512695,-0.631348,0.60498
1558439313617712,-0.507324,-0.625,0.600586
1558439313632673,-0.51123,-0.632324,0.595215
1558439313654614,-0.516113,-0.624023,0.589844
1558439313669574,-0.515625,-0.622559,0.586914
1558439313692513,-0.518066,-0.617676,0.580078
1558439313715452,-0.528809,-0.605957,0.571289
1558439313730412,-0.526367,-0.619141,0.568848
1558439313754349,-0.518555,-0.609863,0.568848
1558439313775293,-0.521484,-0.611328,0.565918
1558439313797234,-0.513184,-0.595703,0.570801
1558439313812193,-0.510742,-0.603516,0.570313
1558439313835137,-0.507324,-0.608398,0.574707
1558439313857077,-0.509766,-0.605469,0.589844
1558439313874030,-0.511719,-0.599609,0.59082
1558439313896968,-0.519043,-0.604492,0.592773
1558439313917915,-0.512207,-0.600098,0.602539
1558439313941850,-0.519531,-0.605469,0.593262
1558439313954814,-0.522949,-0.618652,0.597656
1558439313977751,-0.532227,-0.619141,0.589844
1558439313993710,-0.544922,-0.624512,0.584961
1558439314014654,-0.54541,-0.627441,0.57666
