timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558439297728860,-1,1,9,8,2,-1,-3,1
1558439297728860,-1,-2,1,-9,-2,1,-3,-1
1558439297734844,0,1,0,-8,-6,-6,-4,-2
1558439297734844,1,-2,-3,0,-8,-6,-4,1
1558439297734844,-1,-3,-4,5,2,-1,-1,-3
1558439297734844,-1,-2,-10,-17,6,1,2,1
1558439297736843,-3,-4,-10,10,1,-5,-8,-2
1558439297736843,2,3,16,7,5,8,10,2
1558439297747810,2,-5,-27,-34,-18,-10,-5,-2
1558439297747810,-11,-5,2,29,4,1,-8,-8
1558439297758779,3,4,23,23,2,2,2,1
1558439297758779,-5,-3,-11,-16,1,-4,-6,-3
1558439297762769,2,-2,-11,-6,3,6,2,-1
1558439297762769,3,4,1,5,-3,-7,4,4
1558439297777728,0,2,4,2,0,-10,-5,0
1558439297777728,-9,-6,-13,-28,-13,-5,-6,-5
1558439297787702,2,3,12,11,2,1,-5,4
1558439297787702,-1,-3,-2,-5,-7,-3,2,0
1558439297793687,-3,-5,-7,-9,-8,0,-6,-7
1558439297793687,5,3,8,14,5,-3,-2,4
1558439297807648,-1,4,7,8,7,-6,5,1
1558439297807648,1,-1,-2,-17,-4,7,1,-1
1558439297817622,-2,-2,-3,3,6,0,3,1
1558439297817622,1,-2,-2,-1,1,-2,-1,-2
1558439297855520,0,-1,8,-6,1,1,-3,-3
1558439297855520,2,-1,0,-3,-4,-5,-9,-3
1558439297855520,-2,-4,-10,-12,-11,-1,-7,-3
1558439297855520,-6,-2,-4,-2,1,0,3,2
1558439297856518,0,3,6,-13,1,1,1,-4
1558439297856518,-3,-2,-23,-4,-1,5,5,1
1558439297859510,1,2,11,15,2,-2,2,0
1558439297859510,0,-3,-2,-13,-4,-3,-8,-5
1558439297867490,-5,-7,-6,13,-5,0,-3,-3
1558439297867490,0,1,3,-4,-6,-1,8,3
1558439297876465,-6,-5,-3,-11,-2,-3,-8,-8
1558439297876465,0,-1,-12,-14,-3,5,1,-1
1558439297898405,-2,-3,-1,14,-5,-9,-5,1
1558439297898405,2,1,18,13,9,-3,-2,-1
1558439297900401,-1,-4,-19,-13,-3,2,0,1
1558439297900401,2,5,8,4,-5,-1,0,0
1558439297904390,-6,-6,-10,-10,-6,-10,-10,-4
1558439297904390,-3,0,5,3,1,5,-2,-2
1558439297913366,0,0,-2,5,-6,-5,-1,-4
1558439297913366,3,3,16,23,14,8,7,5
1558439297927329,0,-1,-16,-16,3,2,6,1
1558439297927329,2,1,-3,0,1,2,1,0
1558439297936304,-3,0,10,7,9,9,6,2
1558439297936304,-1,-1,-2,1,-2,-3,-3,-2
1558439297942289,1,3,6,8,-9,-6,-5,-1
1558439297942289,-5,-6,-10,-31,1,8,6,-3
1558439297957248,1,1,8,1,5,-7,5,5
1558439297957248,-4,-8,-7,6,-7,-6,-13,-6
1558439297965227,3,3,9,-10,1,0,6,2
1558439297965227,0,-1,-8,9,-4,-1,-7,-4
1558439297974204,-1,-2,-10,-4,3,4,2,0
1558439297974204,-5,-2,6,6,-1,0,-3,-3
1558439297987168,-1,-1,-11,-13,-5,3,-4,-1
1558439297987168,-2,0,15,10,-7,-14,-8,0
1558439297996145,-1,-1,7,13,8,3,0,1
1558439297996145,1,1,-7,-11,-5,-10,-2,1
1558439298002131,3,4,11,19,8,10,5,0
1558439298002131,-3,-5,-2,-15,-7,0,-1,-1
1558439298017088,3,3,-1,-7,-8,-9,-2,0
1558439298017088,2,2,11,16,5,2,1,3
1558439298025067,-4,-1,-13,-20,-2,4,1,-1
1558439298025067,1,-2,-12,2,-4,-2,1,2
1558439298040026,-2,-3,8,11,-1,-4,-7,-4
1558439298040026,3,4,-9,-20,-1,0,5,2
1558439298047007,-2,-2,9,12,-2,-6,2,-3
1558439298047007,-3,-3,5,-2,-4,-5,-4,-6
1558439298055984,1,0,1,-6,4,9,2,0
1558439298055984,-3,-3,-6,-2,3,6,9,2
1558439298061968,-3,-3,2,3,-1,-7,-7,-3
1558439298061968,1,1,4,4,-5,-2,-4,2
1558439298078923,3,7,9,2,2,-1,3,2
1558439298078923,-4,-9,-21,-20,-7,-2,-6,-6
1558439298084907,1,1,1,-8,-1,-4,-3,2
1558439298084907,1,0,-4,3,9,6,6,3
1558439298099868,-1,2,18,14,1,9,4,-3
1558439298099868,-2,-2,8,11,8,-6,-1,-1
1558439298107850,1,0,3,-1,-4,0,-8,-1
1558439298107850,-2,-5,-31,-39,-17,-5,-3,-4
1558439298124801,-5,-5,-15,-3,-4,8,6,-2
1558439298124801,-1,-2,8,13,3,-3,-1,-4
1558439298124801,-1,-3,-4,-8,-10,-27,-12,-4
1558439298124801,-1,3,12,12,7,-1,4,-1
1558439298145745,-2,-2,-9,-6,-6,-2,-7,-2
1558439298145745,-6,-7,-10,-12,-12,-5,-4,-2
1558439298145745,-1,4,10,14,11,9,8,2
1558439298145745,4,5,18,16,9,-1,3,5
1558439298167687,-4,-5,-23,-16,-7,0,-7,-5
1558439298167687,2,3,9,10,2,1,5,0
