timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558439654064579,-1,-2,-2,-2,-2,-3,-1,2
1558439654064579,0,-2,1,-4,6,3,2,-2
1558439654070563,-4,-4,-3,-2,-6,-1,-5,-5
1558439654070563,-1,1,0,4,3,-3,-2,-1
1558439654071560,0,0,2,-3,8,3,6,5
1558439654071560,1,1,-4,0,-4,-3,-1,1
1558439654072558,-1,-2,-1,1,-4,-5,-5,-3
1558439654072558,-2,-4,-7,-8,-13,-10,-12,-9
1558439654083528,0,-1,0,-1,9,10,12,5
1558439654083528,-3,-5,2,7,3,7,-1,-4
1558439654099486,0,0,-3,-3,-3,1,3,-3
1558439654099486,-9,-4,0,-2,0,-2,-1,-3
1558439654101480,-2,1,1,-2,-8,-1,-2,-5
1558439654101480,0,2,0,-4,-3,-13,-6,0
1558439654122423,4,0,3,0,8,6,5,5
1558439654122423,-4,-1,3,-1,1,3,-3,-3
1558439654124418,2,2,-1,1,-2,-9,-3,-2
1558439654124418,-4,-4,-4,-4,-9,0,-3,-4
1558439654129405,2,0,-1,-2,-2,-1,-2,3
1558439654129405,3,3,0,0,-1,-3,5,0
1558439654144365,-3,-3,-2,1,-2,2,-5,-3
1558439654144365,0,1,1,-3,-3,-11,-2,0
1558439654150348,-1,-1,-3,-2,1,3,2,-2
1558439654150348,1,2,2,1,11,17,9,7
1558439654167305,-3,0,0,0,-3,3,-2,0
1558439654167305,-4,-2,-3,-4,-2,-4,0,-4
1558439654173287,-1,-1,-2,-2,-2,-4,-5,-1
1558439654173287,1,-2,0,-2,-3,3,2,-1
1558439654220165,-3,0,-2,-1,-3,1,-1,2
1558439654220165,2,-2,-3,-5,-4,-3,2,0
1558439654220165,-1,-1,0,1,3,-4,-4,-2
1558439654220165,0,0,0,1,5,4,5,3
1558439654221159,-2,-3,-3,-5,0,-1,-3,-3
1558439654221159,0,2,0,-3,-5,-1,-4,-6
1558439654222157,-13,-8,-2,1,-8,-5,-3,0
1558439654222157,4,2,-2,-1,-1,4,2,-1
1558439654242104,1,-2,1,-1,4,5,2,0
1558439654242104,-1,3,1,5,5,3,0,3
1558439654243101,2,3,0,-2,1,-3,-1,1
1558439654243101,-4,-2,1,-4,-5,-11,-6,-3
1558439654257062,1,0,1,3,3,7,7,4
1558439654257062,-4,-4,-5,-4,-6,-5,-4,-3
1558439654264044,-1,-3,-2,-3,1,12,3,-3
1558439654264044,-3,-1,-1,-3,-7,-12,-6,-2
1558439654279005,0,-3,-1,0,3,-7,1,1
1558439654279005,2,1,2,2,8,5,4,2
1558439654279005,-1,-2,-3,-5,-9,-6,-3,-3
1558439654279005,-1,-1,0,2,-4,4,-4,-2
1558439654292967,-3,1,-2,-1,4,8,2,-1
1558439654292967,0,-3,2,-2,3,-2,1,2
1558439654299949,2,-2,-4,-3,-4,-3,-8,-6
1558439654299949,-3,-1,-1,-1,0,1,3,3
1558439654308925,0,1,-1,-2,-8,-12,-7,-4
1558439654308925,1,0,-1,-1,6,7,6,3
1558439654323885,-2,-1,-2,0,1,-1,1,-3
1558439654323885,-1,-2,0,-2,2,0,-6,-2
1558439654330866,0,0,-1,-1,-5,-10,-5,-1
1558439654330866,-3,-1,-2,0,-1,5,7,5
1558439654337847,1,2,0,0,1,-4,-4,-4
1558439654337847,-3,-1,-1,-2,1,3,-1,-4
1558439654352824,0,0,0,1,-2,-2,0,-2
1558439654352824,-1,-3,-3,-4,-8,-11,-8,-6
1558439654360786,-3,-3,-5,-4,-1,2,4,-1
1558439654360786,-1,-1,1,4,7,8,2,3
1558439654369762,1,2,2,-1,1,-2,-3,1
1558439654369762,-2,-1,0,-3,-10,-8,-9,-6
1558439654383724,2,0,0,0,-1,3,2,2
1558439654383724,-1,-2,-2,-1,-4,-11,-1,-1
1558439654390706,-3,-4,0,-1,-3,3,0,-1
1558439654390706,-1,3,2,1,5,-2,-2,-1
1558439654397688,3,2,5,2,1,-5,-5,3
1558439654397688,-8,-7,2,0,4,8,3,-2
1558439654412647,-2,1,1,-2,1,1,1,-2
1558439654412647,-2,0,-5,-3,-8,0,-1,-4
1558439654420661,0,1,0,-3,-4,-9,-3,-2
1558439654420661,3,-1,-3,-3,1,5,0,-3
1558439654429603,-2,-2,0,-1,-7,-13,-7,-3
1558439654429603,-1,-4,-3,-2,1,4,1,-3
1558439654443564,-1,3,0,1,4,7,1,2
1558439654443564,-2,-2,-3,-3,-3,-4,1,1
1558439654450548,-1,-1,-1,2,5,-1,3,3
1558439654450548,-4,-2,-2,-2,-5,-8,-14,-12
1558439654466503,-5,-2,-2,-4,-4,-5,-3,-2
1558439654466503,1,0,-3,-1,-5,-2,-1,-3
1558439654472487,0,-2,-3,-2,1,9,5,4
1558439654472487,1,2,3,3,2,-3,3,-1
1558439654489443,0,-3,-2,-2,-1,-3,-2,3
1558439654489443,0,-2,0,0,-3,2,0,0
1558439654490440,-1,-2,-2,-4,-3,-4,-3,-5
1558439654490440,0,-2,0,-2,0,2,-2,1
1558439654511385,-4,-3,-1,0,-2,-4,-4,-4
1558439654511385,5,4,-1,0,0,-4,4,3
1558439654513379,2,5,-1,1,0,2,3,0
1558439654513379,-8,-5,0,-1,1,1,0,1
1558439654518364,0,3,0,-3,-5,-4,-5,-4
1558439654518364,1,0,0,-3,-1,-4,-1,1
1558439654534322,-1,0,-1,-2,-3,3,-2,-2
1558439654534322,1,-3,-2,-1,2,-4,4,6
1558439654540308,-2,-1,2,2,4,2,-5,0
1558439654540308,-1,-1,-2,-2,-3,-4,-6,-5
1558439654557261,-4,-3,-3,0,7,14,4,0
1558439654557261,1,0,-1,-1,-5,-5,-3,-2
1558439654563246,-1,-1,-2,-2,-2,-2,5,1
1558439654563246,1,0,-1,-2,-9,-17,-12,-3
1558439654570225,1,-1,1,-2,5,2,1,-1
1558439654570225,0,3,2,4,9,4,9,5
1558439654578205,-1,-1,-2,-1,-2,3,4,-1
1558439654578205,-2,0,1,-1,3,4,-2,-2
1558439654593164,-1,-4,-2,-3,-2,-4,-3,-3
1558439654593164,0,-1,0,-1,-8,-3,-5,1
1558439654600146,0,1,1,2,1,1,3,0
1558439654600146,0,1,0,0,1,8,7,3
1558439654609121,-3,-3,-3,-1,-11,-11,-10,-3
1558439654609121,-1,2,-2,-1,2,1,2,1
1558439654624082,3,0,0,0,7,7,5,2
1558439654624082,-4,-3,-3,-2,-2,0,-2,1
1558439654630066,-2,-5,-3,-3,-3,-1,-5,-4
1558439654630066,-3,-1,-2,-4,-11,-14,-7,-9
1558439654638045,-1,-2,-3,-1,-5,2,0,0
1558439654638045,6,4,5,3,13,4,6,3
1558439654653005,0,-1,0,3,5,8,6,1
1558439654653005,-4,-2,-3,-5,-5,1,-3,-3
1558439654659986,0,-3,-1,-3,-4,-8,-4,-1
1558439654659986,-4,-4,-4,-4,-12,-13,-10,-4
1558439654668962,-2,-2,0,-3,-3,3,-1,-2
1558439654668962,1,1,1,-2,-1,-6,0,1
1558439654683922,-2,-3,-2,-2,-3,-1,-1,-2
1558439654683922,-3,-1,-3,-1,0,6,0,-5
1558439654689907,2,0,0,0,2,-8,-2,9
1558439654689907,0,2,-1,-1,2,11,2,1
1558439654697884,-2,-4,-2,-1,-3,-4,-3,-2
1558439654697884,-1,-2,-4,-5,-8,-8,-7,-3
1558439654712846,0,-1,-2,-2,-5,0,-1,-5
1558439654712846,-1,-4,-4,0,-2,-5,-3,-1
1558439654720823,1,2,3,1,10,6,0,1
1558439654720823,-2,-1,-1,0,-2,2,-2,0
1558439654728803,2,1,1,1,0,-11,2,2
1558439654728803,1,0,1,1,4,1,0,1
1558439654742765,1,2,-1,-2,-4,-2,-1,-3
1558439654742765,-11,-7,-4,1,6,5,5,2
1558439654751740,-2,-2,-3,-3,-7,-1,-3,-7
1558439654751740,1,0,2,3,2,0,4,3
1558439654757724,1,-1,-2,-3,-3,-2,-2,0
1558439654757724,0,0,-1,-1,-2,1,-2,-5
1558439654772685,-2,-1,-2,-2,2,0,-4,-1
1558439654772685,-2,-2,-1,-2,-6,-3,-3,-3
1558439654780663,-2,-1,1,0,5,11,1,-1
1558439654780663,1,-2,0,-3,-9,-11,-3,-1
1558439654791077,-2,-2,1,1,1,2,-2,-6
1558439654791077,2,1,1,1,8,9,2,6
1558439654802604,-3,-3,-4,-1,-2,0,-1,-1
1558439654802604,1,2,-1,-1,-2,-2,-2,-2
1558439654811580,2,1,-1,-1,-2,-9,0,3
1558439654811580,-3,-2,-2,-2,0,1,-2,-3
1558439654825544,-3,0,1,-2,-3,-4,0,-1
1558439654825544,0,0,-1,-1,-2,1,-4,-3
1558439654832525,-3,-4,-3,-3,-7,4,-4,-5
1558439654832525,-2,-4,-2,-3,2,-2,1,1
1558439654840503,-1,0,1,2,5,-3,7,4
1558439654840503,5,2,0,-1,5,0,4,2
1558439654856461,-11,-9,-2,1,0,-1,-6,-7
1558439654856461,-1,-1,-4,-4,-8,0,-3,-7
1558439654862445,-2,-3,-3,-3,-11,-11,-10,-4
1558439654862445,-2,-1,0,2,1,3,2,1
1558439654871432,0,1,-1,0,-3,2,4,1
1558439654871432,0,0,4,2,11,3,0,2
1558439654886381,0,-2,-2,2,4,3,0,-3
1558439654886381,-1,1,-2,-2,0,-3,-1,0
