timestamp,x,y,z
1558435363580691,0.170898,-0.914063,0.411133
1558435363602632,0.175293,-0.916992,0.408691
1558435363617591,0.174805,-0.916992,0.398926
1558435363640531,0.177734,-0.913086,0.396484
1558435363662472,0.180664,-0.910156,0.391602
1558435363677432,0.180664,-0.908691,0.394043
1558435363702365,0.179688,-0.907715,0.381836
1558435363732284,0.181641,-0.906738,0.379883
1558435363739267,0.181641,-0.912109,0.389648
1558435363761208,0.186035,-0.912109,0.387695
1558435363783149,0.180176,-0.913574,0.391602
1558435363798109,0.181152,-0.909668,0.397949
1558435363822045,0.181641,-0.910645,0.395996
1558435363849970,0.183594,-0.910645,0.395508
1558435363860941,0.186523,-0.912598,0.398926
1558435363879891,0.188477,-0.913574,0.390625
1558435363902829,0.203613,-0.908203,0.400879
1558435363919785,0.206055,-0.915039,0.400391
1558435363940729,0.196289,-0.913086,0.395508
1558435363962669,0.194824,-0.906738,0.392578
1558435363977629,0.199707,-0.905762,0.385742
1558435364000568,0.200195,-0.906738,0.384277
1558435364022511,0.19873,-0.904785,0.37793
1558435364045449,0.199707,-0.901855,0.371582
1558435364060407,0.203125,-0.894531,0.375
1558435364083347,0.209961,-0.895996,0.377441
1558435364098306,0.232422,-0.898926,0.367676
1558435364120248,0.255371,-0.90918,0.371094
1558435364143187,0.268066,-0.933594,0.381836
1558435364157149,0.266602,-0.936523,0.381348
1558435364180087,0.257324,-0.928223,0.382324
1558435364203066,0.245117,-0.92334,0.378906
1558435364216991,0.236328,-0.916504,0.378418
1558435364239932,0.236328,-0.916504,0.379395
1558435364262901,0.242676,-0.930664,0.376953
1558435364276856,0.24707,-0.922852,0.385742
1558435364301762,0.25293,-0.92041,0.387695
1558435364322706,0.249023,-0.920898,0.38623
1558435364337668,0.25293,-0.914551,0.384766
1558435364360605,0.249512,-0.90918,0.383301
1558435364382545,0.249023,-0.916992,0.379395
1558435364397505,0.254883,-0.914551,0.380371
1558435364428423,0.253906,-0.913086,0.371094
1558435364443383,0.250977,-0.912109,0.378418
1558435364457346,0.244629,-0.911621,0.371582
1558435364480292,0.251465,-0.906738,0.365234
1558435364503228,0.250488,-0.901367,0.364258
