timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558435363734279,-2,-2,-3,-1,-2,-2,-4,-5
1558435363734279,3,2,2,3,4,6,6,3
1558435363735277,-3,0,-1,-1,-1,-5,-5,-3
1558435363735277,-4,-2,-3,-3,-2,0,-4,-2
1558435363738270,0,-2,1,-2,-3,-6,-6,-4
1558435363738270,2,-2,-2,-2,-3,-4,2,3
1558435363740265,2,-1,3,1,3,1,3,1
1558435363740265,-1,-2,-1,-3,-2,-2,-3,-1
1558435363752232,-2,0,-2,-3,-2,-1,-2,-3
1558435363752232,-3,-4,-3,-3,-8,-6,-9,-5
1558435363763202,0,-1,-1,0,1,1,0,3
1558435363763202,-2,-1,-2,0,-1,-1,-1,0
1558435363767191,-3,-2,-2,-3,-5,-2,-3,0
1558435363767191,-2,-2,0,-1,1,2,1,0
1558435363784148,0,-1,-1,1,2,1,1,1
1558435363784148,0,-1,2,1,2,1,2,0
1558435363791128,0,0,-2,2,1,-1,3,1
1558435363791128,-2,0,-1,0,0,-2,-4,-3
1558435363799107,-2,0,-3,-4,-6,-5,-4,-5
1558435363799107,1,0,-5,-2,-2,-2,-1,-1
1558435363812072,1,-2,0,-1,0,0,1,3
1558435363812072,-3,0,0,-2,0,-1,0,-2
1558435363822045,-1,-1,-1,-2,-4,0,-4,-1
1558435363822045,3,0,-1,0,-1,0,-3,-2
1558435363850968,-4,-8,-4,-5,-3,-4,-4,-5
1558435363850968,-1,-2,1,2,2,0,3,4
1558435363858946,-1,-1,-1,3,8,-1,4,3
1558435363858946,2,7,2,2,4,5,1,1
1558435363859944,2,1,-1,1,-3,1,0,1
1558435363859944,0,-7,-2,-3,-3,-2,-7,-8
1558435363860941,-2,-2,-2,-4,-7,-5,-6,-2
1558435363860941,-2,-4,-2,0,-1,-4,0,-1
1558435363871912,1,2,-2,-1,-1,0,0,-1
1558435363871912,-10,-7,-4,-1,-3,-2,0,0
1558435363880888,1,0,-3,-3,-4,0,-1,-1
1558435363880888,-1,1,2,2,5,1,-1,-2
1558435363886872,1,0,-1,-1,1,1,2,1
1558435363886872,-1,-2,1,0,-1,-2,-2,-2
1558435363903827,-3,-3,-2,-4,-2,-3,-4,-3
1558435363903827,-3,-1,-2,-2,-4,2,1,0
1558435363918787,-2,-1,3,3,5,-2,-1,1
1558435363918787,1,4,0,-2,2,1,1,1
1558435363919785,-1,0,-1,2,2,2,3,0
1558435363919785,0,-3,-4,-4,-6,-6,-2,-3
1558435363931753,-5,-3,-5,-2,-4,-2,-3,-1
1558435363931753,1,2,-1,0,0,-4,-1,1
1558435363940729,2,-1,2,-1,1,-4,-3,-1
1558435363940729,-1,2,-1,-2,0,-2,-2,0
1558435363946712,-2,0,2,1,0,-2,-2,-5
1558435363946712,-3,-3,-5,-4,-7,1,0,0
1558435363963666,0,3,1,2,4,3,5,3
1558435363963666,2,0,1,2,4,1,1,2
1558435363969651,-1,-2,1,2,0,2,1,-2
1558435363969651,0,-6,-3,-3,1,0,-2,-3
1558435363978627,-3,-1,-2,-5,-10,-3,-2,-3
1558435363978627,0,-2,-4,-1,-1,-2,-4,-1
1558435363992589,-1,0,0,0,0,-2,0,1
1558435363992589,3,4,-1,1,1,1,-1,-2
1558435364001565,3,-3,-3,-6,-2,-2,-3,-4
1558435364001565,-3,-4,-4,-3,-4,-4,2,-2
1558435364007548,1,-1,-1,0,-3,-5,-7,2
1558435364007548,-2,4,1,3,3,2,-1,-6
1558435364023507,-2,1,2,3,4,4,3,1
1558435364023507,-1,-3,-2,-1,-1,1,-2,-3
1558435364029490,0,-2,-1,-2,-2,0,-2,-4
1558435364029490,-3,-7,1,-2,0,-1,1,5
1558435364046446,-1,-2,0,1,1,-3,-4,-3
1558435364046446,-2,-3,-2,-4,-4,-3,0,-1
1558435364052429,1,1,-2,-3,-3,-4,3,0
1558435364052429,3,2,1,-3,-3,-1,-6,-1
1558435364061406,0,0,-1,2,-4,-2,-2,-5
1558435364061406,5,2,-2,-1,4,2,3,3
1558435364067389,-1,2,0,-2,0,3,3,-1
1558435364067389,-5,-2,-1,2,5,5,2,-1
1558435364083347,-2,-2,1,2,4,-5,-2,4
1558435364083347,0,-2,0,0,-4,0,-2,-2
1558435364089332,4,2,2,6,5,0,6,3
1558435364089332,-2,2,-2,-8,-7,-7,-2,-1
1558435364098306,2,1,2,7,14,11,9,3
1558435364098306,-4,-1,-4,-6,-5,-3,-6,-7
1558435364112270,-1,-3,-3,-6,-7,-3,-5,-2
1558435364112270,2,4,0,2,3,-1,2,-3
1558435364121245,0,-3,-6,-2,-3,-2,-2,-4
1558435364121245,-2,-4,1,0,1,-4,-2,0
1558435364127228,1,0,0,3,1,0,2,-1
1558435364127228,-3,-5,-5,-9,-10,-5,-3,-2
1558435364144189,-3,-3,-3,-3,-2,0,-1,0
1558435364144189,-2,1,0,0,2,2,0,-1
1558435364150168,-4,-4,-4,-3,-3,-5,-5,-4
1558435364150168,0,1,-1,2,-1,0,1,2
1558435364165127,4,4,7,-1,2,1,0,0
1558435364165127,-6,-7,-2,-1,-2,-1,-5,-2
1558435364172108,-4,-2,0,0,0,-1,-1,-2
1558435364172108,2,2,1,3,-2,-3,-3,-2
1558435364181085,-1,1,-3,-4,-5,0,-3,-3
1558435364181085,2,0,0,-1,-3,-3,-1,-2
1558435364187070,-1,-1,0,-1,-1,-5,-1,-2
1558435364187070,2,1,1,0,5,3,3,3
1558435364204047,1,-2,-5,-4,-5,-6,-3,-2
1558435364204047,-8,-11,-3,0,-1,3,-1,-1
1558435364210046,-2,0,-1,0,3,3,1,2
1558435364210046,-4,-4,-4,-2,-5,-5,-4,-8
1558435364224971,0,0,-4,-3,-6,-3,-3,-3
1558435364224971,1,6,6,0,1,2,2,2
1558435364231949,0,-4,-1,-3,1,-3,3,5
1558435364231949,1,0,2,3,3,2,-2,-5
1558435364240925,-4,-6,-2,-1,-4,-1,-4,-5
1558435364240925,1,2,-3,-1,-5,-3,-5,-3
1558435364246909,4,3,-1,-1,5,4,3,1
1558435364246909,-4,-8,1,1,0,1,0,2
1558435364263864,-3,-3,-4,-6,-5,-2,-3,-2
1558435364263864,1,-3,-3,-5,-6,-8,-5,-1
1558435364269848,-4,-3,-3,-3,-4,0,-3,-2
1558435364269848,4,6,0,-2,-1,-6,-1,1
1558435364284807,-7,-4,2,5,7,11,9,2
1558435364284807,-5,-3,0,2,5,1,4,2
1558435364300771,2,1,-1,-4,-4,-1,-6,-3
1558435364300771,-3,-2,-1,-3,-4,-4,-8,-2
1558435364302760,-2,-5,-4,-3,-10,-8,-7,-4
1558435364302760,5,7,0,1,0,-3,0,-1
1558435364306749,0,-1,0,0,2,6,6,1
1558435364306749,5,8,0,2,-1,-4,-3,-1
1558435364323704,-7,-4,0,-1,0,-2,-4,1
1558435364323704,1,-1,-3,-3,-5,-1,-4,-2
1558435364329688,-10,-9,-2,1,-5,-4,-10,-6
1558435364329688,-1,0,-2,-2,1,2,3,1
1558435364344650,7,9,-1,2,3,1,2,2
1558435364344650,1,-2,-2,-1,1,0,2,0
1558435364352627,-5,-9,-6,-2,-2,-3,1,-4
1558435364352627,-3,-3,-3,-1,-2,0,-5,-2
1558435364360605,-3,0,0,-4,-8,-7,-5,-3
1558435364360605,1,-1,-4,-1,1,4,1,0
1558435364367602,4,6,2,1,4,5,2,4
