timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558439937759781,-1,1,-1,9,-3,3,-1,-1
1558439937759781,1,-2,-1,-5,3,0,-2,1
1558439937765767,-1,0,0,-6,1,-5,0,0
1558439937765767,-2,-1,1,7,-4,-8,-5,-2
1558439937766764,-2,-1,-1,-2,7,4,4,2
1558439937766764,-2,-2,-3,-6,-3,4,1,-4
1558439937767761,-1,-2,0,4,-5,-3,-5,-1
1558439937767761,0,-2,-2,0,8,2,3,3
1558439937787706,0,-2,-2,-7,0,-6,0,1
1558439937787706,1,1,0,1,-9,-5,-2,-4
1558439937788704,0,1,-1,4,1,0,1,1
1558439937788704,-2,-2,-2,-8,-10,-3,-5,-5
1558439937794688,-1,-4,-1,-3,0,7,2,-2
1558439937794688,-3,-1,-2,5,7,-5,-3,1
1558439937809648,-3,-1,1,0,-1,-2,0,0
1558439937809648,-2,0,-2,-3,5,8,2,-2
1558439937816629,-1,-1,-1,1,-4,0,-4,-4
1558439937816629,-1,-2,-2,-1,-6,-4,-6,-2
1558439937827599,-3,-1,-2,-3,1,-2,-1,0
1558439937827599,1,0,-1,0,2,-5,-1,0
1558439937839568,-1,-2,-1,0,-3,-4,0,1
1558439937839568,-3,-2,-4,-2,-6,-2,-5,-2
1558439937847546,-1,0,-1,-3,-2,13,5,-1
1558439937847546,0,-1,2,0,-1,-10,1,3
1558439937894421,-1,-2,-2,-2,-1,-2,-4,-2
1558439937894421,-3,-1,0,6,0,4,1,1
1558439937895419,-1,-2,-1,-3,2,4,-1,-3
1558439937895419,0,-2,0,-6,-3,-5,1,-1
1558439937896416,-2,-1,-3,3,-9,-6,-4,-4
1558439937896416,2,0,-3,-4,-1,1,1,-1
1558439937898410,4,2,1,-1,18,13,6,3
1558439937898410,1,1,-2,5,3,3,-3,0
1558439937907387,0,0,1,0,-2,-6,-2,0
1558439937907387,-4,-3,-4,-8,-7,-5,-3,-3
1558439937913371,-2,-4,-3,0,-7,-4,2,-1
1558439937913371,-1,-3,-2,2,-4,-1,-3,-1
1558439937922346,-3,-2,0,-5,2,8,6,1
1558439937922346,2,2,-1,-1,4,-6,0,1
1558439937936310,-1,1,2,4,-5,-6,-3,-2
1558439937936310,-2,-5,-2,-3,0,-4,0,-2
1558439937945285,1,1,0,-5,-6,-4,-5,-3
1558439937945285,-1,1,-2,3,3,9,5,2
1558439937951269,-2,-1,-1,-2,-2,-8,-3,0
1558439937951269,-1,0,-1,-3,-3,0,-1,-1
1558439937967226,-1,-2,1,0,-3,1,0,-1
1558439937967226,-1,2,2,3,13,7,3,2
1558439937973210,-3,0,-3,-2,-2,-1,-4,-4
1558439937973210,-5,-1,-3,-3,-8,-6,0,-3
1558439937982187,-2,-3,-2,1,3,-4,-2,1
1558439937982187,-1,0,0,-3,-8,-6,-3,-3
1558439937996148,-5,-3,-4,-4,-3,3,0,-4
1558439937996148,-1,2,1,1,4,3,-1,-1
1558439938005125,-2,1,-2,0,3,-1,0,0
1558439938005125,0,-4,3,-1,1,0,-3,-3
1558439938011109,0,-2,-3,-1,-8,-9,-5,1
1558439938011109,-3,-2,-3,-3,-8,-8,-4,-5
1558439938027067,1,0,0,-1,5,8,4,0
1558439938027067,-2,0,-1,0,0,-3,2,2
1558439938033051,-1,-1,-1,2,2,6,5,4
1558439938033051,1,0,1,1,8,7,3,3
1558439938042026,-1,-2,-2,-3,-7,-8,-8,-4
1558439938042026,-2,-1,-1,-2,-9,-6,-4,-3
1558439938055990,-3,-1,-2,-2,2,3,0,0
1558439938055990,-2,-3,-3,-3,-1,-3,0,-2
1558439938064966,0,-2,-1,-2,-1,-6,-5,-2
1558439938064966,-1,-4,0,-2,-3,2,2,-1
1558439938070951,1,2,0,-1,0,0,0,-1
1558439938070951,1,0,2,1,1,-3,-3,0
1558439938087904,0,1,-1,0,4,5,0,0
1558439938087904,-1,-1,-1,-2,-4,-3,1,-2
1558439938093887,1,-1,-1,-3,-5,-5,-6,-1
1558439938093887,-2,-2,1,1,3,9,2,-1
1558439938102865,-2,-1,-2,-3,-4,-2,-1,-2
1558439938102865,-3,1,1,-2,-3,-9,-6,-1
1558439938115831,-3,-5,-1,0,-6,-3,-3,-3
1558439938115831,2,0,-2,-3,-2,-7,-3,0
1558439938124805,0,-1,1,0,7,12,7,2
1558439938124805,2,1,-2,1,7,3,2,1
1558439938130790,-1,0,-2,-1,-3,-5,-2,-1
1558439938130790,-3,-1,-3,-1,-6,-5,-3,-1
1558439938147744,-2,0,0,0,-2,1,0,-1
1558439938147744,-1,-3,-1,-1,-8,-2,-7,-4
1558439938153730,-2,-1,2,-3,0,-2,-3,-1
1558439938153730,0,0,2,1,5,7,5,2
1558439938162704,1,-1,-1,1,-1,-4,-1,0
1558439938162704,-2,-2,-1,-3,-3,3,-2,-4
1558439938184645,2,0,-2,-3,-6,-3,-4,-3
1558439938184645,-3,-1,-2,-2,-7,-5,-2,-1
1558439938186640,-2,-2,-1,-1,-1,-2,1,0
1558439938186640,-2,-3,-3,-2,2,-2,-2,0
1558439938198607,0,-1,-2,0,0,1,0,0
