timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558440126365675,-2,-2,-9,-12,-7,-15,-5,-1
1558440126365675,2,1,1,-1,3,1,2,1
1558440126366672,-3,-2,-1,6,-1,0,-1,1
1558440126366672,0,-3,-1,-4,-3,1,-2,-1
1558440126367670,1,-1,1,-4,5,5,3,1
1558440126367670,-2,0,-1,5,-6,-9,-6,-3
1558440126368668,0,0,-1,-6,-4,0,-3,-3
1558440126368668,-1,-2,-2,-7,-3,2,1,-4
1558440126376644,-1,-2,-3,6,-3,-6,-1,-1
1558440126376644,-1,-3,-1,-2,0,-1,-2,-1
1558440126382630,-1,3,2,-4,7,-1,-1,1
1558440126382630,-2,-1,-2,2,-2,4,1,2
1558440126391605,0,1,0,6,3,-3,2,2
1558440126391605,-1,-1,1,-2,8,4,3,0
1558440126404571,0,-2,-1,-5,-5,-3,-4,-5
1558440126404571,-1,0,-6,2,0,2,-4,-2
1558440126414544,-3,-1,1,-2,-4,-7,-6,-2
1558440126414544,0,0,0,-5,-7,2,4,2
1558440126419531,-2,-1,0,3,2,-9,-2,0
1558440126419531,1,0,-1,-2,-3,-5,-3,-3
1558440126435487,-2,-2,-1,-2,0,10,0,-3
1558440126435487,-3,-1,-5,-3,-6,-7,-5,-2
1558440126443466,-2,-2,-4,-2,-3,-2,0,-2
1558440126443466,1,0,3,4,8,8,12,3
1558440126450448,0,0,1,0,-3,-5,-7,-5
1558440126450448,0,-3,-2,-1,0,-5,-3,0
1558440126488346,-3,-4,-9,-17,-8,-2,1,-2
1558440126488346,-1,0,0,9,1,5,0,0
1558440126497323,-2,-1,-3,-2,0,-2,-2,2
1558440126497323,-2,-2,0,-9,-8,-9,-6,-4
1558440126498321,-1,0,1,6,6,10,4,1
1558440126498321,-1,0,-1,1,-7,-11,0,0
1558440126499318,2,2,2,-4,2,2,0,1
1558440126499318,-2,-2,-6,-3,0,1,-2,-2
1558440126510289,0,0,0,7,-7,-8,-5,-2
1558440126510289,-2,-5,-3,-8,-2,2,0,-2
1558440126517269,-1,-3,-1,-5,0,-2,-3,-4
1558440126517269,-1,-3,-1,5,-6,-9,-1,-2
1558440126524250,-1,0,1,-1,0,-1,1,0
1558440126524250,0,1,-1,-4,10,10,0,0
1558440126539210,-2,-1,-4,0,-11,-5,-6,-3
1558440126539210,1,4,5,7,15,8,7,6
1558440126547188,1,-1,-3,-2,-5,-15,-1,-1
