timestamp,x,y,z
1558433655250076,-0.287598,-0.762207,0.567871
1558433655274012,-0.293945,-0.761719,0.571289
1558433655288974,-0.298828,-0.753906,0.571289
1558433655309917,-0.304688,-0.749023,0.56543
1558433655333853,-0.325195,-0.745605,0.565918
1558433655348812,-0.332031,-0.756836,0.561035
1558433655370755,-0.341309,-0.773438,0.549805
1558433655393693,-0.338867,-0.770508,0.551758
1558433655423612,-0.338379,-0.768066,0.560059
1558433655435579,-0.322266,-0.770508,0.571289
1558433655453532,-0.314453,-0.774902,0.569824
1558433655467495,-0.301758,-0.774902,0.579102
1558433655491430,-0.285645,-0.763672,0.578125
1558433655513371,-0.277832,-0.753418,0.587891
1558433655550272,-0.288086,-0.727051,0.584961
1558433655560246,-0.303223,-0.722168,0.581055
1558433655574210,-0.314941,-0.727051,0.580078
1558433655590166,-0.321777,-0.736816,0.580078
1558433655611110,-0.325684,-0.743652,0.567871
1558433655634049,-0.327148,-0.759766,0.566406
1558433655649009,-0.32666,-0.741699,0.559082
1558433655670949,-0.30957,-0.733398,0.559082
1558433655693890,-0.307129,-0.75293,0.570801
1558433655708850,-0.310547,-0.763184,0.588379
1558433655730811,-0.319336,-0.768555,0.605957
1558433655753731,-0.318848,-0.766113,0.603516
1558433655774672,-0.315918,-0.777832,0.604492
1558433655790632,-0.307617,-0.779785,0.60791
1558433655813569,-0.30957,-0.763184,0.613281
1558433655835512,-0.308594,-0.760742,0.600586
1558433655850472,-0.310547,-0.764648,0.592773
1558433655873410,-0.305664,-0.759277,0.580566
1558433655896350,-0.30957,-0.751465,0.574219
1558433655910311,-0.315918,-0.760254,0.570313
1558433655933251,-0.319824,-0.766602,0.568848
1558433655955193,-0.321777,-0.774902,0.564453
1558433655970150,-0.324219,-0.76709,0.557617
1558433655993088,-0.322754,-0.768555,0.559082
1558433656015031,-0.324707,-0.756348,0.565918
1558433656030987,-0.320801,-0.763184,0.565918
1558433656052930,-0.327148,-0.755859,0.564453
1558433656075870,-0.320801,-0.753906,0.568848
1558433656090830,-0.313965,-0.759766,0.568359
1558433656120749,-0.308594,-0.76416,0.562012
1558433656135707,-0.311523,-0.760254,0.574219
1558433656150668,-0.316895,-0.757813,0.574707
1558433656172609,-0.320313,-0.763184,0.578613
1558433656195549,-0.318848,-0.760742,0.569824
1558433656210506,-0.323242,-0.773438,0.573242
1558433656233445,-0.333008,-0.772461,0.575684
1558433656255387,-0.335938,-0.782715,0.567383
1558433656270348,-0.338867,-0.78418,0.569824
1558433656293284,-0.335938,-0.783691,0.570801
1558433656315236,-0.334961,-0.772949,0.571777
1558433656332183,-0.338379,-0.774414,0.568848
1558433656353192,-0.339844,-0.782227,0.566406
1558433656375091,-0.332031,-0.773926,0.564453
1558433656391028,-0.331055,-0.779785,0.562012
1558433656412967,-0.32666,-0.770508,0.563477
1558433656435903,-0.326172,-0.77832,0.562988
1558433656450878,-0.317383,-0.774902,0.567383
