timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558433543205539,3,4,12,13,3,-12,0,1
1558433543205539,-6,-12,-35,-14,4,10,6,2
1558433543206536,-1,0,2,8,0,0,-2,-2
1558433543206536,-2,0,-1,-20,3,6,-2,-2
1558433543207534,-4,-2,1,5,-3,0,-2,-3
1558433543207534,3,4,14,14,4,-4,2,3
1558433543207534,4,4,2,-1,2,1,-2,5
1558433543207534,-1,-4,-10,7,0,-1,-1,-4
1558433543218505,-1,-1,-12,-19,-5,4,1,-4
1558433543218505,-2,0,12,13,0,-5,-4,0
1558433543228477,-5,-6,-5,5,7,7,-3,-9
1558433543228477,0,2,10,3,-10,-8,-6,-2
1558433543233464,4,1,-7,-18,11,4,9,9
1558433543233464,-2,-6,-10,-8,-16,-7,0,-3
1558433543249423,2,5,11,8,4,-2,-2,-1
1558433543249423,-7,-9,-14,-1,-3,-2,-7,-5
1558433543264380,-3,0,0,5,0,-1,-1,-5
1558433543264380,-3,1,5,-5,-1,-5,-5,-5
1558433543265378,2,1,-3,-6,-7,-2,1,4
1558433543265378,4,4,4,7,9,-1,5,3
1558433543279341,-1,-3,2,2,-3,2,-2,-3
1558433543279341,-1,2,2,-3,0,0,-2,-5
1558433543287321,-3,-3,-3,-2,-9,-6,-6,2
1558433543287321,4,5,3,7,11,5,7,2
1558433543327213,-1,-2,-2,-11,-5,-2,-9,-4
1558433543327213,-1,-2,3,9,-1,-1,5,1
1558433543327213,-1,-2,-5,-3,-2,1,1,7
1558433543327213,-1,-1,4,-5,-10,-6,1,-13
1558433543328210,0,0,-8,10,10,6,5,4
1558433543328210,-5,-5,-1,-10,-5,-2,-7,-7
1558433543332198,3,3,7,6,4,-5,-2,4
1558433543332198,2,3,12,13,5,4,1,2
1558433543338184,-6,-11,-29,-23,-10,1,0,-4
1558433543338184,3,3,1,-2,4,-4,0,6
1558433543347159,-2,-4,-3,-8,-3,-2,1,-2
1558433543347159,-3,-4,-4,7,-2,-2,-4,-1
1558433543353144,2,6,11,5,4,6,-6,-9
1558433543353144,-1,-1,-5,1,0,-3,4,6
1558433543369100,-5,0,1,-7,-4,-9,-5,-9
1558433543369100,-2,0,0,0,1,0,9,-3
1558433543376082,1,-1,3,2,0,0,-4,1
1558433543376082,-4,-6,-11,-13,-10,0,-8,-8
1558433543383063,-1,1,3,6,7,3,-1,-5
1558433543383063,2,1,5,1,0,-7,-4,8
1558433543399020,-1,-5,-10,-4,-1,-6,4,1
1558433543399020,0,1,9,11,-1,2,1,-7
1558433543406999,0,-4,-6,0,-8,-4,-2,0
1558433543406999,2,6,15,9,5,7,0,5
1558433543413980,-7,-7,-21,-33,-21,-13,-2,-1
1558433543413980,0,-1,-7,-14,-8,-5,-7,3
1558433543428941,-3,0,3,0,0,-1,-12,-14
1558433543428941,2,0,7,25,15,12,15,8
1558433543435922,4,9,17,-2,6,2,5,-4
1558433543435922,-3,-4,-14,-4,-1,4,0,2
1558433543443901,-3,-4,0,2,0,-2,-2,-5
1558433543443901,1,2,-17,-12,-2,-6,-16,-6
1558433543458862,0,4,22,22,8,5,-2,0
1558433543458862,4,4,1,5,0,-6,14,9
1558433543466840,-3,-8,-9,-10,-6,3,-7,-1
1558433543466840,-4,-2,1,-6,0,-2,-12,-13
1558433543473821,-2,-2,8,3,-4,-8,-2,-5
1558433543473821,1,4,14,9,4,5,5,-5
1558433543488781,6,3,4,8,2,0,19,33
1558433543488781,-3,-7,-11,-14,-9,-2,-2,-2
1558433543495762,-3,0,4,7,-1,-1,-4,-6
1558433543495762,-4,-5,-13,-11,-14,-14,-20,-6
1558433543503743,1,2,-1,3,10,8,14,2
1558433543503743,-3,-6,-8,-9,-6,3,-2,-4
1558433543518701,-2,-2,5,9,-4,-8,0,11
1558433543518701,-1,0,-5,3,17,10,-4,-8
1558433543526679,-3,-6,-20,-27,-15,-11,-8,-7
1558433543526679,2,4,5,-1,3,2,4,2
1558433543533661,-3,-3,9,7,2,-7,-11,-8
1558433543533661,-4,-4,1,-7,-14,-1,11,4
1558433543549618,0,2,2,3,-1,3,-7,-7
1558433543549618,-5,-7,-19,-12,-4,-4,0,1
1558433543556598,7,7,13,11,12,6,1,8
1558433543556598,-7,-11,-27,-27,-15,-7,-8,-12
1558433543563583,-2,-1,4,6,7,4,-1,-7
1558433543563583,-5,-11,-28,-16,-18,-10,-9,-9
1558433543578541,0,-1,4,0,-2,-2,6,6
1558433543578541,3,6,17,12,14,9,9,4
1558433543586519,-1,0,7,2,-4,-2,8,13
1558433543586519,-2,0,4,3,3,4,4,1
1558433543593500,-2,-3,-17,-7,-9,-5,-8,-5
1558433543593500,0,-1,10,6,2,-1,-4,-2
1558433543609458,-1,-1,-6,1,0,-2,-4,-4
1558433543609458,-1,0,5,-1,0,-5,-6,4
1558433543616438,-5,-7,-9,-4,4,5,1,-5
1558433543616438,0,4,3,5,5,1,5,2
1558433543623420,-4,1,9,10,5,2,-6,-7
1558433543623420,-4,-8,-22,-13,-14,-12,-3,-3
1558433543638380,0,2,5,-12,-2,2,0,3
1558433543638380,-2,-4,-3,-5,-6,-4,-5,-1
1558433543646360,1,2,-12,3,1,4,2,-8
1558433543646360,-1,0,11,3,2,8,3,1
1558433543653340,2,-1,-9,0,4,-8,6,3
1558433543653340,0,-1,2,2,6,7,0,0
1558433543669298,1,0,0,-1,-2,-1,-1,1
1558433543669298,0,2,5,1,3,6,-1,-1
1558433543676280,-3,-3,-8,-3,-11,-5,-8,-7
1558433543676280,1,4,16,9,-2,-1,3,0
1558433543683260,-3,-4,-14,-9,0,1,-3,-4
1558433543683260,-1,-3,-14,-5,1,-9,0,5
1558433543698220,-4,-1,1,-7,-9,-1,-1,-2
1558433543698220,-1,0,-4,3,4,-6,-9,-2
1558433543707197,-1,-1,6,-1,-2,3,0,-1
1558433543707197,4,3,7,3,2,2,3,8
1558433543713181,-2,-4,-7,-2,-1,-5,0,1
