timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558440328397029,-3,-3,-5,-7,-5,-5,-5,-4
1558440328397029,-2,-2,0,0,-7,-11,-5,-1
1558440328398026,-1,-2,0,0,-2,0,-1,1
1558440328398026,1,-1,2,-1,-1,-3,-2,-3
1558440328399023,3,1,4,0,2,-2,3,1
1558440328399023,-1,0,-9,-1,5,9,3,-3
1558440328400021,-1,-2,-4,-4,-4,-4,-3,-3
1558440328400021,1,-1,-2,-2,2,-3,2,3
1558440328410991,-2,0,2,3,-3,-7,-4,-2
1558440328410991,-3,-1,2,-1,-3,-1,-3,-1
1558440328419968,0,0,-2,-5,-2,-1,0,0
1558440328419968,0,1,-4,1,-2,-1,-1,-1
1558440328425952,-2,-2,-2,-2,-5,-2,-3,0
1558440328425952,0,0,2,0,4,-1,3,4
1558440328440911,0,-2,-1,-2,0,3,1,-2
1558440328440911,-3,-2,-5,-2,-2,2,-4,-4
1558440328448890,-2,-2,-1,-4,-4,-3,-3,-3
1558440328448890,0,-3,-2,-2,4,2,0,1
1558440328455871,0,0,0,2,2,0,-1,-2
1558440328455871,0,-1,0,-2,-1,-2,-1,-2
1558440328471833,-1,1,-1,-2,0,1,-2,0
1558440328471833,-1,0,3,0,-3,1,2,-2
1558440328478809,1,0,-3,-3,2,-1,3,2
1558440328478809,-2,-2,-3,-3,-3,-1,-3,-1
1558440328518703,-1,-3,1,0,-4,-3,-4,-3
1558440328518703,1,-1,2,2,1,3,0,-1
1558440328519701,-1,-2,-1,-3,-3,-8,-1,0
1558440328519701,-2,-2,0,-1,-1,6,0,-2
1558440328520708,-1,0,-6,1,0,3,1,0
1558440328520708,-1,-1,-1,0,-1,-4,-1,-2
1558440328523690,-1,-1,0,-2,4,1,-1,1
1558440328523690,1,-2,4,1,-5,-4,-4,-3
1558440328530672,0,-4,-9,-6,0,4,1,-1
1558440328530672,-1,-1,-2,-2,5,0,2,0
1558440328538650,-2,0,0,2,0,0,3,-1
1558440328538650,-2,1,-2,0,4,1,5,2
1558440328545631,0,2,3,0,-3,-7,-6,-4
1558440328545631,0,-1,-3,-3,-8,-4,-4,-2
1558440328560592,1,-1,1,-1,-3,-5,-2,-1
1558440328560592,-1,0,0,-2,-2,-17,-3,-1
1558440328567572,-1,-2,3,2,4,9,5,1
1558440328567572,-3,-2,-5,-2,-3,-1,-4,-2
1558440328575551,-2,-1,0,0,-2,-9,-5,-2
1558440328575551,0,-1,2,-1,3,10,2,1
1558440328590510,-1,-1,2,0,-5,-8,-3,-1
1558440328590510,-4,-2,-7,-2,2,3,1,-1
1558440328598490,-2,-1,-2,-1,0,7,-1,-2
1558440328598490,-2,-1,-2,-1,-4,-1,-2,-4
1558440328605471,-1,-2,0,-1,-2,-2,-1,-2
1558440328605471,1,-2,2,0,-7,-6,-5,-2
1558440328621429,0,0,3,1,4,3,3,0
1558440328621429,0,-1,-6,-1,3,1,2,2
1558440328627414,-1,0,3,-2,1,1,0,-1
1558440328627414,1,0,1,1,-1,-3,-1,-1
1558440328643369,0,-2,-5,-4,-4,-4,-2,-4
1558440328643369,-2,-1,-1,-4,-7,-12,-6,-3
1558440328659327,-1,0,-4,-2,3,3,3,0
1558440328659327,-1,-2,-1,-1,-1,1,1,2
1558440328660324,-1,1,2,5,1,2,0,-1
1558440328660324,1,-1,-1,-2,0,2,0,-1
1558440328665312,-3,-2,-4,-5,-6,-5,-4,-2
1558440328665312,-3,-1,-2,-2,1,0,-1,0
1558440328681267,-3,0,6,0,-1,4,-2,-2
1558440328681267,0,0,-3,-1,-4,-6,-2,-1
1558440328688250,0,-1,-4,-2,-1,-5,-3,-2
1558440328688250,1,-1,2,0,0,-3,-3,0
1558440328695230,0,-2,-5,-2,-1,1,0,-3
1558440328695230,-2,0,1,1,-1,-1,-3,-4
1558440328710191,-2,-2,2,-3,1,5,6,2
1558440328710191,-1,-1,1,-2,-1,0,0,-1
1558440328718168,-1,1,-3,-2,-2,0,0,2
1558440328718168,0,1,4,0,1,-2,1,-1
1558440328725151,-3,0,-4,-1,-4,-4,-2,-2
1558440328725151,-2,-2,0,-1,-1,-2,-2,-2
1558440328741108,-3,-1,-1,-2,1,3,-1,-1
1558440328741108,-1,-2,-6,-1,2,8,3,0
1558440328748089,1,-2,0,0,-2,-6,-5,-1
1558440328748089,2,0,1,1,0,0,-1,-1
1558440328755070,-1,-3,-3,-2,-3,-6,-3,-2
1558440328755070,-2,-1,2,0,-3,-3,-4,-2
1558440328770030,-4,-2,-4,-3,0,2,1,2
1558440328770030,0,-2,-3,0,0,1,0,0
1558440328779005,-2,-3,-4,-4,-5,-3,-1,0
1558440328779005,-2,-2,-2,-2,0,-1,-2,-2
1558440328784990,0,3,6,4,0,0,-1,-1
1558440328784990,-3,0,3,-2,1,0,2,-2
1558440328800948,-1,-2,-10,-4,-4,-7,-1,-1
1558440328800948,0,-4,-1,-3,1,1,-2,1
1558440328810170,-1,0,1,3,3,2,-4,-4
1558440328810170,-1,0,-5,-2,-3,-4,-4,-2
1558440328823887,-1,0,3,1,0,3,-1,-1
1558440328823887,0,-1,0,-2,0,-3,0,0
1558440328830868,1,2,-1,-1,3,-1,3,2
1558440328830868,-2,-1,0,0,0,4,3,1
1558440328838847,-1,-1,1,0,-1,1,0,-1
1558440328838847,-4,-2,-5,-4,-6,-2,-5,-4
1558440328845828,1,-1,0,-3,0,-4,-3,0
1558440328845828,-4,-2,-3,-3,-6,-4,-2,-2
1558440328860788,-2,-1,-1,0,-1,-1,-1,-2
1558440328860788,-1,0,-1,0,1,1,0,2
1558440328867769,1,-1,-1,-1,-1,-3,0,0
1558440328867769,-2,-2,-1,-3,-3,-1,-2,-3
1558440328883728,-2,-1,-4,-3,-3,2,-6,-2
1558440328883728,0,3,0,1,0,1,4,3
1558440328890710,0,-1,1,0,6,-8,3,2
1558440328890710,0,-2,-1,-2,-4,-2,-4,-2
1558440328898687,-2,-2,-2,-1,-2,-2,0,-2
1558440328898687,-1,-3,-5,-3,-3,0,-4,-3
1558440328905669,-2,-4,-4,1,3,8,3,1
1558440328905669,1,2,7,4,-1,-5,0,0
1558440328920629,0,0,2,-1,-5,-4,-2,-2
1558440328920629,-2,-3,-5,-6,-6,1,0,-1
1558440328927610,-1,1,6,4,-1,2,-2,-3
1558440328927610,-2,-1,-7,-4,0,-2,-3,-2
1558440328943567,0,-1,-4,-3,-1,-10,1,1
1558440328943567,1,0,2,2,1,-5,-4,-2
1558440328950548,-1,-2,-1,-3,-8,-6,-4,-1
1558440328950548,0,-2,2,2,2,10,1,-3
1558440328958526,1,2,3,1,8,10,6,3
1558440328958526,0,-3,-3,-2,2,-3,2,0
1558440328965507,-3,0,0,0,-1,1,-2,-5
1558440328965507,-4,-3,-5,-5,-5,-2,-5,-1
1558440328981464,2,-1,-2,-2,-3,-6,-3,-1
1558440328981464,0,-1,-6,-1,1,3,4,1
1558440328987450,-1,0,-1,-2,-4,2,-1,0
1558440328987450,-1,0,1,-1,-2,-2,-5,-1
1558440329003407,-3,-2,-2,0,-4,0,-2,-2
1558440329003407,-3,0,3,1,0,-3,-4,-1
1558440329010402,0,-1,-3,-4,-3,-5,-4,0
1558440329010402,1,0,1,1,4,3,4,1
1558440329018367,0,-2,2,1,2,1,0,-2
1558440329018367,0,1,-4,-2,-5,-4,-1,-4
1558440329025347,0,-1,-3,-2,3,4,2,-1
1558440329025347,-1,-1,1,0,3,1,2,2
1558440329041306,0,-1,1,-1,-3,1,-3,-1
1558440329041306,-1,-1,0,-1,-7,-7,-6,-4
1558440329048286,-1,1,-3,0,1,-1,1,-1
1558440329048286,1,0,3,1,-3,-10,1,1
1558440329063246,-1,0,1,-1,1,2,0,-1
1558440329063246,-1,1,4,2,3,3,2,-1
1558440329070228,-3,-3,-4,-2,-5,1,-2,-3
1558440329070228,-2,-2,-9,-3,-1,-2,-1,-2
1558440329078208,-2,-1,0,-4,-3,-4,-3,0
1558440329078208,1,-2,-4,-2,-2,5,-1,-1
1558440329085187,-2,0,3,-1,-6,-2,-4,0
1558440329085187,-2,0,1,0,-1,-1,0,-4
1558440329101145,-1,-2,-2,0,-2,-4,-5,-3
1558440329101145,-1,-2,3,-1,3,5,0,0
1558440329108126,-2,-3,-3,-2,-6,-8,-5,-5
1558440329108126,1,1,-1,-2,3,0,5,3
1558440329123087,-1,0,-1,2,6,1,1,0
1558440329123087,-2,0,2,1,2,-2,2,0
1558440329130068,-1,-1,-3,-2,-3,1,-1,2
1558440329130068,-1,-2,-3,-4,-4,-4,-9,-2
1558440329138046,0,2,6,0,0,-1,1,0
1558440329138046,0,-1,-5,-1,-2,-1,1,-1
1558440329153007,0,-2,3,0,3,-1,1,-1
1558440329153007,-2,-1,2,3,1,8,2,-2
1558440329160985,-2,-2,-5,-4,-7,-11,-5,-2
1558440329160985,-2,0,-7,-5,0,3,-1,0
1558440329167966,0,2,5,3,0,-1,0,-1
1558440329167966,0,0,0,-1,0,-1,-1,-1
1558440329183923,-2,-2,-4,-1,-5,0,-2,-1
1558440329183923,-3,-2,0,-1,0,-1,-2,-3
1558440329189907,-1,-2,-3,-2,1,-2,-4,-2
1558440329189907,1,-1,6,3,0,0,0,-1
1558440329205866,2,-1,-1,1,0,-1,-1,-1
1558440329205866,-2,-2,-2,-2,-5,-4,-3,-1
1558440329212846,-3,-2,-1,-2,0,2,-1,-5
1558440329212846,0,0,-4,-1,3,-6,4,2
1558440329220826,-1,-2,-1,-2,-3,-4,-1,1
1558440329220826,-2,-3,0,1,0,-1,0,-2
1558440329227807,-1,-2,-4,-4,-6,-1,0,2
1558440329227807,-3,-2,-3,1,0,5,-3,-4
1558440329251742,-1,2,1,0,3,6,2,-1
1558440329251742,-1,2,2,2,2,-3,3,2
1558440329252740,-3,-2,-1,-5,-6,-4,-5,-3
1558440329252740,0,-2,-4,-4,-5,-5,-2,-1
1558440329258723,-1,0,-2,-1,1,-1,-4,-1
1558440329258723,-3,-1,-2,-4,0,6,-1,-1
1558440329272686,1,0,1,3,1,-3,0,0
1558440329272686,0,-1,3,-1,-4,-5,-2,-1
1558440329288644,-1,-2,-6,-3,-2,-1,-1,-4
1558440329288644,2,0,4,1,4,6,4,1
1558440329290639,-1,0,-2,1,1,-3,3,1
1558440329290639,-2,-3,0,1,1,5,-2,0
1558440329303609,-2,-2,1,0,4,6,1,1
1558440329303609,0,-2,-3,-3,-6,-10,-6,-3
1558440329310585,2,1,-3,-1,0,-5,0,2
1558440329310585,0,0,1,0,-1,-1,-4,-2
1558440329326542,-1,1,0,2,-2,-5,1,0
1558440329326542,-4,-5,-3,-5,-5,-1,-2,-1
1558440329332526,-2,-1,1,0,-2,-1,0,0
1558440329332526,-3,-2,-9,-6,-4,-5,0,-1
1558440329341502,-1,-3,1,-2,0,-1,1,-1
1558440329341502,-1,0,4,2,2,-3,0,1
1558440329347486,1,1,2,2,6,6,2,0
1558440329347486,1,1,-3,-2,3,0,-2,-2
1558440329363443,-1,-2,-2,-4,-5,4,-4,-3
1558440329363443,-1,0,-3,-2,-7,-6,-7,-3
1558440329370425,-1,-1,-2,-4,-3,-9,-2,-1
1558440329370425,0,1,3,1,3,6,8,4
1558440329377406,-1,-1,2,2,-1,-4,1,0
1558440329377406,-1,-5,-5,-2,-2,3,-3,-3
1558440329392366,-3,-3,-2,-1,0,-5,-2,1
1558440329392366,1,-2,-1,-3,-3,-7,-3,-2
1558440329409322,-1,1,3,2,-2,1,0,-3
1558440329409322,1,2,0,1,4,2,3,0
1558440329410321,-2,-2,-1,-2,-1,8,-2,-3
1558440329410321,-3,-1,1,-2,-5,-4,-7,-2
1558440329423284,-1,-1,-6,0,0,0,-1,-1
1558440329423284,-1,-3,3,0,-5,-8,-5,-3
1558440329430265,0,-3,-9,-5,-6,-5,-2,-2
1558440329430265,1,-2,-8,-3,-1,-2,-1,-1
1558440329438244,-2,-1,3,-2,2,-1,-1,-2
1558440329438244,0,1,2,1,4,4,2,0
1558440329453202,1,0,2,0,1,-2,-2,0
1558440329453202,-2,-2,2,-1,-2,6,2,-1
1558440329461181,0,0,-1,-3,-5,-7,-2,-2
1558440329461181,0,0,-5,-2,-2,-10,0,0
1558440329468162,-1,0,1,0,4,5,-1,-1
1558440329468162,-2,0,0,-1,-1,-2,-1,0
1558440329492102,1,0,-1,-2,1,3,1,-2
1558440329492102,-1,0,-2,-2,-5,-5,-3,-1
1558440329493096,-1,-1,0,-1,-5,-2,-1,-1
1558440329493096,-1,-1,3,0,5,2,-1,-2
1558440329506062,-2,-3,-5,0,5,-3,3,1
1558440329506062,0,-1,3,0,-2,5,0,0
1558440329513042,-4,-2,-5,-3,0,7,-1,-4
1558440329513042,-1,-3,-8,-6,-8,-16,-5,0
1558440329529000,0,-1,3,-1,0,0,-3,-1
1558440329529000,0,-1,-6,-2,-1,-2,-6,-3
1558440329530995,-2,0,-1,-2,-9,-4,-4,-4
1558440329530995,-1,3,3,4,5,4,5,2
1558440329543959,-2,0,-3,-2,3,4,3,0
1558440329543959,-6,-5,-1,-1,1,2,0,0
1558440329549944,-2,-4,-2,-2,-3,1,-3,1
1558440329549944,-1,-2,-2,-2,-4,-10,-7,-2
1558440329565901,1,-1,-4,-1,2,-1,-4,-1
1558440329565901,0,1,1,0,-2,-1,0,-2
1558440329572883,-2,0,1,2,4,1,3,1
1558440329572883,-2,-3,-4,-2,-7,-2,-4,-3
1558440329588841,-1,-2,0,-2,-1,-3,-1,-1
1558440329588841,0,3,4,-2,-1,-2,0,0
1558440329590835,2,-2,-9,-2,3,-1,-1,-3
1558440329590835,0,-2,6,0,-1,-1,1,-1
1558440329603802,0,-1,-4,-4,-1,6,1,0
1558440329603802,0,-4,-5,0,-2,2,-1,-2
1558440329610781,0,1,4,1,2,-5,0,0
1558440329610781,-1,-1,-3,-2,-2,4,0,0
1558440329625744,-2,-3,-5,-3,-6,-3,-5,-3
1558440329625744,-1,0,0,-1,6,7,3,1
1558440329632725,1,-1,0,-2,-2,-8,2,0
1558440329632725,0,-1,2,3,4,3,-1,-2
1558440329657658,-2,0,-2,-2,-7,-7,-3,2
1558440329657658,-1,-1,-2,-1,-1,-1,-2,-1
1558440329658654,-1,1,1,2,1,2,1,1
1558440329658654,-1,-2,-1,-1,-4,-5,-1,-2
1558440329664640,-1,1,-1,-2,-2,-2,-2,0
1558440329664640,0,0,2,0,3,4,2,0
1558440329686590,-2,-2,-6,-2,-2,1,-1,-2
1558440329686590,0,-2,-8,-7,-3,-13,-2,1
1558440329688597,-1,0,0,3,5,3,5,2
1558440329688597,-3,-3,2,1,-4,-4,-3,-1
1558440329692567,-2,-3,-11,-5,-3,-2,-4,-4
1558440329692567,-2,0,-3,-1,-4,3,-4,-2
1558440329709524,0,-2,-2,-2,2,1,0,-2
1558440329709524,0,1,0,0,-1,-7,0,-1
1558440329710517,1,1,4,3,2,4,4,1
1558440329710517,-2,1,2,1,2,0,0,-3
1558440329724484,-1,-2,-1,0,-2,-3,-5,-3
1558440329724484,-1,-2,-4,-2,-3,-3,0,-2
1558440329730464,-1,-2,4,-2,1,-5,0,0
1558440329730464,-1,0,0,0,5,4,1,-1
1558440329746424,-1,-2,1,0,-5,-2,-1,-2
1558440329746424,0,-2,-6,-3,-1,-2,-2,-2
1558440329777346,0,0,-3,-1,-5,-1,-2,-1
1558440329777346,-1,0,2,0,1,-1,0,2
1558440329779331,-2,-2,0,-1,-3,-5,-2,-3
1558440329779331,-2,-3,-6,-6,0,5,0,-1
1558440329779331,1,0,6,1,0,-6,-3,-1
1558440329779331,-2,-2,-4,-2,-2,4,-2,-3
1558440329784326,0,2,-1,-2,1,8,3,1
1558440329784326,1,1,0,1,-3,-10,-3,-1
1558440329790312,-1,-1,2,0,1,3,-2,-2
1558440329790312,-1,-1,0,-1,0,5,2,0
1558440329807257,-1,-4,1,-1,-5,-12,-7,-2
1558440329807257,0,0,-4,1,5,5,1,1
1558440329813240,-1,1,3,-2,-4,-2,-4,-5
1558440329813240,-2,-2,-5,-2,-4,-5,-2,-2
1558440329828201,-2,0,0,-2,-2,2,-1,-3
1558440329828201,-3,-3,-4,-2,-2,0,-2,-3
1558440329829197,-3,-5,-7,-6,-5,-1,-1,-2
1558440329829197,-2,-1,0,0,-1,-5,0,-1
1558440329844158,0,-2,0,1,0,4,0,-2
1558440329844158,-1,3,8,2,-1,-10,0,3
1558440329850141,2,-2,-6,-3,2,-3,0,0
1558440329850141,0,0,-1,-1,3,8,4,2
1558440329891033,0,0,2,0,-3,-11,-3,-1
1558440329891033,-1,-1,-4,-1,-3,0,-6,-4
1558440329892030,-2,0,1,2,-3,8,2,1
1558440329892030,0,0,-2,0,1,0,-1,0
1558440329896024,-1,0,-1,-1,2,4,3,2
1558440329896024,0,-1,1,-1,-1,-2,0,-3
1558440329897020,-3,-2,-2,-1,1,-2,-4,-3
1558440329897020,-1,-1,-2,-2,-8,-6,-6,-3
1558440329910978,-3,-2,-5,-3,-3,3,-1,-3
1558440329910978,-3,-3,0,-3,1,0,-2,0
1558440329911976,-1,-2,1,1,2,0,1,1
1558440329911976,1,0,1,1,2,2,3,1
1558440329926947,0,-1,2,1,0,-1,0,0
1558440329926947,0,-1,-3,-4,-5,-4,-7,-2
1558440329932965,0,-1,-2,1,-1,1,-1,-3
1558440329932965,-1,1,4,1,1,-10,0,-1
1558440329948910,-2,-5,-8,-6,-5,-3,-1,-1
1558440329948910,-3,0,2,1,-1,-2,-1,-2
1558440329948910,-2,-2,-2,-2,0,-4,-2,-1
1558440329948910,-2,-2,-1,-1,2,-1,1,-1
1558440329970819,0,0,0,0,2,4,4,-1
1558440329970819,-1,-2,-4,-4,-4,0,-1,-3
1558440329971816,-1,1,-2,-1,-6,-4,-2,-3
1558440329971816,-5,-3,-5,-3,-9,0,-4,-3
1558440329986785,1,0,5,3,8,2,2,2
1558440329986785,-1,0,-2,0,3,3,8,3
1558440330000803,1,0,4,-1,-2,-6,-1,-1
1558440330000803,1,-2,2,1,2,-1,-3,-2
1558440330008836,-1,-2,-5,-2,-4,-1,-6,-3
1558440330008836,-1,-1,3,-1,0,1,1,-1
1558440330009716,-1,-1,-4,-2,-3,-2,-2,-1
1558440330009716,-2,-2,-11,-5,1,3,-1,-1
1558440330030760,-2,-1,1,2,0,0,0,-1
1558440330030760,1,1,3,2,1,-6,-1,1
1558440330046718,-1,-2,1,-2,0,0,1,-1
1558440330046718,0,-2,0,-1,-5,0,-4,-2
1558440330048611,0,-1,-2,-3,-3,-4,-1,1
1558440330048611,-2,-2,-2,-3,0,1,0,-1
1558440330052600,0,2,-1,0,-1,-2,-2,0
1558440330052600,-1,-1,0,-2,-1,2,0,1
1558440330067567,-1,0,1,-1,2,0,-1,-2
1558440330067567,-2,-4,-1,-2,-5,-2,-2,-3
1558440330083518,-2,-2,-2,0,-4,-1,-3,-3
1558440330083518,1,0,1,2,4,5,3,0
1558440330091496,0,-2,-1,0,-2,-5,-2,0
1558440330091496,-1,-1,-1,-1,-2,1,-1,-2
1558440330091496,0,1,1,-1,2,3,0,0
1558440330091496,-2,2,2,0,-4,-13,-2,1
1558440330106456,-3,-2,-2,-2,4,-1,1,1
1558440330106456,0,0,-1,2,-1,-1,1,0
1558440330112466,-3,-3,-7,-3,5,9,3,1
1558440330112466,0,-1,3,-1,-7,-1,-3,-1
1558440330128400,2,2,2,2,3,1,-1,0
1558440330128400,1,3,7,2,0,-8,-1,0
1558440330135444,-2,-6,-18,-6,-8,-2,-2,-3
1558440330135444,1,0,-1,0,6,-1,-1,1
1558440330167367,-3,-1,-4,-3,-4,2,0,-1
1558440330167367,0,-2,0,-2,-4,0,-4,-3
1558440330168292,0,4,7,4,-2,-7,0,1
1558440330168292,-1,-4,-4,-6,-4,2,1,-2
1558440330169288,-1,-2,2,2,1,-2,0,0
1558440330169288,1,0,-1,0,0,4,0,0
1558440330173278,0,0,1,0,2,-1,-2,-2
1558440330173278,0,-4,-7,-5,-7,-6,-4,1
1558440330188243,-1,1,2,1,2,0,0,-1
1558440330188243,-4,-3,-4,-4,-6,-3,-3,-4
1558440330204200,-1,-4,1,-3,-7,-4,-6,-1
1558440330204200,-1,0,-1,3,7,8,4,-3
1558440330211281,2,0,0,-1,-2,-4,-4,-1
1558440330211281,1,-1,-5,-2,-1,-6,-1,-1
1558440330212176,-1,1,6,2,1,1,2,3
1558440330212176,0,-1,-7,-4,3,-7,0,-1
1558440330227148,-3,-4,-5,-3,-6,0,-2,-1
1558440330227148,0,0,1,1,3,0,0,1
1558440330233307,-2,-1,-2,-1,-2,2,-1,-4
1558440330233307,-3,0,3,-1,-3,1,-2,-1
1558440330248105,-2,0,-3,-2,-8,-2,-5,-4
1558440330248105,-1,-1,-3,1,2,-1,-1,0
1558440330255059,1,0,4,2,4,-5,3,3
1558440330255059,-2,-2,-2,-1,2,1,-2,0
1558440330278996,1,1,-2,-2,-4,1,3,1
1558440330278996,0,-1,-1,0,0,2,-1,-1
1558440330278996,0,-1,0,-3,3,0,2,1
1558440330278996,-2,-2,-3,-2,-3,0,0,-1
1558440330286976,-1,-3,-1,-1,-6,-5,-7,-5
1558440330286976,-1,-2,-1,0,0,3,3,-1
1558440330292958,-2,-2,1,0,1,-2,-4,-1
1558440330292958,-3,-2,-7,-2,0,2,1,-1
1558440330323874,1,1,1,1,5,0,1,-1
1558440330323874,-2,-2,-3,-1,-2,0,0,-2
1558440330324871,0,0,4,0,-3,0,-1,0
1558440330324871,0,0,-1,-5,-2,1,-3,0
1558440330330855,-2,-4,-2,0,2,-3,1,-2
1558440330330855,-1,0,1,-4,1,-4,-1,-1
1558440330331853,-1,-1,-1,-1,-3,4,-1,-2
1558440330331853,-1,-2,2,1,-5,-7,-4,-7
1558440330346814,-1,-1,-7,-1,1,4,2,1
1558440330346814,0,-2,0,-3,4,-2,-3,-1
1558440330361128,1,0,-3,-1,-3,-4,-4,-1
1558440330361128,0,-1,2,0,-2,6,0,1
1558440330367951,-1,1,3,0,0,-3,-2,-1
1558440330367951,-3,-1,-2,0,-5,1,-3,-2
1558440330376086,0,0,1,-1,3,-2,1,0
