timestamp,x,y,z
1558440552157125,-0.39209,-0.23291,0.887207
1558440552181062,-0.387695,-0.237305,0.885742
1558440552203004,-0.393555,-0.240234,0.893066
1558440552217963,-0.392578,-0.241699,0.894531
1558440552240902,-0.383301,-0.238281,0.891602
1558440552254865,-0.388184,-0.240723,0.890137
1558440552276813,-0.380371,-0.243652,0.896973
1558440552307723,-0.383789,-0.245117,0.892578
1558440552314705,-0.388672,-0.241211,0.88623
1558440552353601,-0.382324,-0.243652,0.890625
1558440552362576,-0.391602,-0.240723,0.892578
1558440552386514,-0.390137,-0.234375,0.887207
1558440552405462,-0.392578,-0.236816,0.886719
1558440552420422,-0.400879,-0.244141,0.880859
1558440552436378,-0.405273,-0.244141,0.883301
1558440552458320,-0.414063,-0.242676,0.89209
1558440552494225,-0.42041,-0.231445,0.882324
1558440552512176,-0.417969,-0.232422,0.882813
1558440552519158,-0.415039,-0.218262,0.876953
1558440552539104,-0.40625,-0.216797,0.879883
1558440552557056,-0.394531,-0.219727,0.868164
1558440552585978,-0.393066,-0.211426,0.87207
1558440552607920,-0.384277,-0.211426,0.87207
1558440552616896,-0.383301,-0.217773,0.87207
1558440552637839,-0.384766,-0.21875,0.879883
1558440552660779,-0.378906,-0.221191,0.879883
1558440552682720,-0.375488,-0.224609,0.877441
1558440552697679,-0.373047,-0.221191,0.875488
1558440552719621,-0.369629,-0.226074,0.883789
1558440552736578,-0.383789,-0.227051,0.88916
1558440552767493,-0.38916,-0.233398,0.89502
1558440552787440,-0.389648,-0.22998,0.891602
1558440552795419,-0.393066,-0.241211,0.893555
1558440552818372,-0.395996,-0.243164,0.899414
1558440552842293,-0.400391,-0.234375,0.90625
1558440552863237,-0.40625,-0.235352,0.907715
1558440552879194,-0.400391,-0.23584,0.904785
1558440552899141,-0.40625,-0.235352,0.893066
1558440552917093,-0.40332,-0.236328,0.89209
1558440552939034,-0.39209,-0.234375,0.889648
1558440552960976,-0.39209,-0.233887,0.892578
1558440552975936,-0.393555,-0.227051,0.888672
1558440552997878,-0.397461,-0.223145,0.883789
1558440553020816,-0.401855,-0.224609,0.882813
1558440553044751,-0.402344,-0.225098,0.884766
1558440553066693,-0.402344,-0.228027,0.883301
1558440553089632,-0.398438,-0.222168,0.889648
