timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558440552354598,0,-1,-3,-19,0,-1,1,-2
1558440552354598,1,0,2,20,-1,1,1,0
1558440552364571,-2,0,2,0,-1,0,0,1
1558440552364571,-3,0,-2,-12,2,1,0,-3
1558440552365568,-1,-2,-2,11,-3,-6,-4,-2
1558440552365568,-1,-1,1,-1,-1,-1,-1,1
1558440552366565,2,0,3,-7,1,0,0,1
1558440552366565,-1,-4,-4,-1,-1,-3,-3,-5
1558440552385515,-1,1,3,12,2,3,1,2
1558440552385515,-3,-6,-6,-15,-5,-4,-6,-5
1558440552387511,-1,0,-5,-7,-2,-1,1,-2
1558440552387511,0,-1,0,11,-2,-1,-2,-1
1558440552389504,-1,-2,-2,-5,0,-1,-2,-1
1558440552389504,1,-1,-2,-11,2,0,0,0
1558440552405462,-1,0,0,6,-1,-1,-2,0
1558440552405462,-3,-4,-2,0,-3,0,-3,-2
1558440552413440,0,-2,-4,-6,-2,-1,-1,1
1558440552413440,-3,0,-4,-2,-1,3,0,-4
1558440552420422,1,-1,1,5,-1,0,-1,-2
1558440552420422,0,1,0,-3,0,-1,1,2
1558440552435381,0,-4,-3,-3,-3,-1,0,-2
1558440552435381,1,-1,0,4,0,-2,-1,0
1558440552443360,0,-1,-1,-2,-1,0,-3,-2
1558440552443360,-2,-1,-1,-5,-1,-1,0,0
1558440552457322,-3,0,1,2,-2,-1,0,0
1558440552457322,0,1,0,-1,0,-2,0,0
1558440552465304,-3,-1,-4,-4,-1,-1,-1,-3
1558440552465304,2,2,4,2,0,0,-2,-1
1558440552512176,0,1,2,-2,-2,-3,-3,1
1558440552512176,-1,-1,-2,-19,1,1,1,0
1558440552513173,-1,-3,-1,9,-3,-1,0,-4
1558440552513173,0,-1,1,4,-2,-3,-2,1
1558440552514171,-2,-4,-5,-12,0,1,-1,-3
1558440552514171,0,-2,-2,1,-2,-3,-2,-3
1558440552518161,-3,-2,0,7,0,0,-3,0
1558440552518161,-2,-1,-2,-8,-1,0,-2,0
1558440552519158,-1,1,-1,-7,-1,0,2,-1
1558440552519158,-3,-2,-3,15,-2,-2,-4,0
1558440552524143,-2,-1,-2,-10,0,0,-2,0
1558440552524143,-1,-2,-3,-8,0,-1,2,-2
1558440552532122,2,-2,-1,10,-1,-2,1,0
1558440552532122,-1,-1,0,-2,0,2,0,0
1558440552556058,-1,-1,-1,-8,-1,-2,-2,-2
1558440552556058,0,3,-2,1,1,4,4,0
1558440552556058,-6,-2,-4,6,0,-3,-7,-7
1558440552556058,-1,-1,1,-4,0,-1,0,0
1558440552562042,0,1,-1,-4,0,-2,-1,0
1558440552562042,-2,-1,0,5,-2,-1,-2,0
1558440552585978,-1,0,1,-2,0,3,1,0
1558440552585978,-2,0,-2,-4,-1,2,1,-1
1558440552586976,0,-1,-2,2,-2,-6,-3,1
1558440552586976,-2,-2,-1,-1,-2,-4,-1,-1
1558440552591962,1,-1,0,-3,-2,1,1,-1
1558440552591962,-3,-2,1,1,-2,-5,-2,-3
1558440552615899,1,0,0,-1,1,4,4,2
1558440552615899,-2,0,0,-1,-2,0,-1,-3
1558440552615899,-1,1,2,0,0,-1,3,1
1558440552615899,1,1,-1,3,-3,-5,-3,1
1558440552628863,-1,1,0,-1,1,1,0,-1
1558440552628863,-3,-4,-4,-2,0,-4,-6,-5
1558440552637839,0,-3,-2,2,-4,-2,-2,1
1558440552637839,-2,0,0,-1,0,-1,0,1
1558440552643823,0,-1,-1,-4,-2,-2,-1,-2
1558440552643823,0,-1,-1,0,0,1,0,-2
1558440552659780,1,0,2,0,0,2,3,0
1558440552659780,2,2,0,-2,1,0,0,0
1558440552666762,-1,-2,-2,-3,-5,-5,-3,-2
1558440552666762,0,0,-1,-2,-1,-2,-1,1
1558440552682720,0,0,-2,0,-1,0,-3,1
1558440552682720,0,-1,2,0,-1,1,0,-1
1558440552689701,-1,-2,-2,0,-2,-3,-1,-2
1558440552689701,0,0,0,-1,0,0,0,0
1558440552697679,-1,0,-1,-4,1,-2,1,0
1558440552697679,-2,-2,-2,1,-1,1,0,-4
1558440552712640,-2,-4,-1,0,0,1,0,1
1558440552712640,2,0,0,-2,2,-3,-2,0
1558440552712640,1,0,3,1,-1,0,2,1
1558440552712640,0,0,0,0,2,1,-2,-1
