timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558440737945189,-3,-2,-3,-7,-1,-1,-2,-9
1558440737945189,-3,0,-4,17,-3,-1,-3,-1
1558440737945189,-3,-3,-1,-8,-2,-3,-5,2
1558440737945189,-4,0,-3,-14,2,3,3,-10
1558440737950175,0,-2,-2,18,0,-2,2,0
1558440737950175,1,0,3,-3,3,-4,2,2
1558440737951174,0,-2,-2,-12,0,2,-1,-2
1558440737951174,-1,-3,-2,6,-6,-6,-2,-1
1558440737955163,-2,2,-1,2,-3,0,-4,-3
1558440737955163,-2,0,-2,-15,-3,-4,-2,-4
1558440737973115,3,1,-2,1,0,-1,2,-1
1558440737973115,1,-1,2,13,4,1,0,5
1558440737973115,-3,-2,1,-9,-2,-6,-2,-2
1558440737973115,0,-5,-6,-10,-2,2,0,-3
1558440737987077,-1,3,6,11,-4,-3,-3,1
1558440737987077,-3,-1,-1,-1,0,-1,-4,-5
1558440737994058,1,-1,-2,-10,4,1,4,2
1558440737994058,1,-1,0,4,-3,-1,-4,1
1558440738009019,-4,-2,-4,1,0,2,-1,-6
1558440738009019,1,-2,-4,-9,-6,-5,-3,0
1558440738016001,-3,-1,-1,-1,-4,-1,-2,-2
1558440738016001,1,1,1,4,3,0,1,-1
1558440738062874,-1,-3,-4,14,-5,-3,-3,-1
1558440738062874,1,0,0,7,5,4,4,4
1558440738063873,-2,-1,0,-15,-4,-5,-3,-1
1558440738063873,-4,-2,-3,0,-1,2,-1,-5
1558440738064869,-4,-1,-1,9,0,-4,-1,1
1558440738064869,-4,-3,-4,-8,0,-2,-2,-3
1558440738075841,0,-1,-2,-6,-5,-4,-4,-4
1558440738075841,-2,-1,-2,10,-6,-10,-6,0
1558440738076837,-1,0,4,-2,7,13,8,1
1558440738076837,-1,-2,-5,-12,2,7,4,-2
1558440738084816,0,0,-3,11,1,0,0,-2
1558440738084816,0,1,3,-3,-3,-14,-3,-1
1558440738090801,0,-1,-3,-13,-1,2,-2,-2
1558440738090801,0,1,3,4,-7,-9,-2,-2
1558440738106757,3,1,3,8,3,-2,0,10
1558440738106757,-3,-2,-4,-8,-2,0,-1,-7
1558440738129698,0,-1,0,-5,2,-3,1,-3
1558440738129698,-4,-1,-1,7,-1,0,-3,-3
1558440738130693,-6,-2,-1,-3,-2,4,0,-4
1558440738130693,4,2,0,-8,0,5,4,2
1558440738135680,0,1,-1,3,-4,-5,-2,0
1558440738135680,2,1,-2,-1,-1,-2,-2,-1
1558440738152634,2,1,-1,-3,1,-4,-1,-1
1558440738152634,-4,-3,-1,2,-1,-1,-5,-1
1558440738153631,-1,-1,-3,-1,-2,-1,-2,-3
1558440738153631,-3,-2,-3,-5,-7,-11,-8,-6
1558440738174576,-1,-1,-1,-1,1,3,2,-1
1558440738174576,-2,2,0,7,4,6,4,3
1558440738175573,-2,-3,-2,-6,-2,0,-4,-2
1558440738175573,-1,-3,-2,-6,-2,0,-2,1
1558440738187541,-6,-5,-4,5,-5,-3,-6,-10
1558440738187541,-1,-3,-3,-5,-2,1,-2,1
1558440738195520,-1,-1,1,-4,-1,-5,1,3
1558440738195520,1,0,1,2,0,-5,0,-5
1558440738204497,0,1,1,0,2,11,2,0
1558440738204497,3,-2,-5,-2,-1,-2,-2,-3
1558440738210480,-1,-2,4,-1,0,-3,-2,0
1558440738210480,-1,0,-1,0,-2,1,-3,0
1558440738226436,-3,-3,-3,-5,-7,-5,-4,-3
1558440738226436,0,0,-1,-1,0,-7,-1,0
1558440738233418,2,0,-3,3,7,15,8,2
1558440738233418,0,0,2,-3,3,1,1,1
1558440738249375,-1,0,0,-1,1,0,-2,-2
1558440738249375,-1,1,2,0,-4,-4,-5,-2
1558440738255359,-2,-2,-3,-5,-7,-9,-7,-4
1558440738255359,4,0,3,-1,3,5,5,6
1558440738264336,0,-1,-3,1,0,-2,2,0
1558440738264336,0,-3,-2,0,2,4,3,3
1558440738270319,0,1,5,-2,-1,-3,-3,-2
1558440738270319,-2,0,0,0,-1,1,1,1
1558440738287274,-2,-1,-1,0,-3,-2,-3,-3
1558440738287274,-2,-1,-2,-3,-4,2,-2,-5
1558440738293264,1,1,-3,-2,0,1,5,0
1558440738293264,-2,-1,-4,2,-2,-5,-1,2
1558440738308224,-1,-3,-1,-2,-1,-3,-3,-2
1558440738308224,0,1,0,-4,-3,2,-4,-2
1558440738315201,-3,-2,-2,0,-2,-2,-5,-4
1558440738315201,0,0,-2,-1,0,-2,0,-1
1558440738332154,1,2,6,-1,4,3,4,4
1558440738332154,-1,-4,-4,-2,-1,-2,-2,-1
1558440738333152,-3,0,-2,-1,-4,0,-3,-2
1558440738333152,0,-2,0,-1,-3,0,-4,-4
1558440738355093,-3,-4,-5,-2,-6,-4,-5,-4
1558440738355093,-1,0,0,5,3,1,6,1
1558440738356090,3,1,1,-2,3,-2,3,4
1558440738356090,-6,-3,-5,-2,-3,-3,-7,-8
1558440738368058,0,-1,2,1,-3,-1,-3,-2
1558440738368058,0,-1,2,-2,3,1,1,1
1558440738375041,-1,-2,-3,-3,-1,-3,-2,1
1558440738375041,-3,-2,-1,0,-3,-5,-3,-10
1558440738384016,1,0,-1,0,2,1,5,4
1558440738384016,-1,-2,-1,-2,-4,-4,-5,-2
1558440738390000,-2,-2,-2,-1,-1,4,2,-1
