timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558440910429578,-3,-4,-2,-13,-1,-2,0,-3
1558440910429578,2,3,5,28,0,-4,-4,-1
1558440910430576,-3,-3,-2,-9,-1,1,-3,-1
1558440910430576,1,-2,0,-17,0,0,2,-2
1558440910433568,0,0,-2,18,1,-2,0,-1
1558440910433568,0,11,0,-7,-4,-1,0,0
1558440910441547,-3,-6,4,-5,0,0,2,1
1558440910441547,2,-2,-3,7,0,-5,-2,-2
1558440910443545,-1,4,-1,3,-4,-4,-5,-3
1558440910443545,-7,-16,-4,-6,0,-1,0,-3
1558440910449525,6,5,-10,-9,-3,-2,0,-3
1558440910449525,-6,0,1,10,-2,5,1,0
1558440910503381,-5,-6,4,-2,-1,-2,-2,-1
1558440910503381,3,2,1,-8,0,-2,0,-1
1558440910505376,-3,-4,-5,13,-1,-5,-3,-1
1558440910505376,2,-5,0,4,-1,-1,-2,-2
1558440910507370,1,-1,-20,-34,-8,-1,-1,-1
1558440910507370,-4,-2,8,11,3,1,3,1
1558440910509367,6,-3,-14,5,-3,-3,0,-1
1558440910509367,-15,-7,-10,-15,-7,-6,-4,-5
1558440910510364,-1,-5,-3,-4,3,0,1,0
1558440910510364,1,4,-1,8,0,2,-3,0
1558440910517344,1,3,2,-9,2,0,1,-1
1558440910517344,2,4,-5,1,-4,-3,-3,0
1558440910540294,-3,-4,4,5,-5,-4,-4,-5
1558440910540294,1,2,5,1,2,-3,-2,-1
1558440910541279,1,1,-3,-8,1,1,-1,-1
1558440910541279,-1,1,4,5,-3,2,3,2
1558440910555242,1,-1,2,5,2,0,-2,0
1558440910555242,-4,2,10,-3,-1,1,-1,0
1558440910556239,-4,2,29,13,0,-1,0,-2
1558440910556239,1,-2,-15,-11,0,-2,-3,-3
1558440910563220,-5,-5,-19,1,-5,-2,3,-2
1558440910563220,3,-1,-15,-10,1,1,1,-1
1558440910616079,1,4,9,16,-1,0,-2,-1
1558440910616079,-3,-3,3,-1,-1,3,-3,1
1558440910617077,1,0,15,-4,4,-1,0,0
1558440910617077,2,2,5,9,0,-11,2,1
1558440910618074,1,0,7,14,1,0,2,1
1558440910618074,0,-1,-9,-23,-3,0,0,-1
1558440910622063,-1,-3,-13,-9,-1,1,-1,-4
1558440910622063,-1,-1,4,19,-7,0,-4,-1
1558440910623060,1,-3,-11,-17,1,-2,-3,1
1558440910623060,-3,-1,10,0,1,-2,-1,-3
1558440910624057,2,5,14,22,1,4,0,2
1558440910624057,-5,-6,-14,-15,-10,-2,-3,-4
1558440910651984,0,2,21,15,16,5,3,-1
1558440910651984,0,-1,-16,-5,-7,-4,-1,0
1558440910653978,-9,-9,0,-13,-14,-11,-7,-2
1558440910653978,6,4,5,-3,9,9,9,2
1558440910658964,-10,-8,-10,-6,-4,-6,-3,-8
1558440910658964,-4,-6,-16,-2,7,7,0,-1
1558440910664949,3,5,12,12,3,-1,1,2
