timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558441131498446,-2,1,0,18,3,4,4,0
1558441131498446,-2,0,3,3,3,4,1,2
1558441131500440,-1,-2,1,-8,4,-4,0,1
1558441131500440,2,-1,-2,3,3,3,0,0
1558441131501437,-1,-1,-2,2,-7,-4,-6,0
1558441131501437,2,1,1,-6,3,-2,-1,2
1558441131502435,1,0,-1,-1,-3,-1,9,-3
1558441131502435,-2,-3,-2,8,0,0,-5,-3
1558441131511411,-1,-2,-1,-8,-2,0,1,1
1558441131511411,0,-4,-4,-6,-8,-4,-4,-6
1558441131518393,3,0,0,11,4,-3,1,4
1558441131518393,-1,0,-4,-9,-1,3,1,0
1558441131529361,0,0,1,-8,1,5,2,-2
1558441131529361,-2,-3,0,4,-1,-11,-6,-1
1558441131541330,-1,0,3,2,0,3,-2,0
1558441131541330,0,0,-1,-4,-1,-6,-2,-4
1558441131549309,0,0,2,-2,3,3,-2,-3
1558441131549309,-1,-1,-1,4,-6,0,1,2
1558441131556290,-5,-8,-5,-8,-16,-12,-13,-6
1558441131556290,5,5,9,4,20,17,10,5
1558441131571250,-1,-2,-8,0,-2,-4,0,-2
1558441131571250,-1,2,1,1,1,-2,-4,3
1558441131578232,-2,1,-3,-4,-2,0,0,-2
1558441131578232,-4,-4,0,3,-5,-1,-3,-6
1558441131625106,0,0,2,-13,4,1,1,1
1558441131625106,2,-1,-3,4,-3,-4,-3,-2
1558441131626104,2,-1,2,6,-1,-2,-5,0
1558441131626104,-1,-1,-2,-10,-1,4,-1,0
1558441131627101,-2,-1,-4,0,-3,-2,-2,-2
1558441131627101,0,1,5,11,3,2,4,3
1558441131628099,0,2,-5,-9,-3,0,-2,-3
1558441131628099,-3,-4,-4,-9,-9,-9,-5,-4
1558441131647047,1,2,4,14,7,7,6,2
1558441131647047,-5,-1,1,-8,-3,0,0,-2
1558441131647047,1,0,-2,-6,1,0,-1,-3
1558441131647047,-1,-3,-4,6,-8,-5,-4,-2
1558441131653033,1,-1,-2,0,-4,-2,-7,-2
1558441131653033,0,-1,0,-7,6,6,8,2
1558441131668989,-2,-2,0,2,1,0,5,0
1558441131668989,-1,0,0,2,-3,1,-3,1
1558441131674977,1,-1,-1,-4,-5,-8,-3,2
1558441131674977,-1,-2,-6,-3,-8,-14,-8,-7
1558441131683949,-2,0,1,4,11,10,5,2
1558441131683949,1,-1,-2,-3,2,-1,4,1
1558441131697912,-3,-3,-1,-5,-1,-1,-3,-2
1558441131697912,0,0,-1,2,-6,-8,-5,-1
1558441131705890,-3,-3,-3,-5,-10,-3,-4,-3
1558441131705890,-2,0,-1,2,7,2,-1,-2
1558441131719852,2,2,-1,1,-2,-7,3,1
1558441131719852,1,-1,1,1,11,12,3,2
1558441131728829,-2,-2,-1,-2,-8,-12,-10,-4
1558441131728829,-1,-1,2,-3,-4,-1,-2,0
1558441131735810,-4,-3,-5,-4,-6,-3,-4,-6
1558441131735810,-2,-1,0,-2,-1,-6,-1,3
1558441131743790,2,0,1,0,7,1,3,2
1558441131743790,0,-1,0,3,4,1,-1,-3
1558441131757752,0,-3,-2,0,-5,-4,-4,0
1558441131757752,0,-1,-1,-3,-6,-4,-4,-4
1558441131765730,0,-2,-2,-4,-5,-1,-4,-4
1558441131765730,0,-1,-2,2,0,-2,-1,0
1558441131772712,-2,-1,0,1,7,8,5,-1
1558441131772712,-2,-3,-1,-4,2,1,2,0
1558441131788670,2,-1,0,1,-5,-5,-6,-2
1558441131788670,-2,1,-2,-2,-1,-3,0,-2
1558441131795657,-1,2,2,-3,1,5,-1,-3
1558441131795657,-1,-1,-4,0,5,6,1,-1
1558441131802631,-4,0,-1,-2,-4,-15,-4,-3
1558441131802631,-1,-1,-2,-4,-4,1,1,-2
1558441131817591,-1,0,1,1,3,-5,-3,0
1558441131817591,1,0,-1,0,0,0,0,-4
1558441131825569,-2,-1,-2,-1,0,1,0,0
1558441131825569,-3,-4,-6,-8,-7,4,-3,-1
1558441131832552,-2,0,1,1,1,4,-1,0
1558441131832552,-1,-2,-2,-3,-3,-6,-4,-2
