timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558441284689182,0,2,0,9,4,2,3,2
1558441284689182,3,0,-1,-6,-1,-18,-1,0
1558441284695165,-1,0,-1,-4,-1,-1,-4,-4
1558441284695165,-1,-2,-3,4,-5,1,2,-1
1558441284696163,-2,-3,0,-6,-6,-12,-8,-3
1558441284696163,0,1,-1,-3,6,23,7,0
1558441284697159,-1,-1,-1,8,-9,-13,-4,-1
1558441284697159,0,1,3,0,6,1,2,3
1558441284708130,-1,-3,-5,-8,3,6,3,-3
1558441284708130,-3,-4,-2,3,-6,-8,-7,-4
1558441284716109,-1,-3,-1,-1,-5,2,-3,-1
1558441284716109,-1,0,-1,-2,-2,7,-1,-2
1558441284723091,0,-1,-1,-2,-2,-8,-2,-2
1558441284723091,0,1,-2,-6,-5,-4,-3,0
1558441284738050,1,0,-1,-2,3,6,3,-1
1558441284738050,-2,-3,-2,-6,-5,-8,-4,-4
1558441284746029,-2,-2,0,3,-1,2,-2,-1
1558441284746029,-4,-1,0,2,-2,-7,-5,-1
1558441284754008,-2,-1,-1,-7,-1,4,0,-3
1558441284754008,1,-2,-2,-1,-9,-4,-8,-2
1558441284768968,1,2,7,13,14,20,13,6
1558441284768968,1,1,0,-5,1,-15,-1,3
1558441284775948,-3,-4,-5,-2,-10,-8,-8,-5
1558441284775948,0,0,-1,10,11,11,6,2
1558441284815842,0,-1,4,-9,3,12,4,1
1558441284815842,-1,1,1,-8,-2,-4,-5,-3
1558441284816839,-2,-3,-5,9,1,-3,-4,0
1558441284816839,1,0,3,1,-1,-5,-3,-2
1558441284817837,-2,-2,-4,-12,-8,-6,-7,-5
1558441284817837,-2,-3,-3,4,-4,3,0,-5
1558441284819833,-2,0,0,-4,-2,0,2,0
1558441284819833,-1,0,0,-2,2,-1,0,1
1558441284836785,0,-1,-3,1,3,2,3,-1
1558441284836785,0,-2,1,7,-1,4,1,1
1558441284837783,0,0,-2,-9,-13,-12,-9,-4
1558441284837783,2,2,0,-6,1,-4,4,2
1558441284842770,1,0,0,14,8,-1,-2,2
1558441284842770,-1,0,2,-5,1,-1,-2,2
1558441284857729,0,-1,-3,0,0,5,3,-3
1558441284857729,-2,-2,1,4,-4,4,-3,-3
1558441284864712,-3,-4,-5,-6,-11,-13,-6,-3
1558441284864712,0,-2,-6,-7,3,3,-2,0
1558441284873688,1,-1,0,-2,1,-2,-2,0
1558441284873688,-3,-1,-4,-2,-5,0,-2,-3
1558441284888649,-2,-1,0,-2,-3,-5,0,-3
1558441284888649,-1,-1,2,2,2,-3,-3,-1
1558441284895629,-1,0,-2,-4,-3,2,2,1
1558441284895629,-1,-1,-2,1,4,5,-2,1
1558441284902610,-1,-1,-8,-11,0,-2,-2,-3
1558441284902610,-3,-1,8,7,1,-12,-2,1
1558441284917570,-3,-2,-1,-2,5,10,3,2
1558441284917570,-3,-4,0,1,-5,2,-2,-4
1558441284925549,-2,-1,-6,-3,-3,5,0,-2
1558441284925549,2,2,3,0,1,-16,0,1
1558441284934525,-1,-3,0,-4,-1,1,-2,-2
1558441284934525,0,-3,-1,-5,0,1,3,1
1558441284948487,-1,-2,-3,5,-8,-6,-7,-2
1558441284948487,-4,-2,-6,-5,-4,11,0,0
1558441284955468,1,2,2,-2,2,3,5,2
1558441284955468,1,0,-4,0,-4,-9,-4,-2
1558441284962450,0,1,0,1,3,-1,2,1
1558441284962450,2,0,-1,-1,5,2,2,0
1558441284977409,1,0,2,-2,-6,-11,-5,-3
1558441284977409,-3,-1,-2,-2,-4,3,-5,-4
1558441284985390,0,-1,2,0,4,6,5,0
1558441284985390,0,-1,-5,0,-3,3,0,-2
1558441284994364,0,-2,-1,-2,5,1,-1,0
1558441284994364,0,-1,4,1,-5,-7,-8,-4
1558441285008326,1,3,1,0,6,-1,8,6
1558441285008326,-2,-1,-2,1,-3,1,1,1
1558441285015308,-3,-4,-4,0,-1,1,-5,-4
1558441285015308,-2,-2,-4,-2,-1,9,-4,-2
1558441285022290,-1,0,2,-1,-6,-7,-7,-3
1558441285022290,-1,-1,-4,-6,-7,0,-2,-5
1558441285037250,-1,0,2,15,10,1,0,1
1558441285037250,-1,-3,-6,-18,-5,-8,3,1
1558441285045228,0,-2,1,0,-6,-3,-3,-1
1558441285045228,-1,1,-5,-3,6,2,4,2
1558441285054205,0,1,6,7,2,-8,4,3
1558441285054205,-3,-1,2,-2,-1,-5,-2,-1
1558441285068168,0,0,-1,2,2,3,-5,-3
1558441285068168,0,-1,0,-7,-12,8,-7,-6
1558441285075149,-3,-2,-6,-6,-10,-11,-9,-6
1558441285075149,3,1,3,5,14,-9,10,8
1558441285083128,-3,0,4,-1,-2,-3,-4,-1
1558441285083128,-2,-3,-4,-1,-8,-8,-6,-2
1558441285099085,0,0,2,6,15,26,6,-1
1558441285099085,-1,-2,-7,-11,-7,1,-1,-3
