timestamp,x,y,z
1558441389067317,-0.677734,-0.426758,0.618164
1558441389089259,-0.674805,-0.428223,0.62207
1558441389104220,-0.67627,-0.42627,0.615723
1558441389129153,-0.676758,-0.432129,0.619629
1558441389149100,-0.672363,-0.430664,0.619141
1558441389164060,-0.671875,-0.430664,0.613281
1558441389218913,-0.672363,-0.435059,0.615723
1558441389220909,-0.670898,-0.429688,0.613281
1558441389232876,-0.670898,-0.430664,0.62207
1558441389250827,-0.67041,-0.428711,0.615234
1558441389270776,-0.668945,-0.424316,0.612793
1558441389285735,-0.667969,-0.425293,0.610352
1558441389337595,-0.672363,-0.420898,0.606934
1558441389338594,-0.666992,-0.424805,0.612793
1558441389351557,-0.668945,-0.421875,0.604004
1558441389368512,-0.671875,-0.427734,0.612793
1558441389390454,-0.664063,-0.42334,0.607422
1558441389411398,-0.666504,-0.427246,0.614258
1558441389428353,-0.666016,-0.423828,0.611816
1558441389450293,-0.66748,-0.424805,0.61377
1558441389471237,-0.665527,-0.424316,0.607422
1558441389496170,-0.664551,-0.424316,0.617676
1558441389510134,-0.666992,-0.426758,0.611816
1558441389541051,-0.666992,-0.424316,0.609863
1558441389556011,-0.672363,-0.423828,0.613281
1558441389570971,-0.669434,-0.431641,0.608398
1558441389610865,-0.676758,-0.430664,0.614258
1558441389615858,-0.675781,-0.42627,0.616699
1558441389630811,-0.679688,-0.423828,0.611816
1558441389651755,-0.675293,-0.424805,0.617676
1558441389667713,-0.668945,-0.434082,0.613281
1558441389714587,-0.66748,-0.426758,0.615723
1558441389719574,-0.666992,-0.428223,0.613281
1558441389727553,-0.665527,-0.422852,0.616699
1558441389758485,-0.671387,-0.424316,0.614258
1558441389773430,-0.665039,-0.423828,0.620605
1558441389788389,-0.66748,-0.428223,0.610352
1558441389810332,-0.662598,-0.427734,0.609375
1558441389833270,-0.664551,-0.418945,0.61084
1558441389848229,-0.663574,-0.421387,0.609863
1558441389870170,-0.662109,-0.426758,0.615234
1558441389892112,-0.665039,-0.422363,0.611328
1558441389907072,-0.658203,-0.428223,0.614258
1558441389938987,-0.665527,-0.42334,0.607422
