timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558451960192900,5,4,5,-1,7,3,2,1
1558451960192900,-1,-3,-21,-23,-11,-7,-5,-3
1558451960193900,-3,-7,4,8,2,-2,-1,0
1558451960193900,-2,-1,-9,-18,-5,-2,0,0
1558451960201235,-10,-8,4,8,-1,1,-2,-3
1558451960201235,5,5,4,6,4,3,0,-1
1558451960204038,-4,-5,-3,-2,-6,-6,-1,-2
1558451960204038,4,3,0,4,6,1,-2,1
1558451960213992,1,2,-2,-8,-9,-4,3,2
1558451960213992,-4,-5,0,6,4,-2,-3,-1
1558451960224815,3,5,0,1,-4,-4,-1,-2
1558451960224815,-5,-7,-5,-7,-6,0,-1,-3
1558451960228804,-1,-2,-4,2,1,-1,-2,0
1558451960228804,-2,-2,0,-6,-6,-4,-2,-3
1558451960245196,1,3,2,-3,-5,-1,-1,-1
1558451960245196,0,1,0,-2,5,2,-1,2
1558451960260606,0,1,-6,-7,-4,-4,0,-1
1558451960260606,0,-2,2,2,2,-1,0,1
1558451960263597,-1,-1,-1,3,1,5,0,1
1558451960263597,-1,1,-2,2,0,0,0,0
1558451960273571,-1,-4,-3,-4,-6,-7,-4,-3
1558451960273571,1,1,1,2,3,5,-1,0
1558451960284540,-1,-4,-2,-2,11,8,2,0
1558451960284540,-7,-5,-1,2,-6,-7,-3,-2
1558451960288533,4,4,3,0,-1,-4,-5,-2
1558451960288533,-3,-3,0,1,-3,-1,3,2
1558451960304488,-2,-4,-10,-16,-10,-5,-2,-2
1558451960304488,3,3,-3,6,4,0,0,-3
1558451960311469,-7,-6,1,7,2,0,-1,-3
1558451960311469,1,1,2,-8,-5,0,0,-1
1558451960352246,0,3,6,12,6,3,-4,-4
1558451960352246,-2,-2,-1,-3,-2,-1,1,1
1558451960352401,2,-3,0,5,-5,-7,-3,1
1558451960352401,2,1,-1,-8,5,10,2,0
1558451960353553,1,-2,-6,-2,-2,-2,0,1
1558451960353553,-1,1,-2,-1,2,1,-1,-1
1558451960355898,-1,3,2,1,-3,-2,-2,-3
1558451960355898,-2,-6,-4,0,0,0,0,-1
1558451960364853,-2,-4,-1,2,-1,2,-1,-3
1558451960364853,-3,-1,3,4,-4,-7,-4,0
1558451960370879,-1,0,-1,-2,4,-3,2,0
1558451960370879,3,4,-1,-2,-2,0,2,2
1558451960379985,-1,-1,1,0,-3,-2,-4,0
1558451960379985,2,-2,-2,-1,1,2,-1,-2
1558451960393775,-3,0,2,0,1,4,-2,-4
1558451960393775,1,1,0,1,-6,-9,-6,-3
1558451960401754,0,-3,3,7,4,1,7,8
1558451960401754,-1,-2,0,4,3,1,-2,-1
1558451960415716,2,0,-8,-13,-7,-3,-4,-2
1558451960415716,0,1,2,5,5,5,2,0
1558451960424693,-3,-3,0,-8,-3,-2,-3,-4
1558451960424693,1,-2,-1,9,4,5,3,0
1558451960431198,0,-2,1,4,-2,-3,1,0
1558451960431198,-4,-6,-5,-18,-4,-3,-5,-3
1558451960439653,2,5,-3,3,-2,-1,2,1
1558451960439653,1,2,-6,-14,-5,-3,-1,-2
1558451960453618,4,1,6,10,6,5,3,1
1558451960453618,-2,-4,3,4,-3,-5,-3,-3
1558451960462132,-5,-4,0,-7,-10,-5,-3,-3
1558451960462132,1,-1,-2,-3,0,-2,-6,-6
1558451960476107,-2,-7,-6,-12,1,6,5,2
1558451960476107,1,4,4,13,-5,-5,-2,0
1558451960485167,2,-3,-6,-8,9,11,1,1
1558451960485167,-1,5,1,-4,-8,-3,-2,0
1558451960491042,-2,-5,3,9,-5,-9,-4,-3
1558451960491042,-1,-3,-7,-13,-4,-2,0,1
1558451960500019,-7,-10,-4,-1,-2,-5,-1,-6
1558451960500019,4,7,0,9,1,-1,1,3
1558451960512985,0,-4,0,-1,4,6,1,-1
1558451960512985,2,1,0,5,5,-1,1,3
1558451960529938,-1,3,0,3,-5,-4,0,-2
1558451960529938,-6,-6,1,-4,3,1,-3,-3
1558451960552877,1,0,0,1,-2,-1,-1,0
1558451960552877,-3,-6,-1,1,-4,-3,-2,-1
1558451960553874,5,6,-5,-4,-3,-2,-1,-2
1558451960553874,0,-3,-2,-9,-5,-1,3,2
1558451960554990,0,2,0,1,5,2,2,2
1558451960554990,-3,-6,-8,-8,-7,-1,-3,-4
1558451960559784,-1,4,10,13,1,-8,-5,-4
1558451960559784,-4,-5,-7,-5,-8,-9,-5,-1
1558451960573450,-2,2,-1,-6,-1,2,-2,0
1558451960573450,-4,-7,-1,10,2,-1,2,1
1558451960582425,2,2,3,-2,-6,-7,-4,-1
1558451960582425,-1,-2,-4,-2,3,4,4,-2
1558451960595477,0,-1,-2,-7,-5,-4,-4,-2
1558451960595477,-2,1,1,9,5,7,0,-1
1558451960604869,-1,-1,-5,-14,-5,-2,-2,-1
1558451960604869,3,3,8,8,0,2,4,2
1558451960610352,-10,-9,-10,-3,2,-4,-2,-1
1558451960610352,0,-4,-4,-11,-6,-6,-6,-2
1558451960619328,1,0,-2,0,4,4,7,5
1558451960619328,0,-2,2,4,0,1,-1,0
1558451960633290,-2,2,2,5,0,1,0,-2
1558451960633290,1,2,-3,0,-1,-1,0,-1
1558451960642577,-4,-9,-3,-6,1,1,1,1
1558451960642577,0,0,-4,-14,2,1,-1,0
1558451960655532,0,-1,3,0,-7,-2,-3,-2
1558451960655532,0,4,2,4,8,-1,2,1
1558451960673202,-1,1,0,-1,-5,0,-3,-1
1558451960673202,-4,-5,1,9,2,0,-1,-3
1558451960673488,-1,-2,0,3,-5,-6,-3,-2
1558451960673488,-1,1,-3,-11,-7,-3,-3,-2
1558451960679472,0,1,0,1,5,6,2,0
1558451960679472,-5,-6,4,5,2,-5,-2,-2
1558451960693435,-5,-6,-11,-5,0,0,-5,-3
1558451960693435,0,3,3,2,3,-3,-1,-1
1558451960702412,2,2,-3,-14,-3,2,1,-1
1558451960702412,-6,-2,-3,-2,-5,-5,-4,-3
1558451960715380,-1,-1,-3,-6,2,-2,-2,-2
1558451960715380,-2,-5,-1,3,2,5,3,0
1558451960724932,0,-3,-2,-3,-10,-10,-9,-2
1558451960724932,4,2,9,17,7,7,2,2
1558451960730364,-2,-1,-9,-25,-4,-2,-1,-2
1558451960730364,-1,6,2,3,3,3,-2,-1
1558451960747291,-2,-3,-6,2,-6,-10,-4,-3
1558451960747291,0,-4,-1,-2,-6,-7,-4,-5
1558451960753275,-1,2,3,11,5,2,3,0
1558451960753275,-1,-2,2,-3,0,6,4,0
1558451960761779,0,2,1,2,4,3,0,-2
1558451960761779,-3,-4,-5,-11,-5,0,-2,-2
1558451960775746,-5,-4,-2,-1,-5,-7,-3,-2
1558451960775746,2,4,0,3,-1,0,4,1
1558451960784719,2,6,10,7,2,1,3,2
1558451960784719,-4,-10,-13,-9,-2,0,-2,-3
1558451960790701,2,6,-2,3,-1,-4,-6,-2
1558451960790701,-3,-8,-3,-5,-6,-7,-4,-3
1558451960805667,-2,-1,3,10,3,1,1,1
1558451960805667,2,3,-1,-25,-4,-1,4,0
1558451960813646,0,-6,0,13,4,4,1,2
1558451960813646,-1,3,1,-1,-2,1,-2,-5
1558451960829598,-2,-8,-6,-9,-3,-3,1,0
1558451960829598,5,8,3,13,2,0,-1,1
1558451960835766,0,2,0,-2,1,-2,2,3
1558451960835766,-2,-2,-5,-12,-6,-3,-2,-3
1558451960844931,0,-1,1,4,0,-6,-1,1
1558451960844931,-6,-2,2,4,0,0,-2,-2
1558451960850628,-1,2,1,-3,-3,-1,-2,-4
1558451960850628,-1,-8,1,2,-1,-2,1,1
1558451960866039,-6,-1,-1,-4,1,-3,-5,-4
1558451960866039,1,1,-5,-8,0,3,2,0
1558451960873100,7,1,-3,-7,-7,-5,-3,-1
1558451960873100,-10,-7,3,4,0,-6,-6,-5
1558451960882568,-1,1,-12,-19,-2,0,-4,-3
1558451960882568,-1,-2,7,14,3,-1,3,0
1558451960895966,2,3,-5,-11,-1,-2,0,0
1558451960895966,2,3,-2,-3,-5,1,1,0
1558451960904969,-2,-3,0,10,2,-3,-3,-3
1558451960904969,-2,-1,0,-1,-9,-7,-4,-2
1558451960911005,-2,-2,-3,-9,4,3,-1,-3
1558451960911005,3,3,3,11,3,1,-3,-1
1558451960925879,-1,-1,-2,-2,1,3,3,4
1558451960925879,-1,1,-3,2,2,0,1,1
1558451960932858,-1,-1,1,4,0,0,0,0
1558451960932858,-4,-3,-7,-25,-11,-11,-5,-4
1558451960941939,-2,-1,2,9,4,6,1,0
1558451960941939,4,1,0,3,-2,-2,-3,-2
1558451960955800,-3,-2,-2,-11,-4,0,-1,2
1558451960955800,-3,-3,4,13,7,6,3,1
1558451960971754,4,1,-7,-11,-4,-5,-3,0
1558451960971754,-5,-8,0,-2,-2,0,0,1
1558451960971754,1,4,4,11,2,-2,-1,-1
1558451960971754,2,1,6,12,-4,2,1,-1
1558451960985978,-2,-7,-7,1,0,3,2,-1
1558451960985978,-2,-5,-4,0,3,-1,-1,-1
1558451960993696,-1,3,3,3,-1,3,0,0
1558451960993696,-2,0,1,4,4,0,-2,-1
1558451961002671,0,2,-1,-11,-4,0,-3,-3
1558451961002671,2,4,-1,4,1,3,4,2
1558451961015638,-7,-10,-5,-6,-4,-1,-1,-4
1558451961015638,-3,-4,-5,-1,9,2,-1,0
1558451961024698,4,3,2,0,-6,-2,4,3
1558451961024698,-1,2,-3,-2,-2,0,0,1
1558451961030601,0,0,2,6,-1,-6,-3,0
1558451961030601,-2,2,-6,-12,-8,-3,-2,-2
1558451961045564,-2,-4,3,9,2,-1,-2,-3
1558451961045564,2,2,4,8,5,2,-1,0
1558451961053537,-6,-6,-3,-7,-6,-1,0,-1
1558451961053537,-1,-8,-10,-21,-5,-4,-2,-2
1558451961067847,-2,1,2,6,3,1,-1,-1
1558451961067847,2,6,5,7,-1,-5,-4,-2
1558451961075825,0,-1,2,5,4,5,1,1
1558451961075825,-3,-2,-6,-7,-2,-2,-2,1
