timestamp,x,y,z
1558441567425502,-0.725098,-0.502441,0.512207
1558441567448441,-0.717285,-0.502441,0.51416
1558441567463402,-0.713867,-0.502441,0.51123
1558441567493321,-0.699219,-0.505371,0.51416
1558441567508282,-0.695801,-0.509277,0.518066
1558441567523241,-0.696777,-0.506836,0.519043
1558441567547178,-0.704102,-0.504395,0.524902
1558441567607018,-0.713867,-0.510254,0.532227
1558441567608014,-0.729492,-0.504883,0.54248
1558441567617988,-0.75293,-0.505859,0.552734
1558441567629957,-0.760742,-0.499512,0.556152
1558441567643918,-0.760742,-0.493652,0.554688
1558441567668852,-0.756348,-0.488281,0.550293
1558441567689796,-0.746582,-0.476074,0.544922
1558441567733679,-0.736328,-0.465332,0.540527
1558441567743652,-0.698242,-0.460449,0.522949
1558441567749635,-0.652344,-0.465332,0.505859
1558441567764596,-0.647461,-0.458496,0.502441
1558441567787534,-0.644531,-0.464844,0.494629
1558441567802495,-0.64502,-0.469238,0.501465
1558441567824435,-0.647461,-0.47998,0.5
1558441567847374,-0.666504,-0.475098,0.501465
1558441567868319,-0.685547,-0.456055,0.506348
1558441567884276,-0.703613,-0.456055,0.515625
1558441567907216,-0.70752,-0.458008,0.513184
1558441567928159,-0.71582,-0.462891,0.518066
1558441567944115,-0.722168,-0.457031,0.511719
1558441567974036,-0.73877,-0.450684,0.500488
1558441567987999,-0.744629,-0.454102,0.486328
1558441568004953,-0.758301,-0.460938,0.48291
1558441568026895,-0.742676,-0.44873,0.505371
1558441568047838,-0.728516,-0.428223,0.536133
1558441568064794,-0.713867,-0.43457,0.5625
1558441568086735,-0.696777,-0.444824,0.5625
1558441568108676,-0.690918,-0.44873,0.570313
1558441568124633,-0.688477,-0.455078,0.564453
1558441568147572,-0.694336,-0.461914,0.54834
1558441568168517,-0.704102,-0.466309,0.537598
1558441568184472,-0.709473,-0.474609,0.525391
1558441568207411,-0.719727,-0.472656,0.516602
1558441568228356,-0.728516,-0.480957,0.508789
1558441568244313,-0.733887,-0.478027,0.50293
1558441568267252,-0.729492,-0.474609,0.5
1558441568289194,-0.73291,-0.480469,0.501953
1558441568304154,-0.732422,-0.479492,0.494141
1558441568327091,-0.740234,-0.481445,0.494141
1558441568358009,-0.739746,-0.476563,0.482422
1558441568364991,-0.741699,-0.455078,0.479492
1558441568386931,-0.748047,-0.442383,0.469727
1558441568417850,-0.749023,-0.442871,0.459473
1558441568424831,-0.753418,-0.446777,0.445801
1558441568446771,-0.75293,-0.446777,0.441895
1558441568477695,-0.746582,-0.437012,0.439453
1558441568484670,-0.744141,-0.444336,0.438965
1558441568506612,-0.755859,-0.443359,0.448242
1558441568529551,-0.773438,-0.454102,0.467285
1558441568544514,-0.780762,-0.451172,0.484863
1558441568566451,-0.790039,-0.452637,0.508789
1558441568588394,-0.804199,-0.470215,0.529297
1558441568603353,-0.808105,-0.476563,0.543457
1558441568626291,-0.80957,-0.47998,0.557617
1558441568649236,-0.817871,-0.482422,0.587891
1558441568664191,-0.812012,-0.476563,0.598145
1558441568686131,-0.807129,-0.482422,0.603516
1558441568709070,-0.792969,-0.500977,0.594238
1558441568723032,-0.771973,-0.503418,0.5625
1558441568745972,-0.755371,-0.492188,0.553223
1558441568768909,-0.734863,-0.47998,0.524414
1558441568782873,-0.70752,-0.456055,0.509766
1558441568805813,-0.682617,-0.427246,0.507813
1558441568828749,-0.675293,-0.404297,0.516602
1558441568842714,-0.685059,-0.37793,0.530273
1558441568865652,-0.697266,-0.376465,0.527344
1558441568888588,-0.707031,-0.369629,0.520508
1558441568911586,-0.727539,-0.361328,0.527344
1558441568925530,-0.739746,-0.359863,0.538086
1558441568948435,-0.739258,-0.363281,0.54248
1558441568971369,-0.724121,-0.358398,0.569336
1558441568985330,-0.722656,-0.342285,0.580078
1558441569008269,-0.725098,-0.335449,0.58252
1558441569031208,-0.724121,-0.32373,0.600586
1558441569045170,-0.729492,-0.327148,0.599609
1558441569069106,-0.72998,-0.337402,0.592773
1558441569091046,-0.742676,-0.332031,0.598633
1558441569106009,-0.761719,-0.333008,0.597168
1558441569127949,-0.782715,-0.327637,0.587402
1558441569150889,-0.802246,-0.316406,0.58252
1558441569165847,-0.809082,-0.306152,0.564941
1558441569187790,-0.799805,-0.308594,0.562012
1558441569211725,-0.802734,-0.302734,0.541504
1558441569225688,-0.775391,-0.293945,0.523926
1558441569247629,-0.759766,-0.287109,0.508789
1558441569271566,-0.746094,-0.274902,0.502441
1558441569285527,-0.735352,-0.26416,0.494629
1558441569308504,-0.73877,-0.257813,0.494141
1558441569323426,-0.748535,-0.246094,0.506836
1558441569345367,-0.759277,-0.244629,0.501465
1558441569369304,-0.776367,-0.25,0.503418
1558441569383265,-0.784668,-0.251953,0.509277
1558441569405207,-0.797852,-0.251953,0.51709
1558441569429143,-0.795898,-0.259277,0.522461
1558441569443106,-0.798828,-0.26416,0.523438
1558441569477015,-0.799316,-0.268066,0.53125
1558441569488983,-0.805176,-0.269531,0.538574
1558441569535856,-0.797363,-0.278809,0.539551
1558441569537853,-0.79248,-0.283691,0.535156
1558441569548822,-0.791992,-0.284668,0.531738
1558441569562785,-0.79248,-0.282227,0.532227
1558441569588718,-0.771484,-0.283691,0.526855
1558441569609688,-0.761719,-0.282227,0.525391
1558441569623962,-0.739258,-0.276367,0.51123
1558441569645591,-0.717773,-0.260254,0.503418
1558441569668881,-0.705078,-0.255371,0.48291
1558441569683811,-0.679199,-0.234863,0.469238
1558441569705435,-0.668945,-0.220703,0.466797
1558441569728342,-0.710938,-0.208008,0.475098
1558441569751331,-0.753418,-0.25293,0.509766
1558441569765243,-0.79541,-0.327148,0.517578
1558441569788182,-0.821289,-0.374512,0.510742
1558441569811122,-0.867188,-0.407227,0.53125
1558441569826080,-0.879883,-0.422852,0.538086
1558441569848022,-0.873047,-0.423828,0.535645
1558441569870961,-0.86084,-0.413086,0.559082
1558441569885956,-0.852051,-0.431641,0.580078
1558441569907897,-0.844727,-0.436523,0.589355
1558441569930836,-0.833984,-0.444824,0.591797
1558441569945769,-0.814941,-0.446777,0.582031
1558441569967703,-0.80127,-0.450195,0.577148
1558441569991637,-0.795898,-0.440918,0.562988
1558441570005600,-0.773438,-0.415527,0.561523
1558441570029539,-0.749512,-0.402344,0.549316
1558441570051536,-0.732422,-0.387695,0.543945
1558441570065443,-0.726563,-0.390625,0.537598
1558441570088385,-0.730957,-0.375,0.536133
1558441570111663,-0.743652,-0.354004,0.536621
1558441570126602,-0.750977,-0.341309,0.538574
1558441570148509,-0.754883,-0.336914,0.532715
1558441570171159,-0.758301,-0.337402,0.523438
1558441570186263,-0.763672,-0.346191,0.515625
1558441570208346,-0.762695,-0.34668,0.503906
1558441570230999,-0.757324,-0.362793,0.492188
1558441570246252,-0.751465,-0.368164,0.494629
1558441570268252,-0.762207,-0.374023,0.494629
1558441570308082,-0.765137,-0.375,0.490234
1558441570310785,-0.768066,-0.380371,0.499023
1558441570328807,-0.786621,-0.381348,0.504395
1558441570351678,-0.785645,-0.376953,0.503418
1558441570365640,-0.779297,-0.379395,0.513672
1558441570388575,-0.779785,-0.374023,0.523926
1558441570422490,-0.783203,-0.374512,0.517578
1558441570427472,-0.779297,-0.381348,0.521484
1558441570457406,-0.780762,-0.383789,0.51416
1558441570471356,-0.772949,-0.38623,0.515625
1558441570485443,-0.777832,-0.382813,0.520996
1558441570524243,-0.771484,-0.382324,0.517578
1558441570534188,-0.771484,-0.381348,0.51709
1558441570545192,-0.77002,-0.38916,0.521973
1558441570568273,-0.771484,-0.387207,0.529785
1558441570591035,-0.766602,-0.384277,0.530273
1558441570605997,-0.768066,-0.384277,0.538086
1558441570636014,-0.76123,-0.380859,0.532227
1558441570650903,-0.760742,-0.388672,0.52832
1558441570665834,-0.76709,-0.382813,0.52002
1558441570690769,-0.764648,-0.378906,0.532715
1558441570710859,-0.763672,-0.375488,0.536621
1558441570725862,-0.76123,-0.370117,0.529297
1558441570756796,-0.763184,-0.374512,0.536133
1558441570779688,-0.758301,-0.367676,0.523926
1558441570785630,-0.756836,-0.380859,0.520996
1558441570809455,-0.760254,-0.378906,0.506836
1558441570830431,-0.759277,-0.379883,0.505859
1558441570864306,-0.76123,-0.384766,0.502441
1558441570869291,-0.754883,-0.384277,0.504395
1558441570890456,-0.760254,-0.384277,0.513672
1558441570907191,-0.757813,-0.38916,0.516113
1558441570928187,-0.759766,-0.390625,0.520508
1558441570951101,-0.765625,-0.382813,0.526855
1558441570977002,-0.766113,-0.383789,0.535645
1558441570987978,-0.771973,-0.382813,0.533691
1558441571027899,-0.769043,-0.386719,0.531738
1558441571029865,-0.763672,-0.386719,0.536621
1558441571047851,-0.765137,-0.390625,0.527832
1558441571088754,-0.759766,-0.384766,0.523926
1558441571093817,-0.756836,-0.385254,0.514648
1558441571107654,-0.758789,-0.390137,0.509277
1558441571140565,-0.756348,-0.396484,0.508789
1558441571145567,-0.757324,-0.398926,0.507324
1558441571176673,-0.759277,-0.399902,0.501953
1558441571200609,-0.757813,-0.399902,0.519531
1558441571205597,-0.760742,-0.395996,0.520508
