timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558441581821879,-1,-1,-1,-1,-2,-2,6,2
1558441581821879,1,2,1,-3,5,5,5,1
1558441581827863,0,4,3,4,2,-4,3,-2
1558441581827863,-2,-2,-3,-4,-4,-7,-14,-1
1558441581828861,0,1,1,-1,6,8,0,-1
1558441581828861,-2,-4,-4,1,-2,7,-3,-3
1558441581829858,0,-4,-3,1,1,-1,-1,1
1558441581829858,-2,-1,1,-1,3,4,-6,-2
1558441581840829,-1,-2,1,1,-4,-5,-12,0
1558441581840829,0,0,-1,2,-1,-8,4,1
1558441581848808,0,0,2,-2,2,4,-2,0
1558441581848808,5,7,6,2,-7,-5,-2,-3
1558441581855789,-6,-10,-11,-5,-8,-1,-2,-3
1558441581855789,-4,-2,-10,-4,-6,-5,-8,0
1558441581870747,0,-4,-1,-1,7,3,8,5
1558441581870747,3,3,-1,-2,1,1,3,3
1558441581878726,0,4,5,2,1,-7,-1,0
1558441581878726,1,-1,4,-1,-6,-5,-7,-3
1558441581886706,-1,1,-2,-3,-6,4,2,-3
1558441581886706,3,-1,1,2,5,-2,5,0
1558441581900669,1,4,8,3,4,-7,5,-1
1558441581900669,-4,-5,-3,-6,-5,-2,-2,-1
1558441581908654,1,-1,-3,-1,5,4,6,0
1558441581908654,-4,-6,-11,-3,-6,-7,1,-3
1558441581946546,1,2,3,-3,5,6,0,0
1558441581946546,-3,-1,-3,-1,-8,-8,-3,-2
1558441581953527,5,4,2,3,-2,-15,-3,1
1558441581953527,-5,-3,3,-1,2,7,-5,-4
1558441581954524,-3,-9,-4,0,1,-2,4,-2
1558441581954524,1,0,5,0,-3,-2,-4,-1
1558441581955523,-3,-4,-7,-5,-2,10,-5,-1
1558441581955523,3,5,2,2,3,8,-1,1
1558441581960509,1,2,0,1,-3,-8,0,0
1558441581960509,-2,-7,-3,-1,-2,-9,-7,1
1558441581967489,-2,4,1,0,3,5,10,1
1558441581967489,4,-7,0,1,2,2,-2,0
1558441581975468,-13,-9,-7,-3,-5,-2,-6,-4
1558441581975468,-3,-4,-3,0,0,4,-3,-2
1558441581990428,-2,3,7,0,4,1,12,3
1558441581990428,-3,-6,-13,-5,-6,-8,-4,-2
1558441581997410,3,3,3,-2,-5,-2,-6,-3
1558441581997410,2,1,-2,-1,-4,-5,-4,-3
1558441582012370,-1,-5,-1,1,1,9,4,0
1558441582012370,-4,3,1,-1,-3,-8,-3,-4
1558441582020348,1,-2,-1,-4,2,-2,0,-3
1558441582020348,-3,0,-1,-3,-9,-3,-11,-4
1558441582027330,0,1,-2,3,5,-3,6,-2
