timestamp,x,y,z
1558441757153984,-0.364746,-0.85498,0.414551
1558441757177916,-0.364746,-0.854492,0.416992
1558441757192876,-0.363281,-0.850586,0.419434
1558441757214823,-0.366699,-0.853027,0.415527
1558441757236760,-0.36377,-0.856445,0.414551
1558441757259699,-0.36084,-0.850586,0.414551
1558441757282639,-0.35791,-0.849121,0.413086
1558441757298594,-0.363281,-0.844238,0.416504
1558441757327517,-0.35791,-0.845215,0.413574
1558441757340482,-0.366211,-0.839355,0.419922
1558441757357437,-0.369629,-0.836426,0.42041
1558441757381373,-0.371094,-0.836914,0.414063
1558441757396333,-0.370117,-0.84082,0.407227
1558441757417278,-0.375488,-0.838867,0.405273
1558441757464151,-0.371582,-0.839844,0.408691
1558441757465148,-0.367188,-0.846191,0.409668
1558441757478113,-0.364746,-0.849609,0.413086
1558441757499058,-0.366211,-0.847168,0.42041
1558441757516014,-0.362793,-0.848633,0.424805
1558441757537953,-0.366211,-0.844727,0.427246
1558441757560893,-0.368164,-0.84375,0.421875
1558441757575853,-0.361328,-0.848633,0.42334
1558441757606770,-0.364746,-0.84668,0.418945
1558441757619735,-0.355957,-0.849609,0.414063
1558441757635693,-0.354492,-0.846191,0.415039
1558441757658631,-0.355469,-0.841309,0.413574
1558441757679574,-0.351563,-0.838379,0.412598
1558441757695531,-0.347168,-0.839355,0.410156
1558441757725452,-0.352539,-0.835449,0.416992
1558441757740412,-0.355957,-0.833984,0.42041
1558441757755372,-0.359375,-0.839844,0.419434
1558441757779308,-0.36084,-0.842285,0.419434
1558441757799255,-0.365234,-0.841797,0.412109
1558441757815212,-0.372559,-0.845703,0.414551
1558441757838151,-0.367188,-0.845215,0.404785
1558441757859094,-0.362793,-0.852051,0.40918
1558441757876050,-0.366699,-0.846191,0.404785
1558441757897991,-0.369629,-0.847168,0.400879
1558441757918936,-0.366211,-0.852051,0.401367
1558441757942870,-0.361328,-0.869141,0.421875
1558441757957831,-0.353516,-0.868164,0.433594
1558441757978775,-0.355469,-0.866211,0.441406
1558441757995729,-0.34668,-0.864746,0.441895
1558441758019666,-0.356934,-0.86084,0.416504
1558441758039612,-0.36377,-0.850098,0.402344
1558441758063548,-0.369629,-0.838379,0.38916
1558441758078507,-0.366211,-0.848145,0.38623
1558441758100448,-0.359863,-0.851563,0.385742
1558441758121392,-0.359375,-0.835449,0.382324
1558441758137350,-0.364746,-0.832031,0.395996
1558441758160289,-0.361816,-0.838379,0.393066
1558441758175248,-0.361328,-0.849121,0.39209
1558441758197190,-0.368164,-0.848145,0.39502
1558441758220129,-0.366211,-0.84082,0.399414
1558441758236091,-0.358887,-0.838379,0.408203
1558441758257037,-0.355957,-0.850586,0.422852
1558441758279970,-0.348145,-0.858887,0.431152
1558441758294933,-0.345703,-0.858398,0.435059
1558441758317869,-0.341309,-0.856934,0.438477
1558441758340816,-0.34375,-0.855469,0.421387
1558441758354770,-0.348145,-0.853516,0.412109
1558441758385690,-0.358398,-0.864258,0.398438
1558441758407628,-0.367676,-0.876465,0.392578
1558441758414609,-0.38623,-0.875977,0.382813
1558441758438543,-0.395508,-0.869629,0.38916
1558441758460489,-0.397949,-0.861328,0.405273
1558441758476446,-0.39209,-0.85791,0.416016
1558441758497388,-0.382324,-0.861816,0.425781
1558441758520429,-0.369629,-0.87207,0.418945
1558441758536332,-0.359863,-0.87793,0.414063
1558441758557239,-0.361816,-0.874512,0.408203
1558441758581185,-0.356934,-0.874512,0.418457
1558441758611084,-0.353516,-0.873535,0.42627
1558441758617097,-0.355469,-0.869141,0.432129
1558441758640248,-0.358887,-0.859863,0.435059
1558441758663941,-0.36084,-0.850098,0.425293
1558441758677925,-0.357422,-0.838379,0.425293
1558441758699845,-0.361328,-0.827637,0.398926
1558441758722786,-0.358887,-0.830566,0.391602
1558441758738740,-0.359375,-0.84668,0.375977
1558441758767664,-0.354004,-0.846191,0.384766
1558441758782625,-0.357422,-0.855469,0.389648
1558441758797584,-0.358398,-0.848633,0.404297
1558441758819527,-0.364258,-0.854492,0.416504
1558441758842670,-0.356934,-0.859863,0.427734
1558441758857464,-0.364258,-0.869629,0.438965
1558441758880369,-0.366699,-0.867676,0.437012
1558441758902512,-0.371582,-0.856934,0.441895
1558441758917476,-0.369141,-0.86377,0.432129
1558441758940250,-0.364746,-0.867188,0.425293
1558441758963194,-0.358398,-0.86377,0.42627
1558441758977108,-0.354492,-0.861816,0.427734
1558441759001041,-0.344238,-0.852539,0.432129
1558441759021984,-0.343262,-0.833984,0.421875
1558441759036946,-0.341797,-0.832031,0.416016
1558441759060257,-0.345215,-0.822754,0.420898
1558441759082826,-0.350586,-0.811523,0.422363
1558441759104767,-0.346191,-0.808594,0.411133
1558441759121720,-0.341797,-0.806152,0.424805
1558441759142664,-0.345703,-0.803223,0.422363
1558441759157627,-0.344727,-0.81543,0.424316
1558441759179576,-0.352051,-0.817383,0.436523
1558441759209513,-0.355957,-0.828125,0.442383
1558441759218458,-0.361816,-0.838867,0.451172
1558441759240765,-0.368164,-0.848633,0.455566
1558441759263377,-0.367188,-0.861816,0.461914
1558441759279634,-0.361816,-0.859375,0.456543
1558441759300509,-0.360352,-0.859863,0.461426
1558441759322246,-0.360352,-0.858887,0.449219
1558441759339202,-0.355957,-0.855957,0.44043
1558441759360445,-0.349121,-0.855469,0.428711
1558441759382083,-0.339844,-0.837891,0.418457
1558441759399040,-0.331543,-0.831055,0.421387
1558441759420020,-0.331543,-0.82666,0.416016
1558441759441921,-0.328125,-0.82959,0.41748
1558441759458878,-0.32373,-0.835938,0.422852
1558441759480818,-0.331543,-0.835449,0.432617
1558441759502763,-0.329102,-0.838379,0.456543
1558441759518808,-0.334961,-0.844238,0.453125
1558441759541957,-0.340332,-0.840332,0.457031
1558441759562897,-0.345703,-0.847656,0.455566
1558441759578745,-0.343262,-0.851563,0.452637
1558441759600606,-0.352539,-0.850586,0.446777
1558441759622444,-0.344238,-0.839844,0.444824
1558441759638626,-0.34375,-0.842285,0.444824
1558441759661335,-0.340332,-0.836426,0.443359
1558441759682282,-0.341309,-0.84082,0.445313
1558441759699235,-0.342285,-0.834961,0.446289
1558441759720401,-0.342773,-0.836914,0.450684
1558441759742598,-0.342285,-0.841797,0.450195
1558441759758389,-0.340332,-0.836914,0.451172
1558441759780267,-0.338379,-0.84375,0.45459
1558441759803230,-0.336914,-0.833008,0.458984
1558441759819173,-0.339844,-0.836914,0.461426
1558441759840112,-0.34375,-0.837402,0.459961
1558441759862050,-0.344727,-0.837402,0.455078
1558441759879003,-0.34668,-0.833008,0.455078
1558441759899974,-0.348145,-0.833984,0.455078
1558441759923229,-0.345703,-0.833984,0.453613
1558441759939840,-0.347656,-0.835449,0.445801
1558441759960123,-0.353516,-0.83252,0.446289
1558441759983820,-0.345215,-0.831543,0.437988
1558441759997688,-0.344727,-0.831543,0.443848
1558441760019851,-0.347656,-0.833008,0.449219
1558441760049547,-0.341797,-0.839355,0.450684
1558441760058523,-0.343262,-0.833984,0.449219
1558441760079467,-0.343262,-0.831055,0.450195
1558441760102693,-0.336426,-0.833984,0.45459
1558441760118363,-0.33252,-0.833496,0.450684
1558441760141301,-0.337402,-0.831055,0.450684
1558441760162554,-0.339355,-0.825684,0.457031
1558441760178206,-0.336914,-0.831543,0.453125
1558441760201420,-0.339355,-0.831543,0.460449
1558441760223246,-0.345215,-0.84082,0.452148
1558441760238041,-0.345703,-0.842773,0.458496
1558441760260980,-0.351563,-0.84375,0.462402
1558441760281924,-0.361328,-0.841797,0.45459
1558441760297883,-0.358887,-0.841309,0.450195
1558441760322204,-0.354492,-0.834473,0.448242
1558441760343222,-0.345215,-0.834473,0.445801
1558441760358166,-0.341797,-0.838379,0.446289
1558441760381658,-0.340332,-0.838379,0.449707
1558441760402860,-0.344238,-0.838379,0.448242
1558441760418564,-0.343262,-0.828125,0.448242
1558441760441500,-0.34668,-0.829102,0.449219
1558441760462443,-0.341309,-0.833008,0.449707
1558441760478398,-0.338379,-0.837402,0.456543
1558441760501337,-0.339355,-0.837891,0.453125
1558441760522281,-0.337402,-0.839844,0.458008
1558441760538237,-0.338867,-0.83252,0.458008
1558441760561176,-0.343262,-0.833008,0.459961
1558441760582120,-0.346191,-0.830566,0.45752
1558441760605058,-0.343262,-0.838379,0.443848
1558441760621015,-0.350098,-0.83252,0.447266
1558441760641960,-0.347168,-0.836426,0.441895
1558441760657917,-0.350586,-0.840332,0.442383
1558441760680857,-0.352051,-0.834961,0.442871
1558441760702797,-0.351563,-0.838867,0.447754
1558441760717757,-0.34668,-0.841309,0.446289
1558441760741693,-0.347168,-0.841797,0.449707
1558441760762638,-0.341797,-0.839355,0.452637
1558441760778597,-0.347168,-0.847168,0.446289
1558441760801535,-0.34082,-0.846191,0.446289
1558441760823477,-0.337402,-0.844238,0.447754
1558441760838472,-0.342773,-0.839844,0.44873
1558441760861412,-0.337402,-0.839844,0.447266
1558441760883316,-0.335938,-0.845703,0.449219
1558441760898275,-0.342285,-0.84082,0.447266
1558441760920273,-0.342285,-0.838867,0.444824
1558441760942215,-0.348145,-0.833008,0.439453
1558441760965135,-0.348145,-0.834961,0.436523
1558441760981053,-0.353027,-0.837891,0.437012
1558441761003993,-0.353516,-0.842773,0.432617
1558441761024937,-0.35498,-0.842285,0.438965
1558441761040893,-0.351074,-0.838867,0.437988
1558441761061838,-0.354492,-0.833496,0.438477
1558441761084775,-0.348633,-0.836914,0.441406
1558441761108711,-0.347656,-0.841309,0.440918
1558441761123671,-0.34668,-0.844727,0.450684
1558441761145612,-0.34375,-0.84375,0.450195
1558441761161571,-0.349609,-0.838867,0.45166
1558441761183820,-0.34668,-0.84082,0.442871
1558441761205487,-0.352051,-0.844727,0.436035
1558441761220412,-0.353027,-0.84668,0.4375
1558441761243352,-0.354004,-0.848633,0.442383
1558441761265292,-0.351563,-0.847656,0.445313
1558441761280254,-0.350098,-0.84375,0.447754
1558441761304190,-0.348145,-0.835449,0.444336
1558441761325167,-0.338379,-0.835938,0.445801
1558441761340092,-0.34082,-0.840332,0.444824
1558441761364029,-0.333496,-0.845703,0.447266
1558441761385009,-0.338867,-0.84375,0.445801
1558441761400973,-0.341797,-0.839355,0.452148
1558441761423870,-0.344238,-0.834961,0.451172
1558441761444851,-0.349121,-0.84082,0.455078
1558441761460769,-0.348145,-0.850586,0.458496
1558441761483708,-0.347656,-0.851563,0.456055
1558441761504679,-0.347168,-0.842285,0.457031
1558441761520610,-0.342773,-0.836914,0.45459
1558441761551527,-0.334961,-0.836914,0.452148
1558441761564492,-0.32959,-0.840332,0.449707
1558441761580449,-0.325684,-0.829102,0.445801
1558441761603390,-0.333008,-0.83252,0.44043
1558441761625329,-0.336914,-0.833496,0.448242
1558441761640290,-0.339844,-0.825684,0.44873
1558441761671206,-0.336426,-0.825195,0.465332
1558441761685526,-0.333984,-0.82373,0.469727
1558441761700130,-0.340332,-0.837402,0.475098
1558441761724067,-0.338867,-0.844238,0.480957
1558441761745010,-0.345703,-0.847168,0.484375
1558441761768946,-0.347656,-0.842285,0.485352
1558441761783907,-0.34668,-0.834473,0.474609
1558441761805848,-0.339355,-0.830566,0.476563
1558441761828786,-0.337402,-0.810547,0.456055
1558441761842756,-0.329102,-0.797852,0.457031
1558441761864689,-0.326172,-0.802734,0.462891
1558441761880650,-0.324219,-0.81543,0.472168
1558441761902589,-0.327637,-0.816895,0.485352
1558441761924531,-0.331543,-0.822266,0.493652
1558441761940487,-0.338379,-0.825195,0.497559
1558441761963426,-0.354004,-0.828613,0.483887
1558441761984403,-0.35498,-0.829102,0.487305
1558441762000326,-0.355957,-0.822266,0.478516
1558441762023265,-0.355957,-0.825684,0.470215
1558441762054184,-0.353516,-0.825684,0.466797
1558441762060203,-0.347168,-0.829102,0.466797
1558441762083106,-0.344727,-0.831055,0.474121
1558441762106047,-0.339355,-0.828613,0.479004
1558441762121025,-0.335938,-0.828125,0.474609
1558441762142947,-0.331543,-0.830566,0.473633
1558441762165904,-0.331543,-0.836914,0.462891
1558441762180847,-0.334961,-0.836426,0.46875
1558441762202801,-0.329102,-0.850098,0.469727
1558441762225724,-0.328613,-0.851074,0.473145
1558441762240699,-0.330078,-0.84375,0.486328
1558441762262650,-0.328613,-0.843262,0.489746
1558441762286562,-0.310059,-0.852539,0.505859
1558441762300524,-0.306641,-0.864258,0.512695
1558441762331442,-0.300781,-0.856445,0.513672
1558441762346401,-0.29541,-0.837891,0.508789
1558441762360364,-0.300781,-0.825195,0.516113
1558441762383303,-0.308105,-0.80957,0.506836
1558441762407238,-0.314453,-0.803223,0.498047
1558441762420204,-0.321777,-0.791992,0.487793
1558441762443163,-0.323242,-0.78125,0.480469
1558441762466081,-0.322754,-0.778809,0.486816
1558441762480044,-0.320801,-0.787598,0.485352
1558441762502982,-0.32666,-0.795898,0.48291
1558441762525921,-0.321289,-0.79541,0.492188
1558441762546868,-0.318359,-0.803711,0.498535
1558441762562822,-0.3125,-0.81543,0.508301
1558441762585760,-0.310547,-0.819824,0.501953
1558441762607704,-0.315918,-0.8125,0.505371
