timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558441715227710,-1,-2,-2,0,-1,-2,-4,0
1558441715227710,-1,0,0,1,1,5,0,0
1558441715228707,0,1,1,0,-5,-4,-2,-1
1558441715228707,-3,-1,-7,-7,-4,-4,-3,1
1558441715231698,-1,-1,-3,-2,0,3,1,-5
1558441715231698,-2,0,3,-1,-2,-11,-5,-3
1558441715234691,-1,-2,-1,-1,-5,1,-3,-1
1558441715234691,0,0,2,1,5,4,6,2
1558441715238683,2,3,5,-1,3,-13,0,3
1558441715238683,0,-1,-8,-5,-4,1,-1,-4
1558441715246660,-2,-2,0,-3,-7,-12,-10,-8
1558441715246660,-2,-2,0,1,0,8,2,-4
1558441715262618,-2,-4,1,-1,1,2,2,1
1558441715262618,-3,-1,0,-1,-2,-1,-1,-2
1558441715268600,0,-3,-5,-1,6,6,12,5
1558441715268600,3,1,2,0,6,2,4,0
1558441715276579,-3,-3,-1,-1,-10,-10,-7,-1
1558441715276579,-2,-2,0,-2,-5,2,-5,1
1558441715291539,-2,-4,-7,-7,-2,7,1,-7
1558441715291539,1,1,2,3,8,2,4,0
1558441715299518,-1,2,-2,-1,4,4,1,-2
1558441715299518,0,-1,0,-2,-6,-10,-6,-2
1558441715346392,1,4,4,0,-2,-19,-6,-1
1558441715346392,2,-1,-4,-3,3,-2,3,2
1558441715347390,1,2,2,1,7,6,4,1
1558441715347390,-1,0,1,0,1,7,2,-1
1558441715348388,-3,0,-4,-3,-9,2,-4,-6
1558441715348388,-4,-4,0,-1,-4,-6,-9,-3
1558441715350381,-1,0,-1,0,0,-5,1,2
1558441715350381,1,0,1,1,2,-2,3,0
1558441715358360,-3,-2,-4,-3,-3,-1,-5,-3
1558441715358360,-3,-3,-3,-2,-7,-8,-7,-3
1558441715365343,0,-1,1,1,4,5,2,0
1558441715365343,-1,-3,3,2,2,-1,0,-2
1558441715373321,1,2,-2,0,5,10,6,4
1558441715373321,1,1,2,-2,-4,-10,-6,-6
1558441715388281,-1,-2,-3,-1,0,-5,1,3
1558441715388281,0,-1,-2,-2,-2,-2,-1,-2
1558441715404238,-2,-5,-4,-4,-7,-5,-8,-3
1558441715404238,1,3,-1,1,2,5,5,4
1558441715406232,-3,-2,-1,-3,1,1,-3,-9
1558441715406232,1,3,-1,-1,3,-3,4,2
1558441715419198,-1,-3,-2,1,0,-3,1,1
1558441715419198,-2,-1,-2,-1,-5,2,-2,-2
1558441715425183,-1,-1,-4,-7,-19,-17,-12,-3
1558441715425183,-2,-1,-2,4,12,13,5,4
1558441715433160,2,2,3,-2,6,-2,4,1
1558441715433160,0,3,-1,-2,0,3,3,1
1558441715448120,-4,-6,-6,-5,-10,-2,-11,-7
1558441715448120,-4,-4,-5,-5,-13,-11,-12,-6
1558441715456098,2,2,2,5,13,9,12,7
1558441715456098,-2,4,3,1,0,-9,-3,0
1558441715464077,-1,0,-4,0,4,8,5,-3
1558441715464077,-3,-6,-7,-4,-10,-6,-5,0
1558441715479037,-1,0,0,1,6,8,3,-3
1558441715479037,0,-3,2,2,4,5,3,2
1558441715486019,-2,0,-1,0,-6,-2,-5,-2
