timestamp,x,y,z
1558441875949978,-0.557617,-0.729004,0.414063
1558441875972916,-0.558105,-0.73291,0.418945
1558441875996856,-0.55957,-0.730957,0.41748
1558441876011813,-0.559082,-0.731445,0.422852
1558441876032758,-0.558594,-0.733398,0.42334
1558441876056693,-0.556641,-0.736328,0.422852
1558441876101573,-0.556641,-0.731445,0.419434
1558441876101573,-0.561523,-0.729492,0.416504
1558441876115536,-0.558594,-0.730957,0.41748
1558441876131494,-0.559082,-0.727051,0.419922
1558441876155429,-0.560547,-0.728516,0.418945
1558441876175375,-0.566895,-0.726563,0.42041
1558441876192330,-0.558594,-0.731934,0.417969
1558441876228234,-0.557129,-0.730957,0.411133
1558441876238207,-0.558594,-0.729004,0.416504
1558441876251173,-0.555176,-0.733398,0.414063
1558441876273114,-0.556641,-0.734863,0.418457
1558441876296059,-0.558594,-0.728516,0.413086
1558441876312010,-0.557617,-0.730469,0.40918
1558441876332953,-0.557129,-0.737305,0.412598
1558441876355892,-0.55957,-0.734375,0.416504
1558441876371850,-0.557129,-0.730957,0.416992
1558441876393792,-0.559082,-0.729492,0.413086
1558441876415732,-0.55127,-0.72998,0.414551
1558441876431690,-0.552734,-0.726074,0.413086
1558441876452634,-0.556152,-0.722168,0.423828
1558441876475572,-0.557617,-0.725586,0.413086
1558441876491529,-0.55957,-0.722656,0.413086
1558441876512474,-0.567383,-0.723633,0.411621
1558441876536690,-0.56543,-0.728027,0.416992
1558441876558354,-0.56543,-0.729492,0.418945
1558441876573311,-0.564453,-0.731445,0.414063
1558441876595252,-0.567383,-0.72998,0.416016
1558441876611209,-0.563965,-0.72998,0.414551
1558441876633154,-0.561523,-0.734863,0.416016
1558441876655093,-0.564941,-0.73291,0.415527
1558441876672048,-0.563477,-0.733398,0.417969
1558441876692991,-0.561523,-0.729004,0.416992
1558441876714931,-0.561035,-0.731445,0.416504
1558441876731889,-0.559082,-0.72998,0.412109
1558441876768788,-0.555176,-0.729492,0.416992
1558441876774772,-0.552734,-0.731934,0.415039
1558441876798709,-0.554688,-0.730469,0.414551
1558441876812670,-0.557129,-0.726563,0.416504
1558441876835609,-0.561523,-0.725586,0.416016
1558441876858550,-0.560059,-0.733398,0.419922
1558441876874506,-0.560059,-0.727051,0.418945
1558441876895450,-0.565918,-0.727051,0.419922
1558441876918389,-0.567383,-0.733887,0.417969
1558441876934346,-0.567871,-0.735352,0.414551
1558441876955294,-0.564453,-0.73291,0.41748
1558441876978227,-0.568848,-0.728027,0.419434
1558441876994185,-0.5625,-0.732422,0.42041
1558441877015134,-0.560059,-0.731934,0.41748
1558441877038068,-0.561523,-0.729492,0.413086
1558441877054024,-0.553223,-0.725098,0.412598
1558441877074968,-0.555664,-0.72168,0.416016
1558441877099902,-0.554688,-0.720703,0.413086
1558441877113890,-0.553711,-0.726074,0.416504
1558441877135806,-0.554688,-0.729004,0.418945
1558441877158806,-0.555664,-0.72998,0.417969
1558441877173710,-0.554688,-0.728516,0.419922
1558441877195745,-0.55957,-0.732422,0.418457
1558441877217764,-0.561523,-0.730957,0.419434
1558441877234716,-0.561035,-0.734863,0.419434
1558441877255658,-0.563965,-0.731445,0.421387
1558441877277831,-0.5625,-0.731445,0.413086
1558441877301594,-0.561523,-0.727539,0.416504
1558441877315558,-0.559082,-0.729492,0.41748
1558441877338498,-0.558105,-0.725098,0.418457
1558441877354458,-0.556641,-0.726074,0.41748
1558441877375684,-0.552734,-0.726074,0.413086
1558441877398515,-0.549805,-0.727051,0.413086
1558441877415293,-0.553711,-0.728027,0.41748
1558441877435444,-0.557129,-0.728516,0.414063
1558441877458200,-0.553223,-0.726563,0.428223
1558441877474133,-0.559082,-0.724121,0.416016
1558441877495105,-0.562012,-0.729004,0.421387
1558441877518022,-0.554688,-0.72998,0.422363
1558441877533974,-0.559082,-0.72998,0.414551
1558441877554983,-0.555664,-0.728027,0.411133
1558441877577902,-0.561035,-0.724121,0.421387
1558441877593848,-0.565918,-0.725586,0.422363
1558441877615795,-0.567383,-0.72998,0.419922
1558441877638899,-0.563965,-0.730469,0.419434
1558441877654685,-0.560059,-0.730469,0.418457
1558441877675895,-0.554199,-0.723633,0.410156
1558441877697573,-0.550781,-0.723633,0.418457
1558441877714525,-0.555176,-0.721191,0.414063
1558441877735506,-0.561035,-0.729004,0.419434
1558441877758521,-0.563477,-0.729492,0.41748
1558441877774365,-0.5625,-0.726563,0.414063
1558441877796655,-0.561523,-0.730469,0.410645
1558441877818463,-0.556641,-0.72998,0.416504
1558441877834205,-0.563477,-0.728027,0.42334
1558441877857150,-0.563965,-0.727051,0.416504
1558441877878399,-0.562012,-0.727539,0.421387
1558441877894148,-0.559082,-0.728027,0.415039
1558441877916985,-0.558105,-0.724609,0.412109
1558441877938213,-0.558105,-0.725586,0.410645
1558441877953882,-0.561523,-0.730957,0.414551
1558441877976822,-0.55957,-0.726563,0.416504
1558441877998120,-0.559082,-0.730469,0.419922
1558441878014098,-0.558594,-0.731934,0.416016
1558441878036663,-0.557617,-0.729492,0.412598
1558441878057918,-0.558594,-0.730469,0.415039
1558441878074562,-0.55957,-0.730957,0.423828
1558441878096502,-0.561035,-0.730469,0.421875
1558441878119478,-0.560059,-0.732422,0.418945
1558441878134441,-0.561523,-0.726563,0.422852
1558441878156342,-0.560547,-0.731445,0.419922
1558441878178718,-0.555664,-0.72998,0.418945
1558441878194336,-0.551758,-0.730957,0.418457
1558441878216184,-0.556152,-0.728516,0.417969
1558441878238469,-0.559082,-0.729492,0.419922
1558441878263059,-0.5625,-0.72998,0.415527
1558441878277024,-0.561035,-0.731445,0.414063
1558441878298463,-0.562988,-0.726563,0.413086
1558441878314249,-0.563965,-0.725098,0.408691
1558441878336455,-0.560059,-0.727051,0.408691
