timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558441959486897,0,3,2,6,5,-1,5,5
1558441959486897,-1,2,-1,-1,-1,-11,-4,-3
1558441959487894,-3,-1,-1,-2,-4,-1,3,-2
1558441959487894,-1,0,4,10,0,-5,-8,-2
1558441959492882,-1,-5,-2,-6,-2,8,-4,-6
1558441959492882,1,0,-6,-4,2,5,3,3
1558441959493878,-1,-2,-3,-3,-5,-2,-8,-1
1558441959493878,-1,-2,0,3,1,0,1,-4
1558441959497867,0,-1,2,-2,2,-2,-1,-2
1558441959497867,-3,-5,-6,0,1,9,6,0
1558441959508837,2,1,-4,-5,-1,-4,-4,-3
1558441959508837,-2,-2,-1,3,3,-2,2,0
1558441959521803,-1,-1,-6,-1,-3,-8,-4,0
1558441959521803,-3,-2,5,-6,-9,-13,-7,-2
1558441959527792,-2,0,2,7,1,7,-1,-5
1558441959527792,-1,-1,-8,-18,1,11,6,0
1558441959535765,-1,1,3,5,7,-8,-2,2
1558441959535765,-1,0,-1,1,2,14,-1,0
1558441959559702,-1,-3,-1,-1,-8,-16,-1,2
1558441959559702,-1,-1,0,-1,-8,-6,-5,-5
1558441959561696,1,2,7,1,6,8,3,0
1558441959561696,-1,-6,-16,-3,-1,-1,-1,-2
1558441959566683,-1,4,9,2,3,-4,-6,-3
1558441959566683,1,-1,-2,0,-5,-1,-1,2
1558441959613557,-1,0,-3,-12,-5,3,-2,-4
1558441959613557,-2,0,-2,2,3,8,4,-1
1558441959614556,0,2,4,-4,-6,-8,6,5
1558441959614556,-3,-1,-4,-5,-8,-7,-1,-6
1558441959614556,-3,-4,-5,2,1,0,-5,-4
1558441959614556,-1,-3,-4,-2,-8,-8,-6,-1
1558441959617547,-1,2,2,1,4,7,7,0
1558441959617547,1,2,-2,-4,4,3,5,2
1558441959625525,-1,-1,8,1,-8,-14,-6,-1
1558441959625525,1,2,-3,2,5,2,-4,0
1558441959632506,-2,-4,-5,-8,-1,-6,-8,-1
1558441959632506,0,0,-4,1,-3,0,-2,2
1558441959639488,-1,-1,5,8,3,8,0,-3
1558441959639488,-1,-1,-5,-6,3,12,8,1
1558441959655450,0,-2,1,4,1,-8,-3,-2
1558441959655450,1,0,-3,-4,-5,-6,-3,-1
1558441959663424,-1,-3,-5,-3,-6,-6,-11,1
1558441959663424,1,1,1,1,3,-3,5,-1
1558441959670405,2,-2,-1,2,3,15,1,-2
1558441959670405,1,-4,1,0,-2,-9,-4,-3
1558441959685365,0,3,1,0,1,-2,4,0
1558441959685365,-3,0,5,5,-1,-15,-8,-2
1558441959692347,0,-2,-8,-14,-1,11,3,1
1558441959692347,-1,0,6,9,6,0,-1,-1
1558441959708304,-3,-3,-1,-2,-3,0,-3,-1
1558441959708304,1,3,3,1,0,-7,3,1
1558441959715285,-3,-6,-4,-1,-5,-8,-9,-7
1558441959715285,-2,-1,-1,0,-2,9,-2,0
1558441959723264,-1,-1,-3,1,3,8,3,2
1558441959723264,0,0,6,-1,-5,-5,-1,1
1558441959730245,-3,-3,-5,-7,-2,-12,-4,-4
1558441959730245,1,-3,-8,-8,5,17,3,-2
1558441959745206,-1,-2,-4,-8,-7,-6,-2,-1
1558441959745206,2,-1,4,5,2,-12,-2,2
1558441959754182,-1,2,4,5,-1,1,0,-1
1558441959754182,-2,3,-4,-5,-10,-11,-6,-5
1558441959760165,-3,-4,3,3,2,1,-4,-2
1558441959760165,-2,-4,-4,7,4,14,5,0
1558441959775126,1,-1,-2,-4,-2,0,2,1
1558441959775126,-1,0,0,-4,7,2,1,0
1558441959783103,0,1,-3,2,-10,-3,-3,-5
1558441959783103,-4,-4,-6,-9,-12,-4,-13,-8
1558441959790084,0,4,4,9,9,-2,8,7
1558441959790084,-1,-3,4,2,-1,-2,3,1
1558441959806043,0,0,0,0,8,4,3,1
1558441959806043,-3,-5,-5,-7,-5,5,-5,-1
1558441959812028,-2,-1,-1,-7,-14,-9,-7,-4
1558441959812028,-2,-4,-5,-5,-4,-13,-3,-4
1558441959820005,1,1,-1,2,5,3,6,2
1558441959820005,-6,-2,-8,-10,-10,-5,-11,-10
1558441959835963,-4,-1,0,1,2,14,-7,-3
1558441959835963,-1,0,4,10,5,2,4,1
1558441959842944,1,1,3,-7,-1,-3,2,-1
1558441959842944,1,3,1,2,5,-5,5,3
1558441959849925,-2,-2,-4,3,-8,-7,-10,-6
1558441959849925,-3,-2,-9,-13,-11,-1,-4,0
1558441959865882,0,-1,-1,-3,4,1,1,0
1558441959865882,0,-1,0,0,3,-2,2,3
1558441959872867,2,2,4,4,2,6,1,-3
1558441959872867,4,5,3,3,12,4,7,5
1558441959879851,-6,-7,-7,-6,-12,-7,-8,-6
1558441959879851,-1,1,-4,-3,-4,3,3,1
1558441959896802,1,1,-2,-3,-1,-2,0,-1
1558441959896802,-4,-4,-1,-6,-14,-1,-18,-9
1558441959902786,0,-1,-4,2,7,10,8,2
1558441959902786,4,1,3,0,3,-6,1,4
1558441959917744,-5,-5,-3,-1,2,4,-4,-4
1558441959917744,-1,-2,-2,-12,-3,-4,1,3
1558441959925722,-3,0,0,5,-6,-20,-4,-3
1558441959925722,-3,-3,1,-2,0,5,-1,-2
1558441959932707,-1,-2,-8,-2,0,8,5,1
1558441959932707,1,0,6,6,2,-5,-3,-1
