timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558435722657952,5,2,-11,-26,-3,0,6,5
1558435722657952,-3,-2,-2,-8,-6,-3,-4,-8
1558435722658950,-5,-3,3,-1,-5,-4,-4,-7
1558435722658950,-1,0,-3,1,0,2,1,-2
1558435722659947,-1,1,4,10,1,-1,-3,1
1558435722659947,0,-3,0,2,1,3,3,3
1558435722659947,2,2,2,-7,-3,0,-1,-1
1558435722659947,-2,1,0,-7,-7,-4,-6,-7
1558435722671917,-1,-7,-9,-3,-2,-2,0,3
1558435722671917,2,6,19,19,8,-1,0,0
1558435722679894,2,4,3,13,6,-3,0,0
1558435722679894,-4,-4,-17,-22,-6,2,0,0
1558435722685877,1,1,7,7,3,3,2,-2
1558435722685877,-4,-9,-24,-12,-7,2,-11,-4
1558435722700838,-1,1,8,12,4,4,8,1
1558435722700838,-2,-4,-3,0,5,-2,1,2
1558435722710812,-3,-2,-2,-3,-5,-4,-7,-3
1558435722710812,1,3,4,1,5,5,5,2
1558435722715798,5,6,2,3,0,1,-6,-2
1558435722715798,-3,-6,-6,3,-7,-8,-5,-7
1558435722731755,-4,-2,7,-1,2,1,-2,-5
1558435722731755,0,-4,-20,-10,-8,-8,-4,0
1558435722747712,-1,-2,4,8,6,4,0,2
1558435722747712,-1,0,-7,-6,-2,1,-3,-2
1558435722779627,1,-2,3,1,-1,-5,1,0
1558435722779627,-2,-3,7,2,-7,-5,-1,-2
1558435722780625,0,-1,-5,-5,-3,-4,-4,0
1558435722780625,0,-2,-4,-7,-3,-1,2,1
1558435722780625,-1,5,-2,-7,3,5,-2,1
1558435722780625,-4,-4,-3,12,3,-2,3,-1
1558435722783617,-1,-3,0,0,-6,-1,1,-1
1558435722783617,1,-1,3,-4,-1,1,-1,0
1558435722791595,1,-1,0,16,5,2,3,0
1558435722791595,-4,-7,-11,-23,-1,-3,-5,-5
1558435722798577,0,7,12,-7,-6,-7,-1,0
1558435722798577,-2,-3,-16,-9,-2,7,-5,-1
1558435722806556,2,-2,0,12,1,0,7,5
1558435722806556,3,5,-10,-17,-9,0,-3,1
1558435722821515,-4,-8,-2,8,2,-4,1,-5
1558435722821515,2,5,3,-2,0,-2,2,-1
1558435722829495,-2,-2,-2,0,-5,-4,-7,-4
1558435722829495,-2,-3,8,6,-3,-3,1,1
1558435722836474,1,-1,-14,-6,7,6,2,2
1558435722836474,-4,3,13,28,0,-8,-7,-2
1558435722851435,-5,-3,-11,-31,-8,-9,-4,-4
1558435722851435,2,0,4,7,15,17,13,2
1558435722858416,0,3,4,1,-2,4,-1,1
1558435722858416,-2,-7,-5,-8,-2,0,-6,-2
1558435722866395,-7,-6,-13,-6,-10,-8,-1,-6
1558435722866395,2,6,10,-3,-2,0,-1,2
1558435722881355,2,0,6,5,0,1,1,3
1558435722881355,-2,0,2,8,4,-5,1,2
1558435722889334,-2,0,1,7,-6,-5,-9,-6
1558435722889334,0,2,4,-10,-1,2,0,0
1558435722896315,0,-7,-23,-4,-5,-6,1,3
1558435722896315,2,3,7,-1,-3,-6,2,3
1558435722911301,-1,2,-2,3,0,3,-1,-3
1558435722911301,-6,-9,4,2,-3,-5,-8,-7
1558435722918257,1,4,4,-6,-2,-4,3,-2
1558435722918257,-7,-13,-13,3,-3,-2,-2,-6
1558435722934215,3,6,14,-8,7,9,8,4
1558435722934215,0,-1,-7,14,1,-6,-8,-1
1558435722941195,-5,-4,-6,-15,-4,-3,-8,-9
1558435722941195,2,-3,4,-2,2,3,1,0
1558435722949232,-2,0,-1,4,2,1,-4,-1
1558435722949232,-2,3,9,-2,0,-1,0,-2
1558435722956155,-2,-4,-24,0,-1,2,-4,-4
1558435722956155,0,3,1,-1,3,6,3,-1
1558435722972113,-1,-7,-13,-5,-4,-5,-2,1
1558435722972113,1,2,-2,5,1,-2,-1,-6
1558435722978097,-2,1,19,15,3,2,1,1
1558435722978097,0,4,-3,-10,-3,0,1,-3
1558435722986084,-5,-9,6,10,-11,-12,-3,-3
1558435722986084,2,0,-6,-15,-1,-5,1,5
1558435723001035,-1,2,8,-1,1,7,-5,-3
1558435723001035,-3,-5,-14,-4,2,-2,-6,-5
1558435723009013,3,9,25,12,11,4,3,6
1558435723009013,-4,-11,-43,-16,-11,-4,-2,-3
1558435723023972,-3,-5,13,10,-2,-10,-2,-1
1558435723023972,-2,2,7,0,-5,-3,-4,-4
1558435723031986,-1,-4,-15,-22,-8,-5,-8,-4
1558435723031986,0,3,8,3,8,9,5,4
1558435723039294,4,1,-4,13,10,3,6,4
1558435723039294,0,1,1,2,-6,-8,-6,3
1558435723045920,0,-1,-5,-8,-2,2,-2,-5
1558435723045920,1,2,0,-1,-9,-10,-4,-6
