timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558442051056612,-1,1,2,10,4,-4,5,3
1558442051056612,1,0,2,-5,1,-11,-3,1
1558442051057609,3,-1,6,9,0,0,-2,-1
1558442051057609,-6,-1,-3,-7,-1,1,-2,-3
1558442051057609,-2,2,5,-9,-12,-2,-8,-1
1558442051057609,-5,-3,-4,0,-3,8,4,-4
1558442051058607,0,-6,-16,-9,-13,-11,-11,-4
1558442051058607,5,2,1,4,20,-4,16,11
1558442051069591,0,-3,-2,-6,-3,-1,6,-1
1558442051069591,-2,-2,4,10,-1,4,-7,-4
1558442051078557,-1,-1,0,-7,-6,-1,-2,-2
1558442051078557,-2,-5,5,8,-3,8,-4,-5
1558442051085535,-2,-2,-6,1,5,-2,-4,-4
1558442051085535,-1,-1,0,0,-3,-6,-1,5
1558442051099498,-3,2,-1,-4,-3,4,1,-5
1558442051099498,2,-1,-11,-12,-3,-1,-9,-2
1558442051110469,-7,-2,3,1,0,-8,0,-2
1558442051110469,0,-5,-15,-8,-1,7,3,-1
1558442051114459,-4,1,1,-2,1,-1,0,1
1558442051114459,3,4,20,21,8,-7,4,4
1558442051129418,2,-5,-27,-22,1,10,-2,-4
1558442051129418,-3,-4,-2,-23,-24,-9,-5,-4
1558442051138393,-3,-4,-2,2,-6,-12,-19,-1
1558442051138393,1,2,-2,-4,4,4,19,2
1558442051178288,1,1,7,-2,0,-15,3,6
1558442051178288,3,2,5,11,10,5,5,3
1558442051179285,-3,-2,-5,-8,-13,-10,-9,-3
1558442051179285,-2,-2,-3,-7,-3,9,-4,-2
1558442051183274,-3,-4,-3,3,-1,5,-3,-4
1558442051183274,-1,-4,-8,-9,-4,1,-5,-3
1558442051184272,0,1,4,9,0,2,-1,-2
1558442051184272,-6,-8,-14,-4,-9,-13,0,2
1558442051189257,-1,-1,5,8,-1,-1,-1,-8
1558442051189257,0,-2,0,-3,-1,-4,-1,1
1558442051197240,-2,0,5,11,5,3,1,-3
1558442051197240,1,2,4,-4,-3,1,-4,1
1558442051206213,0,1,5,8,0,4,-7,0
1558442051206213,-6,-6,-12,-14,-13,-2,4,-5
1558442051219179,1,2,3,-4,8,1,20,7
1558442051219179,4,5,8,14,20,2,13,4
1558442051228153,-4,-3,-7,-8,-2,-3,-5,-1
1558442051228153,-2,-2,-3,-13,-16,-17,-17,-7
1558442051234138,-1,-1,-1,-2,-1,8,-6,-3
1558442051234138,0,0,0,1,5,5,6,1
1558442051249097,-1,0,-2,-4,-1,-1,-2,0
1558442051249097,-4,-2,7,12,-2,1,-11,-7
1558442051257077,-1,-3,-9,-14,-10,-12,-6,-3
1558442051257077,-2,-2,1,-5,-2,-5,1,-1
1558442051266054,2,0,-6,3,0,-3,0,1
1558442051266054,1,0,2,6,2,4,3,1
1558442051279020,1,0,-7,-11,0,-4,0,-1
1558442051279020,-1,-1,0,4,-3,-1,-5,-4
1558442051287994,-1,3,4,6,4,2,0,0
1558442051287994,0,0,-2,-14,-2,-3,1,0
1558442051293977,1,0,4,9,-4,-10,0,0
1558442051293977,-1,-2,-8,-8,-6,0,-6,-4
1558442051308937,-2,-6,-6,-15,-11,2,-2,-5
1558442051308937,0,3,6,5,6,0,-6,3
1558442051316916,2,1,4,10,11,12,8,6
1558442051316916,0,-2,-7,-8,-5,-7,4,1
1558442051325892,2,-2,2,4,3,-5,3,0
1558442051325892,0,-1,-2,-1,-1,7,4,2
1558442051339855,-4,-3,-3,-3,-8,-1,-9,-8
1558442051339855,-2,0,3,3,-1,-4,-4,-2
1558442051356809,-2,0,-1,-2,-1,0,1,0
1558442051356809,-1,3,22,28,17,6,5,1
1558442051356809,-5,-7,-46,-58,-24,-8,-7,-2
1558442051356809,1,-3,4,7,-10,-8,-20,-7
1558442051377753,-3,-3,-12,-15,-1,8,6,0
1558442051377753,6,7,4,13,18,-9,16,10
1558442051377753,-2,0,15,17,16,-3,2,3
1558442051377753,0,-1,0,-3,-3,0,2,0
1558442051385732,-5,-3,-8,-9,-11,1,-7,-6
1558442051385732,-3,-2,1,5,-4,8,-5,-3
1558442051399696,-1,-1,5,13,-1,-2,-8,-4
1558442051399696,0,2,4,-14,1,0,1,-3
1558442051414655,-3,0,-5,-7,-10,-4,0,2
1558442051414655,-2,-3,-2,-2,-8,3,-3,-5
1558442051415652,-1,-3,-6,-10,-4,-10,-9,-5
1558442051415652,0,0,10,21,15,18,9,4
1558442051429615,4,3,12,9,22,1,11,5
1558442051429615,-2,-1,-9,-10,-6,-2,1,-1
1558442051436597,-4,-2,1,4,-7,2,-5,-4
1558442051436597,-3,-1,-10,-12,-9,-11,-7,-4
1558442051445573,0,2,4,1,-2,0,0,0
1558442051445573,-3,-6,-10,-3,-5,-7,-4,-1
