timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558433822505927,0,2,2,2,3,3,1,0
1558433822505927,0,4,5,5,10,3,4,1
1558433822506925,4,11,6,0,3,-1,1,0
1558433822506925,-2,-6,-14,-8,-5,-2,-2,0
1558433822510914,-8,-7,2,0,-10,-6,-4,-3
1558433822510914,3,-2,-6,-5,-9,-3,-4,-1
1558433822512908,-10,-9,-7,0,2,2,3,-2
1558433822512908,0,0,9,4,6,2,2,1
1558433822516898,4,3,-6,-3,1,2,1,-1
1558433822516898,-3,-8,1,-1,3,3,-1,-3
1558433822536844,2,4,8,3,-7,-4,-2,-1
1558433822536844,-1,1,-10,-5,-7,-6,-2,-2
1558433822536844,-13,-10,10,4,4,2,0,-2
1558433822536844,0,2,-8,-5,-4,-4,-2,0
1558433822550807,1,-3,-9,-6,3,3,-1,-2
1558433822550807,-8,-7,7,2,2,2,-1,-3
1558433822554797,5,5,-2,-2,2,-1,1,1
1558433822554797,1,4,5,2,-6,-4,-2,-1
1558433822569756,-1,-11,3,3,4,2,1,1
1558433822569756,4,3,-3,-1,-1,2,1,0
1558433822577735,2,1,9,-1,-5,-2,-4,-2
1558433822577735,2,1,-2,-1,0,-2,-1,3
1558433822585714,-9,-13,-25,-9,-4,-4,-1,-1
1558433822585714,-2,-2,4,3,0,-1,-7,-6
1558433822623612,2,-1,0,-3,-5,-2,0,0
1558433822623612,3,6,4,2,-4,-2,-2,0
1558433822630594,-9,-15,-13,-4,3,3,-1,-1
1558433822630594,0,3,4,-1,5,5,1,-1
1558433822631591,-2,-1,3,1,1,-2,-3,0
1558433822631591,1,1,-6,-3,-5,-3,-4,0
1558433822631591,-4,-3,3,-1,-5,-3,-2,-1
1558433822631591,4,0,-4,-4,-3,-2,-1,-2
1558433822645553,-14,-13,-4,-2,-7,-7,-4,-2
1558433822645553,-2,-1,4,1,-2,-5,-4,-3
1558433822651538,2,7,3,1,4,4,3,1
1558433822651538,4,5,7,5,12,11,4,2
1558433822659516,2,-1,-2,3,4,3,2,1
1558433822659516,-1,-2,-8,-5,-5,-3,0,1
1558433822674476,-3,-7,-7,-8,-13,-10,-8,-5
1558433822674476,-4,-3,-6,-4,-11,-9,-6,-3
1558433822682454,2,4,2,-3,-3,-2,1,-1
1558433822682454,-1,0,3,2,-1,0,0,-3
1558433822689436,4,1,7,6,15,6,7,6
1558433822689436,-2,3,-4,1,1,2,-2,-3
1558433822705393,1,-3,-2,-5,4,5,1,0
1558433822705393,-7,-5,-4,-4,-4,-2,-1,-1
1558433822711378,5,5,2,0,-7,-5,-3,-1
1558433822711378,-5,-9,-4,-2,-14,-14,-7,-3
1558433822719356,2,5,-2,-3,-2,-1,-1,-2
