timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558442295431787,-2,-1,-1,-1,-3,-1,0,-2
1558442295431787,-2,-2,-1,0,-5,-7,-6,-1
1558442295431787,0,0,-2,-2,-1,4,2,1
1558442295431787,2,-1,0,0,-1,1,2,-3
1558442295432784,-1,-2,-1,0,-3,-2,-2,1
1558442295432784,0,1,1,-1,2,1,-3,-6
1558442295435775,-1,1,-2,0,1,-1,-2,-2
1558442295435775,-3,-1,-2,-1,1,4,1,0
1558442295442757,-2,-2,-3,0,-5,-3,-2,-1
1558442295442757,0,-2,-1,0,3,-3,1,1
1558442295450736,1,-1,1,0,-2,-2,-2,0
1558442295450736,-1,-2,-1,-1,0,3,-3,-2
1558442295457715,-3,-1,-5,-4,-4,-5,-3,-2
1558442295457715,-2,0,1,-2,-2,-4,1,2
1558442295474672,1,-2,-4,2,13,13,7,1
1558442295474672,-3,-4,-3,-4,-8,-2,-3,-4
1558442295478660,0,-2,1,0,-4,-8,-5,-3
1558442295478660,0,0,-2,-2,-8,-10,-5,-2
1558442295489643,-1,-2,1,0,0,2,-1,-4
1558442295489643,0,-1,0,1,6,10,5,3
1558442295502596,-3,0,0,-1,0,-3,0,-1
1558442295502596,-3,-2,-2,-1,-5,-2,-4,-3
1558442295518553,-3,-3,2,-1,-7,-8,-4,-4
1558442295518553,0,-2,-6,-1,-8,-6,-4,0
1558442295519551,0,1,1,-1,2,3,-4,-3
1558442295519551,1,2,0,1,4,5,6,8
1558442295564431,1,1,-1,1,0,-7,0,2
1558442295564431,2,0,2,3,7,4,2,0
1558442295565429,-3,-3,-3,-5,-4,-4,-4,-5
1558442295565429,-1,0,-1,0,-1,0,1,0
1558442295566426,-2,-3,-3,0,-6,2,-2,-2
1558442295566426,-3,-1,-3,-3,-2,-5,0,0
1558442295569418,-1,1,3,2,2,5,4,-3
1558442295569418,-2,-1,-2,-1,-2,-1,-6,-1
1558442295576400,-2,-1,-1,-3,-3,-5,0,1
1558442295576400,0,-2,-1,-2,-5,-1,-2,-1
1558442295583382,-1,-2,-2,1,2,2,-1,0
1558442295583382,-2,-1,-1,-2,-4,-8,-3,-3
1558442295592356,-1,-1,2,-1,4,6,3,1
1558442295592356,-4,-3,-5,-3,-3,-4,-4,-2
1558442295607316,0,-1,-1,-2,1,3,4,2
1558442295607316,1,1,1,-1,0,2,0,0
1558442295613301,-1,-2,-1,-1,-1,0,-3,-3
1558442295613301,0,0,-1,0,-1,6,5,0
1558442295621280,-2,1,0,-1,0,-8,-1,2
1558442295621280,-1,-2,-1,-1,0,1,2,-2
1558442295636240,-1,-2,-1,-3,-3,-6,-6,-2
1558442295636240,-2,-2,0,1,-4,-1,-7,-3
1558442295643231,-2,-2,-3,-1,-4,5,-2,-2
1558442295643231,0,0,-3,-3,2,-6,4,1
1558442295652197,-2,1,-1,0,1,-2,-1,-7
1558442295652197,-2,-2,0,-3,-1,-1,-2,1
1558442295667157,0,1,6,1,2,1,0,-3
1558442295667157,-2,-1,-6,-1,-1,5,1,3
1558442295674137,-1,1,0,0,3,5,3,0
1558442295674137,1,0,-2,-2,-4,-9,-3,-3
1558442295689106,-3,-2,-5,-3,-1,-2,-4,-2
1558442295689106,0,-1,2,0,-1,3,-4,-4
