timestamp,x,y,z
1558434073136451,-0.510742,-0.687988,0.525879
1558434073151409,-0.505859,-0.691895,0.53125
1558434073166369,-0.506836,-0.6875,0.528809
1558434073190305,-0.503906,-0.687988,0.531738
1558434073211251,-0.502441,-0.6875,0.526367
1558434073226211,-0.504395,-0.694336,0.524414
1558434073250146,-0.504395,-0.689941,0.529297
1558434073280065,-0.505859,-0.684082,0.526855
1558434073290039,-0.503418,-0.682617,0.526855
1558434073310983,-0.50293,-0.689453,0.522949
1558434073331927,-0.503906,-0.688965,0.525391
1558434073346886,-0.508301,-0.6875,0.531738
1558434073370823,-0.510742,-0.683594,0.525879
1558434073398747,-0.505859,-0.688965,0.530762
1558434073410716,-0.513672,-0.691895,0.524902
1558434073429666,-0.510742,-0.688965,0.525391
1558434073451605,-0.518555,-0.688477,0.522949
1558434073466565,-0.51709,-0.686523,0.526855
1558434073489506,-0.518555,-0.68457,0.523926
1558434073511446,-0.518555,-0.685059,0.520996
1558434073526406,-0.52002,-0.691406,0.521973
1558434073549346,-0.521973,-0.68457,0.522461
1558434073571288,-0.520508,-0.688477,0.522949
1558434073586249,-0.522461,-0.689453,0.514648
1558434073609184,-0.522461,-0.685059,0.516602
1558434073632126,-0.524414,-0.687988,0.519043
1558434073646088,-0.516602,-0.686035,0.516602
1558434073669024,-0.51709,-0.686523,0.521484
1558434073691963,-0.512695,-0.691895,0.518555
1558434073705926,-0.515137,-0.686035,0.519531
1558434073728865,-0.516113,-0.689453,0.520508
1558434073751806,-0.51416,-0.694824,0.51416
1558434073765767,-0.513672,-0.687012,0.517578
1558434073790700,-0.519043,-0.692383,0.52002
1558434073811649,-0.508301,-0.690918,0.519531
1558434073826603,-0.512207,-0.692871,0.519043
1558434073849542,-0.506348,-0.689941,0.518555
1558434073871482,-0.512695,-0.693359,0.518066
1558434073886443,-0.513672,-0.693848,0.520996
1558434073909382,-0.509277,-0.686523,0.515137
1558434073931323,-0.510742,-0.691406,0.513672
1558434073946283,-0.51123,-0.695801,0.513184
1558434073969222,-0.511719,-0.699219,0.52002
1558434073993158,-0.506836,-0.699707,0.51709
1558434074006124,-0.508789,-0.700684,0.516602
1558434074029062,-0.516602,-0.703613,0.51709
1558434074052000,-0.514648,-0.706055,0.514648
1558434074065964,-0.515625,-0.700684,0.514648
1558434074088902,-0.509766,-0.704102,0.511719
1558434074111841,-0.512695,-0.704102,0.520508
1558434074125804,-0.515137,-0.703125,0.514648
1558434074149739,-0.510254,-0.700684,0.510254
1558434074171680,-0.505859,-0.700684,0.519043
1558434074185642,-0.508789,-0.696777,0.516113
1558434074209586,-0.506836,-0.702148,0.509766
1558434074233518,-0.504395,-0.704102,0.509277
1558434074246480,-0.505859,-0.702637,0.52002
1558434074269420,-0.50293,-0.695801,0.510254
1558434074291362,-0.5,-0.701172,0.51709
1558434074306320,-0.506348,-0.699707,0.512207
1558434074328271,-0.509766,-0.702637,0.516602
1558434074352202,-0.503418,-0.701172,0.518555
1558434074374204,-0.503906,-0.701172,0.52002
1558434074389107,-0.503418,-0.696777,0.518066
1558434074411159,-0.502441,-0.702148,0.518555
1558434074434979,-0.501465,-0.698242,0.51709
1558434074449065,-0.501465,-0.703613,0.518066
1558434074470935,-0.500977,-0.70166,0.51709
1558434074495108,-0.501953,-0.703125,0.51416
1558434074508781,-0.505371,-0.700195,0.511719
1558434074532716,-0.506836,-0.702637,0.517578
1558434074554833,-0.508301,-0.699219,0.513672
1558434074568791,-0.504883,-0.699707,0.514648
1558434074591833,-0.510742,-0.702148,0.513184
1558434074614659,-0.507813,-0.697754,0.511719
1558434074628463,-0.507813,-0.697266,0.510742
1558434074651626,-0.505859,-0.700195,0.505371
1558434074674407,-0.504883,-0.696777,0.513672
1558434074688300,-0.510742,-0.694824,0.514648
1558434074711240,-0.512207,-0.698242,0.516602
1558434074734175,-0.511719,-0.698242,0.512695
1558434074748166,-0.513184,-0.700195,0.515137
1558434074771112,-0.512695,-0.702637,0.517578
1558434074794208,-0.511719,-0.70166,0.510742
1558434074809181,-0.505371,-0.69873,0.509766
1558434074831123,-0.507324,-0.700195,0.510742
1558434074854162,-0.501465,-0.700195,0.510254
1558434074869061,-0.505859,-0.70459,0.51416
1558434074890759,-0.508789,-0.702637,0.510254
1558434074913703,-0.507813,-0.703125,0.515137
1558434074928657,-0.506836,-0.699707,0.51709
1558434074951593,-0.510254,-0.705078,0.512695
1558434074973534,-0.51123,-0.70459,0.510742
1558434074989492,-0.513672,-0.703613,0.515625
1558434075011433,-0.51416,-0.701172,0.515137
1558434075033375,-0.510742,-0.701172,0.508301
1558434075049354,-0.512695,-0.704102,0.515137
1558434075071649,-0.509277,-0.696777,0.509277
1558434075093901,-0.506348,-0.701172,0.505371
1558434075109046,-0.509766,-0.705566,0.510254
1558434075131543,-0.512695,-0.706543,0.506348
1558434075153821,-0.511719,-0.70166,0.507813
1558434075168762,-0.51123,-0.701172,0.509766
1558434075190824,-0.510254,-0.703125,0.509766
1558434075213733,-0.510254,-0.703613,0.510254
1558434075228735,-0.510254,-0.70459,0.509766
1558434075251824,-0.510254,-0.706055,0.508789
1558434075273778,-0.511719,-0.69873,0.503418
1558434075288678,-0.510254,-0.704102,0.50293
1558434075311633,-0.508789,-0.705566,0.506348
1558434075333414,-0.513184,-0.706055,0.505371
1558434075348373,-0.508301,-0.702148,0.501465
1558434075371346,-0.512207,-0.704102,0.509766
1558434075393252,-0.509766,-0.708008,0.507324
1558434075408212,-0.511719,-0.705078,0.506836
1558434075431151,-0.509766,-0.708496,0.509766
1558434075454090,-0.510254,-0.704102,0.501465
1558434075469050,-0.507324,-0.709961,0.503906
1558434075491018,-0.515137,-0.709961,0.504395
1558434075513929,-0.506348,-0.703613,0.509277
1558434075530885,-0.50293,-0.70752,0.507324
1558434075550833,-0.503906,-0.708496,0.508789
1558434075573807,-0.508301,-0.713379,0.509277
1558434075589726,-0.505371,-0.711426,0.504883
1558434075610670,-0.506836,-0.710938,0.506348
1558434075633611,-0.50293,-0.711426,0.507813
1558434075649568,-0.505371,-0.712402,0.507324
1558434075671509,-0.502441,-0.709473,0.507324
1558434075693449,-0.500977,-0.712402,0.505859
1558434075709407,-0.501465,-0.712891,0.515137
1558434075731349,-0.503906,-0.708984,0.51123
1558434075754285,-0.50293,-0.712402,0.509277
1558434075770274,-0.502441,-0.713379,0.512207
1558434075791188,-0.503906,-0.71582,0.508789
1558434075813130,-0.507813,-0.708984,0.509766
1558434075837066,-0.505859,-0.708984,0.512207
1558434075851029,-0.502441,-0.707031,0.506348
1558434075873966,-0.50293,-0.712402,0.505371
1558434075896906,-0.499023,-0.716309,0.50293
1558434075913861,-0.505371,-0.712891,0.505371
