timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558434107534406,0,0,6,5,0,-6,-1,0
1558434107534406,-1,-2,-7,3,-2,0,-2,-2
1558434107535404,0,0,2,-9,-5,-3,-2,-2
1558434107535404,-5,-8,-17,-7,-10,-3,-7,-6
1558434107539393,1,1,10,6,11,12,3,1
1558434107539393,2,0,-5,-3,3,-9,-2,0
1558434107541388,-2,-1,-7,2,0,-1,-1,0
1558434107541388,-2,-3,-1,-1,-3,-2,-2,0
1558434107545378,-3,-2,-4,-7,-10,-4,-5,-5
1558434107545378,-2,-1,1,6,3,-2,-2,-3
1558434107556348,1,0,1,0,-1,-5,1,1
1558434107556348,-1,1,-2,-3,-4,-2,-2,-2
1558434107570311,-3,-4,-1,-1,-4,-2,-4,-4
1558434107570311,2,3,-2,2,7,10,7,4
1558434107576294,-2,-2,-4,3,-2,-7,-4,-1
1558434107576294,-1,-2,2,0,2,2,1,-1
1558434107583276,-1,1,2,-2,-2,-1,-2,3
1558434107583276,-1,2,8,5,-7,-2,-6,-3
1558434107599233,-2,-5,-12,-7,-5,0,0,-2
1558434107599233,1,4,15,7,11,4,3,1
1558434107605216,-2,-2,-16,-5,-1,0,-2,-1
1558434107605216,-3,-7,-8,-5,-6,-5,-7,-3
1558434107653088,1,2,5,4,-1,-5,1,1
1558434107653088,0,1,6,3,1,-2,-1,1
1558434107653088,-1,0,-2,1,0,-1,-1,-1
1558434107653088,-2,3,8,-2,-6,-2,-6,-3
1558434107654085,-2,-5,-9,0,6,4,2,-1
1558434107654085,0,-1,-1,-6,-4,-1,0,0
1558434107655082,-2,-4,-8,-1,-1,-2,-2,-3
1558434107655082,-1,4,15,5,4,7,1,0
1558434107665061,-1,-3,-6,-7,-6,-3,-4,-4
1558434107665061,2,1,1,-1,2,-2,0,1
1558434107673034,-1,-2,-1,-4,-3,-4,-3,0
1558434107673034,-3,-1,-6,-1,-7,-9,-3,-3
1558434107680017,-1,1,5,1,1,4,-1,2
1558434107680017,-2,-2,-5,-6,8,14,9,0
1558434107695974,-1,3,7,0,-1,0,0,0
1558434107695974,0,-6,-13,-3,0,1,1,-2
1558434107701958,-2,1,10,6,-3,-8,-5,-1
1558434107701958,-3,-3,-8,-2,-8,-7,-6,-1
1558434107710934,-1,-2,2,0,0,3,-1,0
1558434107710934,-1,-1,-1,-7,-5,-4,-3,-4
1558434107724896,-2,-2,-6,2,3,9,2,0
1558434107724896,1,0,-1,6,2,-8,-2,2
1558434107732875,0,0,0,3,6,0,0,0
1558434107732875,-1,-1,-8,-15,-8,-1,0,-3
1558434107739857,-2,-4,0,-3,-7,-7,-5,-2
